Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
0.007 is equivalent to 0.007 किसिे बराबर है?<br><br>(a) 7%<br>(b) 0.7%<br>(c) 0.07%<br>(d) 70%				40	Source::AbhasSaini 5.Mathematics::Percentage
2.34 expressed as a percent of 3.9 is 3.9 िे प्रकिशि िे रूप में2.34 कििना होगा?<br><br>(a) 6%<br>(b) 0.6%<br>(c) 0.06%<br>(d) 60%				40	Source::AbhasSaini 5.Mathematics::Percentage
What is 5% of 50% of 500? 500 िे 50% िा 5% कििना है?<br><br>(a) 12.5<br>(b) 25<br>(c) 1.25<br>(d) 6.25				40	Source::AbhasSaini 5.Mathematics::Percentage
If A is 85% of B and B is 60% of C. If A + B + C is 211 then find the value of B + 2C − 4A यकि A, B िा 85% हैऔर B, C िा 60% है। यकि A + B + C = 211 हो, िो B + 2C − 4A िा मान ज्ञाि िरें।<br><br>(a) 56<br>(b) 52<br>(c) 50<br>(d) 48				40	Source::AbhasSaini 5.Mathematics::Percentage
A is 120% of B and B is 65% of C. If the sum of A, B and C is 121.5, then the value of C − 2B + A is यकि A, B िा 120% हैऔर B, C िा 65% है। यकि A + B + C = 121.5 हो, िो C − 2B + A िा मान ज्ञाि िरें।<br><br>(a) 14<br>(b) 35<br>(c) 24<br>(d) 39				40	Source::AbhasSaini 5.Mathematics::Percentage
Two numbers A and B are such that the sum of 5% of A and 6% of B is equal to the sum of 7% of A and 4.4% of B, then what is the value of B : A ? िो संख्याएँA और B ऐसी हैंकि A िा 5% और B िा 6% िा योग, A िे 7% और B िे 4.4% िे योग िे बराबर है। िो B : A िा मान क्या है?<br><br>(a) 5 : 4<br>(b) 4 : 5<br>(c) 2 : 3<br>(d) 3 : 2				40	Source::AbhasSaini 5.Mathematics::Percentage
Three numbers A, B and C are in the ratio of 5 : 3 : 4. If each number is increased by 10%, 15% and 20% respectively, then what will be the new ratio? िीन संख्याएँA, B और C िा अनुपाि 5 : 3 : 4 है। यकि इन संख्याओंिो क्रमशः 10%, 15% और 20% सेबढाया जाए, िो नया अनुपाि क्या होगा?<br><br>(a) 110 : 69 : 96<br>(b) 55 : 69 : 48<br>(c) 66 : 69 : 42<br>(d) 11 : 23 : 24				40	Source::AbhasSaini 5.Mathematics::Percentage
0. The price of fuel decreases by 55%, 55%, and 55% in three successive months, but increases by 65% in the fourth month. What is the percentage increase/decrease (rounded off to two decimal places) in the price of fuel in the fourth month, as compared to its original price ? ईधं न की कीमत तीन लगातार महीन ंमें55%, 55% और 55% कम ह जाती है, लेककन चौथेमहीनेमें65% बढ़ जाती है। मूल कीमत की तुलना मेंचौथेमहीनेमेंईधं न की कीमत मेंककतने प्रकतशत की वृद्धि/कमी हुई?<br><br>A. Increases by 80.47%<br>B. Increases by 89.44%<br>C. Decreases by 82.18%<br>D. Decreases by 84.96%				40	Source::AbhasSaini 5.Mathematics::Percentage
1. A company's stock price increases by x% in the first quarter and decreases by the same x% in the second quarter. If the final stock price is 14% lower than the initial price, what is the value of x? (Round off the answer to two decimal places.) ककसी कं पनी के शेयर की कीमत पहली कतमाही में x% बढ़ती हैऔर दूसरी कतमाही मेंउतनी ही x% घटती है। यकद अंकतम शेयर की कीमत प्रारंकिक कीमत से14% कम है, त x का मान क्या है? (उत्तर क द दशमलव स्थान ंतक पूर्ाांककत करें।)<br><br>A. 37.69 B. 37.42 C. 37.27 D. 37.98				40	Source::AbhasSaini 5.Mathematics::Percentage
What will be difference in population 3 years ago and 2 years ago of a town, whose current population is 190000 and which is increasing at a rate of 25% every year ? प्रश्न: एक कस्बेकी वततमान जनसंख्या 190,000 हैऔर यह प्रकतवर्त25% की दर सेबढ़ रही है। इस कस्बेकी जनसंख्या 3 वर्तपहलेऔर 2 वर्त पहलेककतनी थी?<br><br>A. 24670 B. 23770<br>C. 24320 D. 23570				40	Source::AbhasSaini 5.Mathematics::Percentage
The price of an article decreased by 8% every year. If the difference between the price at the end of third and fourth year is 69, then 40% of the price at the end of second year is ककसी वस्तुका मूल्य हर वर्त8% घटता है। यकद तीसरेऔर चौथेवर्तके अंत के मूल्य ंका अंतर 69 है, त दूसरेवर्तके अंत के मूल्य का 40% ककतना ह गा?<br><br>(a) 325<br>(b) 350<br>(c) 375<br>(d) 380				40	Source::AbhasSaini 5.Mathematics::Percentage
The price of an article decreased by 6% every year. If the difference between the price at the end of third and fourth year is 141, then 8% of the price at the end of second year is ककसी वस्तुका मूल्य हर वर्त6% घटता है। यकद तीसरेऔर चौथेवर्तके अंत के मूल्य ंका अंतर 141 है, त दूसरेवर्तके अंत के मूल्य का 8% ककतना ह गा?<br><br>(a) 200<br>(b) 180<br>(c) 210<br>(d) 205				40	Source::AbhasSaini 5.Mathematics::Percentage
The price of an article increased by 15% every year. If the difference between the price at the end of third and fourth year is 138 then 65% of the price at the end of second year? ककसी वस्तुका मूल्य हर वर्त15% बढ़ता है। यकद तीसरेऔर चौथेवर्तके अंत के मूल्य ंका अंतर 138 है, त दूसरेवर्तके अंत के मूल्य का 65% ककतना ह गा?<br><br>(a) 520<br>(b) 180<br>(c) 210<br>(d) 205				40	Source::AbhasSaini 5.Mathematics::Percentage
