Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
If the distances of the point P from x-axis and y axis are 4 units and 7 units and the point P lies in the third quadrant, the co-ordinate of the point P is?<br><br>(a) (4,7)<br>(b) (-4,-7)<br>(c) (7,4)<br>(d) (-7,-4)				40	Source::AbhasSaini 5.Mathematics::CoordinateGeometry
The image of the point (7,8) when reflected along the x - axis is?<br><br>(a) (8,7)<br>(b) (-7,-8)<br>(c) (-7,8)<br>(d) (7,-8)				40	Source::AbhasSaini 5.Mathematics::CoordinateGeometry
What is the reflection of the point (5,-3) in the line y = 3?<br><br>(a) (5,-6)<br>(b) (-5,3)<br>(c) (5,3)<br>(d) (5,9)				40	Source::AbhasSaini 5.Mathematics::CoordinateGeometry
The image of the point (4,-3) with respect to the line y = x is?<br><br>(a) -4,-3<br>(b) 3,4<br>(c) -4,3<br>(d) -3,4				40	Source::AbhasSaini 5.Mathematics::CoordinateGeometry
The image of the point (3,8) in the line x + 3y = 7 is?<br><br>(a) 1,4<br>(b) 4,1<br>(c) -1,-4<br>(d) -4,-1				40	Source::AbhasSaini 5.Mathematics::CoordinateGeometry
The graphs of the linear equations 4x - 2y = 10 and 4x + ky = 2 intersect at a point (a,4). The value of k is equal to?<br><br>(a) -3<br>(b) 4<br>(c) 3<br>(d) -4				40	Source::AbhasSaini 5.Mathematics::CoordinateGeometry
The graph of the equations 5x - 2y + 1 = 0 and 4y - 3x + 5 = 0, intersect at the point p(α,β). What is the value of (2α - 3β)?<br><br>(a) 4<br>(b) -4<br>(c) 6<br>(d) -3				40	Source::AbhasSaini 5.Mathematics::CoordinateGeometry
The graph of the equation x - 7y = - 42, intersects the y-axis at P(α, β) and the graph of 6x + y - 15 = 0, intersects the x-axis at Q(γ,δ). What is the value of α + β + γ + δ ?<br><br>(a) 5<br>(b) 6<br>(c) 9/2<br>(d) 17/2				40	Source::AbhasSaini 5.Mathematics::CoordinateGeometry
The graph of the equations 4x + y/3 = 8/3 and x/2 + 3y/4 + 5/2 = 0 intersect at a point P. The point P also lies on the graph of the equation.<br><br>(a) x + 2y - 5 = 0<br>(b) 4x - y + 7 = 0<br>(c) 3x - y - 7 = 0<br>(d) x - 3y - 12 = 0				40	Source::AbhasSaini 5.Mathematics::CoordinateGeometry
Find the coordinates of the points where the graph 57x - 19y = 399 cuts the coordinate axes?<br><br>(a) x-axis at (-7,0) and y-axis at (0,21)<br>(b) x-axis at (7,0) and y-axis at (0,-21)<br>(c) x-axis at (7,0) and y-axis at (0,21)<br>(d) x-axis at (-7,0) and y-axis at (0,-21)				40	Source::AbhasSaini 5.Mathematics::CoordinateGeometry
