Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
If the distances of the point P from x-axis and y axis are 4 units and 7 units and the point P lies in the third quadrant, the co-ordinate of the point P is?<br><br>(a) (4,7)<br>(b) (-4,-7)<br>(c) (7,4)<br>(d) (-7,-4)				40	Source::AbhasSaini
The image of the point (7,8) when reflected along the x - axis is?<br><br>(a) (8,7)<br>(b) (-7,-8)<br>(c) (-7,8)<br>(d) (7,-8)				40	Source::AbhasSaini
What is the reflection of the point (5,-3) in the line y = 3?<br><br>(a) (5,-6)<br>(b) (-5,3)<br>(c) (5,3)<br>(d) (5,9)				40	Source::AbhasSaini
The image of the point (4,-3) with respect to the line y = x is?<br><br>(a) -4,-3<br>(b) 3,4<br>(c) -4,3<br>(d) -3,4				40	Source::AbhasSaini
The image of the point (3,8) in the line x + 3y = 7 is?<br><br>(a) 1,4<br>(b) 4,1<br>(c) -1,-4<br>(d) -4,-1				40	Source::AbhasSaini
The graphs of the linear equations 4x - 2y = 10 and 4x + ky = 2 intersect at a point (a,4). The value of k is equal to?<br><br>(a) -3<br>(b) 4<br>(c) 3<br>(d) -4				40	Source::AbhasSaini
The graph of the equations 5x - 2y + 1 = 0 and 4y - 3x + 5 = 0, intersect at the point p(α,β). What is the value of (2α - 3β)?<br><br>(a) 4<br>(b) -4<br>(c) 6<br>(d) -3				40	Source::AbhasSaini
The graph of the equation x - 7y = - 42, intersects the y-axis at P(α, β) and the graph of 6x + y - 15 = 0, intersects the x-axis at Q(γ,δ). What is the value of α + β + γ + δ ?<br><br>(a) 5<br>(b) 6<br>(c) 9/2<br>(d) 17/2				40	Source::AbhasSaini
The graph of the equations 4x + y/3 = 8/3 and x/2 + 3y/4 + 5/2 = 0 intersect at a point P. The point P also lies on the graph of the equation.<br><br>(a) x + 2y - 5 = 0<br>(b) 4x - y + 7 = 0<br>(c) 3x - y - 7 = 0<br>(d) x - 3y - 12 = 0				40	Source::AbhasSaini
Find the coordinates of the points where the graph 57x - 19y = 399 cuts the coordinate axes?<br><br>(a) x-axis at (-7,0) and y-axis at (0,21)<br>(b) x-axis at (7,0) and y-axis at (0,-21)<br>(c) x-axis at (7,0) and y-axis at (0,21)<br>(d) x-axis at (-7,0) and y-axis at (0,-21)				40	Source::AbhasSaini
The intercepts made by the plane 3x - 4y - 2z = 6 with the coordinate axis are?<br><br>(a) -2 , 3/2 , 3<br>(b) 2 , 3/2 , -3<br>(c) -2 , -3/2 , 3<br>(d) 2 , -3/2 , -3				40	Source::AbhasSaini
Find the mid-point of points (2,-5) and (6,11)?<br><br>(a) (4,8)<br>(b) (2,8)<br>(c) (2,3)<br>(d) (4,3)				40	Source::AbhasSaini
Find the distance between the two points (-2,3) and (4,5)?<br><br>(a) 6 units<br>(b) 8 units<br>(c) 10 units<br>(d) 12 units				40	Source::AbhasSaini
If the distance between two points (x,7) and (1,15) is 10 units, then the possible values of x =?<br><br>(a) 4,5<br>(b) 3,7<br>(c) 5,-7<br>(d) 7, -5				40	Source::AbhasSaini
Find the coordinates of the point which will divide the line joining the point (2,4) and (7,9) internally in the ratio 1:2?<br><br>(a) (3/8 , 3/11)<br>(b) (5/3 , 1/3)<br>(c) (11/3 , 17/3)<br>(d) (8/3 , 11/3)				40	Source::AbhasSaini
Find the ratio in which the line 4x + y = 13 divide the segment which is joining to the point (1,6) and (6,1)?<br><br>(a) 1:3<br>(b) 2:5<br>(c) 2:3<br>(d) 1:4				40	Source::AbhasSaini
The straight line kx - 3y = 6 passes through the point (3,2). What is the value of k?<br><br>(a) 4<br>(b) 3<br>(c) 6<br>(d) 2				40	Source::AbhasSaini
The equation of a straight line on a point (3,-5) and slope 2 is?<br><br>(a) 3x - 5y - 2 = 0<br>(b) 5x - 2y + 3 = 0<br>(c) 2x - y - 11 = 0<br>(d) 3x - 2y - 5 = 0				40	Source::AbhasSaini
Find the equation of a line which cuts the intercepts –3 unit and 5/2 units on x-axis and y-axis, respectively?<br><br>(a) -3x + 5y = 2<br>(b) 6x - 5y + 15 = 0<br>(c) 5x -6y + 15 = 0<br>(d) 6x - 5y -15 = 0				40	Source::AbhasSaini
The equation of a straight line passing through (-2,5) and (1,3) is?<br><br>(a) 2x-3y-19 = 0<br>(b) 2x+2y+19 = 0<br>(c) 3x-2y-11 = 0<br>(d) 2x+3y-11 = 0				40	Source::AbhasSaini
Find the equation of the line, passing through (2,3) and perpendicular to the line joining to (-5,6) and (-6,5) is?<br><br>(a) x + y - 5 = 0<br>(b) x - y + 5 = 0<br>(c) x - y - 5 = 0<br>(d) x + y +5 = 0				40	Source::AbhasSaini
Equation of the straight line which is parallel to the line 3x + 4y - 12 and passes through a point (2, 1) will be?<br><br>(a) 3x - 4y = 10<br>(b) 3x + 4y = 10<br>(c) 3x - 4y + 10 = 0<br>(d) 3x + 4y + 10 = 0				40	Source::AbhasSaini
Find the equation of the straight line which is perpendicular to the straight line 4x - 5y - 10 = 0 and passes through a point (1,-2) is?<br><br>(a) 4x - 5y - 14 = 0<br>(b) 3x + 4y + 5 = 0<br>(c) 5x + 4y - 3 = 0<br>(d) 5x + 4y + 3 = 0				40	Source::AbhasSaini
The distance from the origin to the line 4x + 3y = 6 is?<br><br>(a) 7/5<br>(b) 3/5<br>(c) 4/5<br>(d) 6/5				40	Source::AbhasSaini
Find the distance of the point (4,2) from the line joining the points (4,1) and (2,3)?<br><br>(a) 1/√2<br>(b) 2/√2<br>(c) 2<br>(d) 1				40	Source::AbhasSaini
Find the distance between two parallel lines 3x + 4y +8 =0 and 3x + 4y - 2 = 0?<br><br>(a) 2 units<br>(b) 4 units<br>(c) 5 units<br>(d) 1 unit				40	Source::AbhasSaini
Find the relation between x and y such that the point (x,y) is equidistant from (6,2) and (4,6)?<br><br>(a) 2x - y = 3<br>(b) 2x + y = -3<br>(c) x + 2y = 3<br>(d) x - 2y = -3				40	Source::AbhasSaini
Find the value of the angle subtended between the graph of linear equation 35x - 35y + 15 = 0 and x-axis?<br><br>(a) 35°<br>(b) 45°<br>(c) 50°<br>(d) 55°				40	Source::AbhasSaini
Find the acute angle between the lines y = 2x + 5 and y + 3x + 2 = 0.<br><br>(a) 30°<br>(b) 45°<br>(c) 60°<br>(d) 75°				40	Source::AbhasSaini
The points A (1,2), B (3,4) and C (4,1) are the vertices of a triangle which is?<br><br>(a) Isosceles<br>(b) Right-angled<br>(c) Equilateral<br>(d) Scalene				40	Source::AbhasSaini
Find the third vertex of an equilateral triangle whose two vertices are (2, 4) and (2, 6).<br><br>(a) (2,5)<br>(b) (√3,5)<br>(c) (2+√3,5)<br>(d) (2√3,5)				40	Source::AbhasSaini
∆ABC is a triangle whose vertices are A (0,0), B (a,5) and C (-5,5). If the triangle is right angled at A, then find the value of a?<br><br>(a) 3<br>(b) 5<br>(c) 6<br>(d) 2				40	Source::AbhasSaini
Find the length of median through A of a triangle whose vertices are A (-1,3), B (1, -1) and C (5,1)?<br><br>(a) 5 unit<br>(b) 6 unit<br>(c) 8 unit<br>(d) 10 unit				40	Source::AbhasSaini
The coordinates of the centroid of the triangle ABC whose vertices are A (-5,7), B (-4, -5) and C(4,5), is?<br><br>(a) (-5/3,7/3)<br>(b) (-7/3,5/3)<br>(c) (-4/3,7/3)<br>(d) (-5/3,-7/3)				40	Source::AbhasSaini
Find the circumcenter of the triangle whose vertices are (-2, -3), (-1, 0) and (7, -6). Also find the radius of the circumcircle?<br><br>(a) (3, -3), 5 unit<br>(b) (3, -3), 6 unit<br>(c (-3, -3), 8 unit<br>(d) (-3, -3), 10 unit				40	Source::AbhasSaini
The points (-5,1), (1,k) and (4,-2) are collinear if the value of k is<br><br>(a)-1<br>(b) 2<br>(c) 3<br>(d) 1				40	Source::AbhasSaini
The area (in square units) of the triangle formed by the vertices (0,2), (2,3) and (3,1) is?<br><br>(a) 3.5<br>(b) 5.5<br>(c) 2.5<br>(d) 4.4				40	Source::AbhasSaini
The area of a triangle with vertices (3,-2), (2,3) and (p,-4) is 8 square units. Find the value of p?<br><br>(a) 17<br>(b) -16<br>(c) 15<br>(d) -15				40	Source::AbhasSaini
The area in square units of a triangle formed by the coordinate axis and the straight line 5x + 7y = 35 is?<br><br>(a) 35<br>(b) 35/2<br>(c) 2/35<br>(d) 25/2				40	Source::AbhasSaini
What is the area (in square units) of the triangular region enclosed by the graphs of the equations x + y = 3, 2x + 5y = 12 and the x-axis?<br><br>(a) 6<br>(b) 4<br>(c) 3<br>(d) 2				40	Source::AbhasSaini
What is the area (in unit squares) of the region enclosed by the graphs of the equations 2x - 3y + 6 = 0, 4x + y = 16 and y = 0?<br><br>(a) 11.5<br>(b) 14<br>(c) 10.5<br>(d) 12				40	Source::AbhasSaini
1 Find the area formed by x+2y=8, 5x+3y=18, and y axis?				40	Source::AbhasSaini
2 Find the area of triangle formed by three lines 2y=3x,9x+7y=91 and Y axis ?				40	Source::AbhasSaini
3 The area of a triangle formed by the lines x+y-3=0, x-3y+9=0 and 3x-2y+1=0 is?				40	Source::AbhasSaini
42A. The point (9,0), (9,6), (-9,6) and (-9,0) are the vertices of a _.<br><br>(a) Square<br>(b) Rectangle<br>(c) Rhombus<br>(d) Trapezium				40	Source::AbhasSaini
In a parallelogram PQRS, P = (-1,-1), Q = (8,0) and R = (7,5) find the coordinates of 'S'?<br><br>(a) (-2,4)<br>(b) (-2,7/2)<br>(c) (-3/2,4)<br>(d) (-1,4)				40	Source::AbhasSaini
If the points A(1,2), B(4,3), C(1,0) and D(k,-1) are the vertices of a parallelogram then, the value of k is?<br><br>(a) 1<br>(b) 2<br>(c) -1<br>(d) -2				40	Source::AbhasSaini
The area (in square units) of the quadrilateral ABCD, formed by the vertices A (0,-2), B (2,1), C (0,4), and D (-2,1) is?<br><br>(a) 13<br>(b) 12<br>(c) 15<br>(d) 14				40	Source::AbhasSaini
What is the equation of a circle with centre of origin and radius of 6 cm?<br><br>(a) x²+ y² - x - y = 36<br>(b) x² + y² - 36 = 0<br>(c) x² + y² - y = 36<br>(d) x² + y² - x = 36				40	Source::AbhasSaini
Find the radius of the circle x² + y² - 4x - 6xy - 12 = 0?<br><br>(a) 3<br>(b) 4<br>(c) 2<br>(d) 5				40	Source::AbhasSaini
Find the radius of the circle x² + y² = 25.<br><br>(a) 25 units<br>(b) 5 units<br>(c) 2 units<br>(d) 12 units				40	Source::AbhasSaini
The equation of circle with centre (1,-2) and radius 4 cm is?<br><br>(a) x² + y² - 2x + 4y = 16<br>(b) x² + y² + 2x - 4y = 11<br>(c) x² + y² - 2x + 4y = 11<br>(d) x² + y² + 2x - 4y = 16				40	Source::AbhasSaini
Find the equation of a circle whose diameter has end points (4,3) and (-2,1)?<br><br>(a) x² + y² - 2x + 4y = 5<br>(b) x² + y² - 2x - 4y = 5<br>(c) x² + y² - 2x - 4y = 3<br>(d) x² + y² - 6x + 2y = 3				40	Source::AbhasSaini
Find the equation of the sphere having centre (-1,2,-3) and the radius of 3 units?<br><br>(a) x² + y² + z² - 2x + 4y - 6z + 5 = 0<br>(b) x² + y² + z² + 2x - 4y + 6z + 5 = 0<br>(c) x² + y² + z² - x + 2y - 3z + 5 = 0<br>(d) x² + y² + z² + x - 2y + 3z + 5 = 0				40	Source::AbhasSaini
Tell the reflection point of Point (1, 2) over the line x + y = 4?<br><br>(a) (2,3)<br>(b) (2,4)<br>(c) (3,2)<br>(d) (-2,3)				40	Source::AbhasSaini
If the angle between two lines are 45°, slope of one line is ½, Find the slope of another line?				40	Source::AbhasSaini
The slope of a line is double of the slope of another line. If tangent of the angle between them is 1/3, find the number of possible Slopes of lines?				40	Source::AbhasSaini
In ∆ABC, ⦟A = 135°, CA = 5√2 cm and AB = 7 cm. E and F are the mid points of sides AC and AB respectively. Find the length (in cm) of EF.<br><br>A. 5.5<br>B. 5<br>C. 6<br>D. 6.5				40	Source::AbhasSaini
In ∆PQR, ⦟PQR = 135°, PQ = 8√2 cm and PR = 17 cm. Find the length (in cm) of QR.<br><br>A. 7<br>B. 9<br>C. 8<br>D. 10				40	Source::AbhasSaini
In ∆ABC, AD is the bisector of angle A, which meets BC at D. If AB = 15 cm, BC = 10 cm and length of BD is 2 cm less than that of DC, then find the length of AC.<br><br>A. 16 cm<br>B. 22.5 cm<br>C. 18.5 cm<br>D. 18 cm				40	Source::AbhasSaini
In ∆ABC, ⦟B = 90°, AB = 8 cm and BC = 15 cm. A point D on BC is such that AD bisects ⦟A. Find the length (in cm) of BD.<br><br>A. 3.6<br>B. 4.8<br>C. 4.5<br>D. 4.2				40	Source::AbhasSaini
In a triangle ABC, AB: AC = 5 : 2, BC = 9 cm. BA is produced to D, and the bisector of the angle CAD meets BC produced at E. What is the length (in cm) of CE?<br><br>A. 9<br>B. 10<br>C. 3<br>D. 6				40	Source::AbhasSaini
In ∆ABC, AD is the bisector of angle A meeting BC at D. If AC = 21 cm, BC=11 cm and the length of BD is 3 cm less than DC, then the length (in cm) of side AB is:<br><br>A. 10<br>B. 15<br>C. 18<br>D. 12				40	Source::AbhasSaini
If ABC is a triangle and Ad is the angle bisector of angle A, It is given that the value of AB=16 cm, AC=12 cm and BC = 21 cm. Find the value of AD?<br><br>2√21<br>√21<br>3√21<br>4√21				40	Source::AbhasSaini
In a triangle PQR, PX, QY and RZ be altitudes intersecting at O. If PO = 6cm, PX = 8cm and QO = 4cm, find QY.<br><br>6.3cm<br>5.8cm<br>6cm<br>7cm				40	Source::AbhasSaini
In an isosceles triangle, the length of each equal side is twice the length of the third side. The ratio of areas of the isosceles triangle and an equilateral triangle with same perimeter is?<br><br>(a) 30√5 : 100<br>(b) 32 √5 : 100<br>(c) 36 √5:100<br>(d) 42 √5 : 100				40	Source::AbhasSaini
FIND CD ?<br><br>13/6<br>17/6<br>19/6<br>18/5				40	Source::AbhasSaini
FIND X?<br><br>5<br>6<br>7<br>8				40	Source::AbhasSaini
