Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
P, Q and R are partners and invest in a business. P invests 1/5th of the total investments and Q invests 1/4th of the total investments. What is the ratio of investments of P, Q and R respectively?<br><br>P, Q और R साझेदार हैंऔर एक व्यवसाय में ननवेश करतेहैं। P कु ल ननवेश का 1/5वााँ नहस्सा ननवेश करता हैऔर Q कु ल ननवेश का 1/4वााँनहस्सा ननवेश करता है। P, Q और R के ननवेश का अनुपात क्रमशः क्या है?<br><br>(a) 4:8:11<br>(b) 4:5:11(c) 4:7:11(d) 4:5:9				40	Source::AbhasSaini 5. Mathematics::Partnership
A, B and C did certain investments and the ratio of their time periods is 3:2:7 respectively. Ratio of the profits of A, B and C is 4:3:14 respectively. What is the ratio of the investments of A, B and C?<br><br>A, B और C नेकु छ ननवेश नकए और उनकी समय अवनध का अनुपात क्रमशः 3:2:7 है। A, B और C केलाभ का अनुपात क्रमशः 4:3:14 है। A, B और C के ननवेश का अनुपात क्या है?<br><br>(a) 1:3:4<br>(b) 7:9:11(c) 8:9:12(d) 2:3:11				40	Source::AbhasSaini 5. Mathematics::Partnership
Suresh, Dinesh and Ramesh became partners in a business by investing money in the ratio of 3:6:8. If their investments are increased by 5%, 15% and 20%, respectively, then what will be the ratio of their profits for one year?<br><br>सुरेश, नदनेश और रमेश 3:6:8 केअनुपात मेंधन ननवेश करकेएक व्यवसाय मेंसाझेदार बन गए। यनद उनके ननवेश मेंक्रमशः 5%, 15% और 20% की वृद्धि होती है, तो एक वर्षके नलए उनकेलाभ का अनुपात क्या होगा?<br><br>(a) 7:46:64<br>(b) 19:46:64(c) 21:46:64(d) 35:46:64				40	Source::AbhasSaini 5. Mathematics::Partnership
A and B started a business with Rs.15000 and Rs.30000 respectively. If A and B share profit in the ratio of 1:5 respectively, then what is the ratio of the time period of investment for A and B respectively?<br><br>A और B नेक्रमशः 15000 रुपयेऔर 30000 रुपये केसाथ एक व्यवसाय शुरू नकया। यनद A और B क्रमशः 1:5 केअनुपात मेंलाभ साझा करतेहैं, तो A और B के नलए क्रमशः ननवेश की समय अवनध का अनुपात क्या है?<br><br>(a) 1:2<br>(b) 2:5(c) 2:3(d) 2:7				40	Source::AbhasSaini 5. Mathematics::Partnership
Anam and Bikash invest in a business in the ratio 3:2. If in a particular month, Anam gets ₹3,840 as profit, the total profit is?<br><br>अनम और नबकाश एक व्यवसाय में3:2 के अनुपात मेंननवेश करतेहैं। यनद नकसी नवशेर् महीनेमेंअनम को ₹3,840 का लाभ नमलता है, तो कु ल लाभ नकतना है?<br><br>(a) ₹ 5,800<br>(b) ₹6,300(c) ₹6,550(d) ₹6,400				40	Source::AbhasSaini 5. Mathematics::Partnership
A, B and C started a business by investing ₹9,000, ₹18,000 and ₹21,000, respectively. If B's share in the profit earned by them is ₹759, then the total profit earned by them together is?<br><br>A, B और C नेक्रमशः ₹9,000, ₹18,000 और ₹21,000 का ननवेश करकेएक व्यवसाय शुरू नकया। यनद उनकेद्वारा अनजषत लाभ मेंB का नहस्सा ₹759 है, तो उनकेद्वारा एक साथ अनजषत कु ल लाभ क्या है?<br><br>(a) ₹2,808<br>(b) ₹2,024(c) ₹2,504(d) ₹2,208				40	Source::AbhasSaini 5. Mathematics::Partnership
X, Y and Z invested Rs.4,000, Rs.6,000 and Rs.8,000 respectively in a business. They invested the money for 3, 2 and 4 years respectively. If the total profit is Rs.56,000, then what is the share of Y in the profit?<br><br>X, Y और Z नेएक व्यवसाय मेंक्रमशः 4,000 रुपये, 6,000 रुपयेऔर 8,000 रुपयेका ननवेश नकया। उन्ो ोंने क्रमशः 3, 2 और 4 वर्ों के नलए धन का ननवेश नकया। यनद कु ल लाभ 56,000 रुपयेहै, तो लाभ मेंY का नहस्सा क्या है?<br><br>(a) Rs.18,000<br>(b) Rs.12,000(c) Rs.15,000(d) Rs.9,000				40	Source::AbhasSaini 5. Mathematics::Partnership
Three persons A, B and C invested some money in a business. The share of A is twice the share of B, and the share of B is thrice the share of C. After 1 year, they earned ₹6,000. Find the money A received.<br><br>तीन व्यद्धि A, B और C नेएक व्यवसाय मेंकु छ पैसेननवेश नकए। A का नहस्सा B के नहस्सेसे दोगुना है, और B का नहस्सा C के नहस्सेसेतीन गुना है। 1 वर्षबाद, उन्ो ोंने₹6,000 कमाए। A को प्राप्त धन ज्ञात कीनजए।<br><br>(a) ₹3,200<br>(b) ₹3,000(c) ₹3,600(d) ₹3,500				40	Source::AbhasSaini 5. Mathematics::Partnership
Arvind, Bilal & Carmen invest ₹49,000 towards a business. Arvind invests ₹5,000 more than Bilal and Bilal invests ₹4,000 more than Carmen Out of a total profit of ₹98,000, how much does Bilal receive?<br><br>अरनवोंद, नबलाल और कारमेन एक व्यवसाय में ₹49,000 ननवेश करतेहैं। अरनवोंद नबलाल से₹5,000 अनधक ननवेश करता हैऔर नबलाल कारमेन से ₹4,000 अनधक ननवेश करता है। कु ल ₹98,000 के लाभ मेंसेनबलाल को नकतना प्राप्त होता है?<br><br>(a) ₹34,400<br>(b) ₹33,200(c) ₹30,500(d) ₹32,000				40	Source::AbhasSaini 5. Mathematics::Partnership
Swati starts a business with ₹4,200 and after 5 months, Bani joins Swati as her partner. After a year, the profit is divided among Swati and Bani in the ratio 2:5. What is Bani's contribution?<br><br>स्वानत ₹4,200 केसाथ एक व्यवसाय शुरू करती हैऔर 5 महीनेबाद, बानी स्वानत केसाथ साझेदार केरूप मेंजुड़ जाती है। एक वर्षके बाद, लाभ स्वानत और बानी केबीच 2:5 के अनुपात मेंबाोंटा जाता है। बानी का योगदान क्या है?<br><br>(a) ₹18,000<br>(b) ₹17,050(c) ₹19,000(d) ₹16,500				40	Source::AbhasSaini 5. Mathematics::Partnership
Three partners P, Q and R invested a total of Rs. 52,000 in a business. At the end of the year, P got Rs. 1430, Q got Rs.1870 and R got Rs. 2420 as the share of profit. How much amount did Q invest in the business?<br><br>तीन साझेदारो ोंP, Q और R नेएक व्यवसाय मेंकु ल 52,000 रुपयेका ननवेश नकया। वर्षकेअोंत में, P को 1430 रुपये, Q को 1870 रुपयेऔर R को लाभ के नहस्सेकेरूप में2420 रुपयेनमले। Q ने व्यवसाय मेंनकतनी रानश का ननवेश नकया?<br><br>(a) ₹17000<br>(b) ₹20400(c) ₹15300(d) ₹18700				40	Source::AbhasSaini 5. Mathematics::Partnership
A started a business with a capital of Rs. 54000 and admitted B and C after 4 months and 6 months respectively. At the end of the year, the profit was divided in the ratio 1:4:5. What is the difference between the capitals invested by B and C?<br><br>A ने54000 रुपयेकी पूोंजी केसाथ एक व्यवसाय शुरू नकया और 4 महीनेऔर 6 महीनेबाद क्रमशः B और C को शानमल नकया। वर्षकेअोंत में, लाभ को 1:4:5 केअनुपात मेंनवभानजत नकया गया। B और C द्वारा ननवेश की गई पूोंजी केबीच क्या अोंतर है?<br><br>(a) Rs. 1,08,000<br>(b) Rs. 1,62,000(c) Rs. 2,16,000(d) Rs. 3,24,000				40	Source::AbhasSaini 5. Mathematics::Partnership
P invested Rs. 4000 for one year. Q joined him with an investment of Rs. 6000 after a few months. If at the end of one year the ratio of profits of P and Q is 4:3, then Q joined after how many months?<br><br>P नेएक वर्षके नलए 4000 रुपयेका ननवेश नकया। कु छ महीनो ोंकेबाद Q 6000 रुपयेके ननवेश केसाथ उसकेसाथ जुड़ गया। यनद एक वर्षकेअोंत मेंP और Q केलाभ का अनुपात 4:3 है, तो Q नकतनेमहीनेबाद शानमल हुआ?<br><br>(a) 4 months<br>(b) 3 months(c) 8 months(d) 6 months				40	Source::AbhasSaini 5. Mathematics::Partnership
