Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
What is the average of the first 15 whole numbers ?<br><br>(a) 8<br>(b) 7<br>(c) 9<br>(d) 10				40	Source::AbhasSaini 5.Mathematics::Average
What is the ratio of the average of first eight prime numbers to the average of first ten even natural numbers ?<br><br>(a) 1:7<br>(b) 7:80<br>(c) 8:70<br>(d) 7:8				40	Source::AbhasSaini 5.Mathematics::Average
What is the average of the first 8 multiples of 6 among the natural numbers ?<br><br>(a) 24<br>(b) 26<br>(c) 27<br>(d) 28				40	Source::AbhasSaini 5.Mathematics::Average
The average of odd numbers upto 200 is ?<br><br>(a) 50<br>(b) 100<br>(c) 75<br>(d) NONE				40	Source::AbhasSaini 5.Mathematics::Average
The average of square of natural numbers from 1 to 77 ?<br><br>(a) 2010<br>(b) 2015<br>(c) 2020<br>(d) 2025				40	Source::AbhasSaini 5.Mathematics::Average
The average of eleven consecutive positive integers in increasing order is 150. If the next four odd numbers are included, then what is the average of all the numbers ?<br><br>(a) 152.33<br>(b) 152.67<br>(c) 152.50<br>(d) 150				40	Source::AbhasSaini 5.Mathematics::Average
The sum of eight consecutive even numbers of set-A is 296. What is the sum of different set of five consecutive whose lowest number is 15 more than the mean of set-A ?<br><br>(a) 275<br>(b) 270<br>(c) 250<br>(d) 286				40	Source::AbhasSaini 5.Mathematics::Average
The average of 8 consecutive even numbers written in ascending order is 23. What is the average of the last 3 numbers, 36 and 40 ?<br><br>(a) 31<br>(b) 31.5<br>(c) 32<br>(d) 34				40	Source::AbhasSaini 5.Mathematics::Average
If the average of N consecutive Numbers is 21, find the average of N+7 consecutive numbers ?<br><br>(a) 28<br>(b) 25<br>(c) 26<br>(d) 27				40	Source::AbhasSaini 5.Mathematics::Average
The average of 15 consecutive positive integers is d. If the last two numbers are excluded, by how much will the average increase or decrease ?<br><br>(a) Will decrease by 1.<br>(b) Will increase by 2.<br>(c) Will decrease by 2.<br>(d) Will increase by 1.				40	Source::AbhasSaini 5.Mathematics::Average
If the sum of eighteen consecutive positive integers is a perfect square then find the smallest possible value of sum ?<br><br>(a) 225<br>(b) 169<br>(c) 289<br>(d) 324				40	Source::AbhasSaini 5.Mathematics::Average
The average of the squares of four consecutive odd natural numbers is 681. The average of 3 times of the largest number and 11 times of the smallest number is ?<br><br>(a) 176<br>(b) 178<br>(c) 170<br>(d) 166				40	Source::AbhasSaini 5.Mathematics::Average
The average of the squares of five consecutive even natural numbers is 264. The average of 5 times of smallest number and 3 times of largest number is ?<br><br>(a) 52<br>(b) 56<br>(c) 60<br>(d) 64				40	Source::AbhasSaini 5.Mathematics::Average
There are N consecutive odd integers in ascending order. The First integer is N and the average of the first Five is 194 less than the last second number. Find the value of N ?<br><br>(a) 100<br>(b) 101<br>(c) 99<br>(d) 102				40	Source::AbhasSaini 5.Mathematics::Average
There are 2 consecutive even numbers and 3 consecutive odd numbers. The average of the even numbers is 3 more than the average of the odd numbers. If the sum of the even numbers is 2 more than the sum of the odd numbers, find the average of the odd numbers ?<br><br>(a) 3<br>(b) 4<br>(c) 5<br>(d) 6				40	Source::AbhasSaini 5.Mathematics::Average
The average of n number is 36. If each of 75% of the numbers is increased by 6 and each of the remaining numbers is decreased by 9, then the new average of the numbers is ?<br><br>(a) 37.125<br>(b) 33.75<br>(c) 38.25<br>(d) 36.25				40	Source::AbhasSaini 5.Mathematics::Average
There are four consecutive odd numbers, denoted as a1, a2, a3, and a4, and three consecutive even numbers, represented by b1, b2, and b3. The average of the four odd numbers is 4 less than the average of the three even numbers. Also, the sum of the three even numbers is 6 less than the sum of the four odd numbers.What is the average of a1, a2, a3, and a4 ?<br><br>(a) 14<br>(b) 18<br>(c) 16<br>(d) 12				40	Source::AbhasSaini 5.Mathematics::Average
A is the average marks of a group of 10 students in a class and A+8 is the average of a group of 15 students which includes the group of 10 students as given. The total marks obtained by the group of 10 students is X and the total marks obtained by the group of 15 students is Y. If X:Y = 3:5, then the value of A + X + Y is _.<br><br>(a) 1964<br>(b) 1845<br>(c) 2012<br>(d) 1992				40	Source::AbhasSaini 5.Mathematics::Average
Let a, b and c be natural numbers. If the average value of 20% of a and 30% of b is 270; that of 10% of b and 25% of c is 115 and the difference between b and c is 200, then what is the value of (a + b + 2c) ?<br><br>(a) 3680<br>(b) 4152<br>(c) 2750<br>(d) 3500				40	Source::AbhasSaini 5.Mathematics::Average
The average of 27 consecutive integers is N. Dropping the first 5 numbers and including the next 9, the average is changed to M. If the value of M²-N² = 301, Then Find the value of M and N.<br><br>(a) 25,18<br>(b) 15,25<br>(c) 12,16<br>(d) 18,20				40	Source::AbhasSaini 5.Mathematics::Average
The average of 7 even consecutive natural number is N. Dropping the first 2 even Numbers and including the next 2 even numbers the average is changed to M. If the value of M² - N² = 240. Then Find M and N ?<br><br>(a) 28,30<br>(b) 34,28<br>(c) 28,32<br>(d) 26,32				40	Source::AbhasSaini 5.Mathematics::Average
