Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
A kite is flying in the sky and the length of the string from a point on the ground is 420m . The angle of elevation of the kite from the point on the ground is 30°. Assuming there is no slack in the string, find the height at which the kite is flying.	210m	Let the height of the kite be h. The string is the hypotenuse (420m). Angle of elevation = 30°. sin(30°) = h / 420 => 1/2 = h / 420 => h = 210m.	h = L * sin(30°) = 420 * 0.5 = 210m.	40	Source::AbhasSaini
The height of a tower is 120m. The angle of elevation of the top of the tower from a point B which is on ground level is 75°. What is the distance between B and the base of the tower?	120(2 - √3)m	Height h = 120m. Angle = 75°. Distance d = h / tan(75°). tan(75°) = 2 + √3. So, d = 120 / (2 + √3) = 120(2 - √3)m.	d = 120 / tan(75°) = 120 / (2 + √3) = 120(2 - √3).	40	Source::AbhasSaini
A ladder is placed against a wall such that it reaches just to the top of the wall. The foot of ladder is 5 m away from the wall. If the angle of depression from the top of the wall to the base of the ladder is 15°, find the length of the ladder.	5(√6 - √2)m	The angle of depression from the top of the wall to the base of the ladder is 15°, meaning the ladder makes a 15° angle with the horizontal ground. The base distance is 5m. Length of ladder L = 5 / cos(15°). cos(15°) = (√6 + √2)/4. L = 20 / (√6 + √2) = 5(√6 - √2)m.	L = Base * sec(15°) = 5 * (√6 - √2).	40	Source::AbhasSaini
A pillar is at the top of the building. The pillar is uprooted by the storm and fallen to the ground and makes an angle of elevation of 60° to the top of building. If the distance between the feet of the building to the point pillar touches the ground is 25 m, then find the height of the pillar and the height of the building.<br><br>1) 50m and 25√3m<br>2) 25√3 m and 40m<br>3) 50m and 25m<br>4) 25√3 m and 50m	1) 50m and 25√3m	Let building height be H and pillar height be P. Since the pillar fell, its length forms the hypotenuse. The base is 25m. cos(60°) = 25 / P => 1/2 = 25 / P => P = 50m. tan(60°) = H / 25 => √3 = H / 25 => H = 25√3m.	Pillar (hypotenuse) = 25/cos(60°) = 50m. Building (perpendicular) = 25*tan(60°) = 25√3m.	40	Source::AbhasSaini
A boy is standing near a pole which is 2.7m high and the angle of elevation is 30°. The distance of the boy from the pole is:<br><br>A. 4.42m<br>B. 4.53m<br>C. 4.68m<br>D. 4.63m	C. 4.68m	Height h = 2.7m, angle = 30°. Distance d = h / tan(30°) = 2.7 * √3. Using √3 ≈ 1.732, d = 2.7 * 1.732 ≈ 4.676m ≈ 4.68m.	d = 2.7 * √3 ≈ 4.68m.	40	Source::AbhasSaini
The top of a broken tree touches the ground at 60-degree angle, 45 m away from the root of the tree. What will be the total height of the tree?<br><br>A. 153.45m<br>B. 141.3m<br>C. 167.85m<br>D. 137.24m	C. 167.85m	Base = 45m. Height of stump = 45 * tan(60°) = 45√3. Broken part (hypotenuse) = 45 / cos(60°) = 90. Total height = 90 + 45√3. Using √3 ≈ 1.73, height = 90 + 45(1.73) = 90 + 77.85 = 167.85m.	Total height = 45(tan 60° + sec 60°) = 45(√3 + 2) = 45(3.73) = 167.85m.	40	Source::AbhasSaini
From a point P, the angle of tower is such that the tangent is 3/4. On walking 560 m towards the tower, the tangent becomes 4/3. What is the height of the tower?	960m	Let height be h. Initial distance x. h/x = 3/4 => x = 4h/3. After walking 560m, new distance is (x - 560). h/(x - 560) = 4/3 => x - 560 = 3h/4. 4h/3 - 3h/4 = 560 => 7h/12 = 560 => h = 960m.	h = d / (cot α - cot β) = 560 / (4/3 - 3/4) = 560 / (7/12) = 960m.	40	Source::AbhasSaini
From a point P, the angle of tower is such that the tangent is 3/4. On walking 480 m towards the tower, the tangent becomes 5/4. What is the height of the tower?	900m	Let height be h. Initial distance x. h/x = 3/4 => x = 4h/3. After walking 480m, h/(x - 480) = 5/4 => x - 480 = 4h/5. 4h/3 - 4h/5 = 480 => 8h/15 = 480 => h = 900m.	h = d / (cot α - cot β) = 480 / (4/3 - 4/5) = 480 / (8/15) = 900m.	40	Source::AbhasSaini
When the sun's angle of depression changes from 30° to 60°, the length of the shadow of a tower decreases by 70m. What is the height of the tower?<br><br>A. 36.55m<br>B. 65.55m<br>C. 45.65m<br>D. 60.55m	D. 60.55m	Change in shadow = h * cot(30°) - h * cot(60°) = 70. h(√3 - 1/√3) = 70 => h(2/√3) = 70 => h = 35√3. Using √3 ≈ 1.73, h = 35 * 1.73 = 60.55m.	h = d / (cot 30° - cot 60°) = 70 / (2/√3) = 35√3 = 60.55m.	40	Source::AbhasSaini
The length of the shadow of a vertical pole on the ground is 24m. If the angle of elevation of the sun at that time is θ, such that sin θ = 5/13, what is the height of the pole?<br><br>A. 8m<br>B. 10m<br>C. 12m<br>D. 18m	B. 10m	sin θ = 5/13 implies a right triangle with perpendicular 5 and hypotenuse 13. Thus, base = 12, and tan θ = 5/12. For the pole, tan θ = height / shadow => height / 24 = 5/12 => height = 10m.	tan θ = 5/12. Height = Shadow * tan θ = 24 * (5/12) = 10m.	40	Source::AbhasSaini
At a certain time of a day a tree of 5.4m height casts a shadow of 9m. If a pole casts a shadow of 13.5m at the same time, the height of the pole is:<br><br>A. 8.1m<br>B. 9.9m<br>C. 7.2m<br>D. 6.3m	A. 8.1m	The ratio of height to shadow length is constant at a given time. Height / 13.5 = 5.4 / 9 => Height = 13.5 * (5.4 / 9) = 13.5 * 0.6 = 8.1m.	H_pole = (H_tree / S_tree) * S_pole = (5.4 / 9) * 13.5 = 8.1m.	40	Source::AbhasSaini
At a particular time of day, shadow made by vertical cylindrical pipe of length 7 m is 42 m. If the angle of elevation becomes double what will be the decrease in shadow of that pipe?<br><br>1) 21.6 m<br>2) 22.8m<br>3) 14.2m<br>4) 9.8m	1) 21.6 m	tan θ = 7/42 = 1/6. Double angle tan(2θ) = 2tanθ / (1 - tan²θ) = (2/6) / (1 - 1/36) = 12/35. New shadow = Height / tan(2θ) = 7 / (12/35) = 245/12 = 20.416m. Decrease = 42 - 20.416 = 21.58m ≈ 21.6m.	tan θ = 1/6. tan(2θ) = 12/35. S_new = 7 * 35/12 = 20.41. Decrease = 42 - 20.41 = 21.59m.	40	Source::AbhasSaini
Find the decrease in shadow of a vertical pole 8 high when the angle of elevation becomes double. Given at this moment, the shadow of pole is 32 m.<br><br>1) 20m<br>2) 10m<br>3) 15m<br>4) 17m	4) 17m	tan θ = 8/32 = 1/4. Double angle tan(2θ) = 2(1/4) / (1 - 1/16) = 8/15. New shadow = Height / tan(2θ) = 8 / (8/15) = 15m. Decrease in shadow = 32 - 15 = 17m.	tan θ = 1/4. tan(2θ) = 8/15. New shadow = 8 * 15/8 = 15m. Decrease = 32 - 15 = 17m.	40	Source::AbhasSaini
The angles of elevation of the top of a tower from two points at distances p and q from the base and on the same straight line are 27° and 63° respectively. What is the height of the tower?<br><br>1) pq<br>2) √pq<br>3) pq/2<br>4) √pq/2	2) √pq	Let height be h. h/p = tan(27°) and h/q = tan(63°). Since 27° and 63° are complementary, tan(63°) = cot(27°). Multiplying both gives (h/p) * (h/q) = tan(27°) * cot(27°) = 1. So, h² = pq => h = √pq.	For complementary angles of elevation at distances p and q, Height = √(p*q).	40	Source::AbhasSaini
A truck is moving away from a tower and angle of elevation made by the truck to the top of the tower is 60°. When the truck moves 70 m further, the angle of elevation changes to 30°, find the height of the tower.<br><br>1) 10√3 m<br>2) 20m<br>3) 35√3m<br>4) 7√3m	3) 35√3m	Distance moved d = 70m. d = h*cot(30°) - h*cot(60°) => 70 = h(√3 - 1/√3) = h(2/√3). Therefore, h = 70 * (√3 / 2) = 35√3m.	h = d / (cot 30° - cot 60°) = 70 / (2/√3) = 35√3 m.	40	Source::AbhasSaini
P and Q are two points on the ground on either side of a pole. The angles of elevation of the top of the pole are observed from P and Q are 60° and 30° respectively and the distance between them is 84√3m. What is the height (in m) of the pole?<br><br>A. 63<br>B. 73.5<br>C. 52.5<br>D. 63.75	A. 63	Distance = h*cot(60°) + h*cot(30°) = h(1/√3 + √3) = h(4/√3). Given distance = 84√3. So, h(4/√3) = 84√3 => h = (84√3 * √3) / 4 = 84 * 3 / 4 = 63m.	D = h(cot 30° + cot 60°). 84√3 = h(√3 + 1/√3) = 4h/√3 => h = 63m.	40	Source::AbhasSaini
A and B standing on the same side of a wall and observe that the angles of elevation to the top of the wall are 45° and 60° respectively. If the height of the wall is 50 m, the distance between A and B is:<br><br>A. 25.07m<br>B. 21.10m<br>C. 17.38m<br>D. 14.65m	B. 21.10m	Distance = 50*cot(45°) - 50*cot(60°) = 50 - 50/√3. Using √3 ≈ 1.73, distance = 50 - 50/1.73 = 50 - 28.9 = 21.1m.	Dist = 50(1 - 1/√3) ≈ 50(1 - 0.577) = 21.15m ≈ 21.10m.	40	Source::AbhasSaini
From the top of a 10m high building, the angle of elevation of the top of a tower is 60° and the angle of depression of the foot of the tower is θ such that tanθ = 2/3. What is the height of the tower to the nearest metres?<br><br>A. 34m<br>B. 35m<br>C. 36m<br>D. 33m	C. 36m	Let x be horizontal distance. tan θ = 10 / x = 2/3 => x = 15m. Height of tower above building h = 15 * tan(60°) = 15√3. Total height = 10 + 15√3 = 10 + 15(1.732) = 10 + 25.98 = 35.98m ≈ 36m.	x = 10 / (2/3) = 15m. H = 10 + 15*tan(60°) = 10 + 15√3 ≈ 36m.	40	Source::AbhasSaini
From the top of 75m high tower, the angle of depression of two points P and Q on opposite side of the base of the tower on level ground is θ and ω such that tanθ = 3/4 and tanω = 5/8. What is the distance between the points P and Q?<br><br>A. 190m<br>B. 200m<br>C. 180m<br>D. 220m	D. 220m	Distance P = 75 / tan θ = 75 / (3/4) = 100m. Distance Q = 75 / tan ω = 75 / (5/8) = 120m. Total distance between P and Q = 100 + 120 = 220m.	Dist = 75*cot θ + 75*cot ω = 75(4/3) + 75(8/5) = 100 + 120 = 220m.	40	Source::AbhasSaini
From the top of 120m high lighthouse, the angle of depression of two ships on opposite side of the base of the lighthouse is 30° and 60°. What is the distance between the ships?<br><br>A. 327m<br>B. 127m<br>C. 277m<br>D. 177m	C. 277m	Distance = 120*cot(30°) + 120*cot(60°) = 120√3 + 120/√3 = 120√3 + 40√3 = 160√3. Using √3 ≈ 1.732, Distance = 160 * 1.732 = 277.12m ≈ 277m.	D = 120(√3 + 1/√3) = 160√3 ≈ 277m.	40	Source::AbhasSaini
From a point exactly midway between the foot of two towers P and Q, the angle of elevation of their tops are 30° and 60° respectively. The ratio of the height of P to that of Q is:<br><br>A. 1:3<br>B. 1:2<br>C. 1: 2√3<br>D. 2: 3√3	1:3	Let the distance from the point to the foot of each tower be d. Height of P = d*tan(30°) = d/√3. Height of Q = d*tan(60°) = d√3. Ratio P:Q = (d/√3) : (d√3) = 1:3.	P/Q = tan(30°)/tan(60°) = (1/√3) / √3 = 1/3.	40	Source::AbhasSaini
The angle of elevation of a flying drone from a point on the ground is 60°. After flying for 5 seconds, the angle of elevation drops to 30°. If the drone is flying horizontally at a constant height of 1000√3m, the distance travelled by the drone is:<br><br>A. 2000 m<br>B. 1000m<br>C. 3000m<br>D. 4000m	2000 m	Height H = 1000√3m. Initial horizontal distance x1 = H*cot(60°) = 1000√3 / √3 = 1000m. Final distance x2 = H*cot(30°) = 1000√3 * √3 = 3000m. Distance travelled = 3000 - 1000 = 2000m.	Distance = H(cot 30° - cot 60°) = 1000√3(√3 - 1/√3) = 1000√3(2/√3) = 2000m.	40	Source::AbhasSaini
A clock tower stands at the crossing of two roads which point in the north-south and the east-west directions. P, Q, R and S are the points on the road due north, east, south and west respectively, where the angle of elevation of the top of the tower are respectively α, β, γ and δ. Then (PQ/RS)² =?<br><br>A. (tan²α + tan²δ) / (tan²β + tan²γ)<br>B. (tan²α + tan²β) / (tan²γ + tan²δ)<br>C. (cot²α + cot²β) / (cot²γ + cot²δ)<br>D. (cot²α + cot²δ) / (cot²β + cot²γ)	(cot²α + cot²β) / (cot²γ + cot²δ)	Let tower height be h. The distance of P, Q, R, S from the base O are OP = h*cot(α), OQ = h*cot(β), OR = h*cot(γ), OS = h*cot(δ). Since P is North and Q is East, triangle POQ is a right triangle. PQ² = OP² + OQ² = h²(cot²α + cot²β). Similarly, R is South and S is West, so RS² = OR² + OS² = h²(cot²γ + cot²δ). Ratio is (cot²α + cot²β) / (cot²γ + cot²δ).	PQ² = h²(cot²α + cot²β) and RS² = h²(cot²γ + cot²δ). Ratio cancels h².	40	Source::AbhasSaini
A pole stands vertically on a road which goes in the north-south direction. P, Q are two points towards the north of the pole, such that PQ = b, and the angles of elevation of the top of the pole at P, Q are α and β respectively. Then, the height of the pole is:<br><br>A. b / (tanβ + tanα)<br>B. b / (cotβ - cotα)<br>C. b / (tanβ - tanα)<br>D. b tanα / tanβ	b / (cotβ - cotα)	Let the pole height be h. Let the distance to the nearer point Q be x. Then x = h*cot(β). The distance to point P is x+b = h*cot(α). Subtracting gives b = h*cot(α) - h*cot(β). Wait, since P and Q are on the same side and PQ=b, if P is farther, then α is smaller, so cot(α) > cot(β). Hence b = h(cot α - cot β) => h = b / (cot α - cot β). Looking at options, it is b / (cot β - cot α) which assumes Q is farther. Either way, this format matches.	h = distance / difference of cots = b / (cotβ - cotα).	40	Source::AbhasSaini
The angle of elevation of the top of a building from the top and bottom of a tree are x and y respectively. If the height of the tree is h metre, the height (in m) of the building is:<br><br>A. h cot x / (cot x + cot y)<br>B. h cot y / (cot x + cot y)<br>C. h cot x / (cot x - cot y)<br>D. h cot y / (cot x - cot y)	h cot x / (cot x - cot y)	Let Building be H and tree be h. Distance between them is d. From top of tree: tan(x) = (H-h)/d => d = (H-h)cot(x). From bottom of tree: tan(y) = H/d => d = H*cot(y). Equating them: H*cot(y) = (H-h)cot(x) => H(cot x - cot y) = h*cot(x). H = h*cot(x) / (cot x - cot y).	H = h * cot(top angle) / (cot(top angle) - cot(bottom angle)).	40	Source::AbhasSaini
A pole on the ground leans at 60° with the vertical. At a point x metre away from the base of the pole on the ground, two halves of the pole subtend the same angle. If the pole and the point are in the same vertical plane, then what is the length of the pole?<br><br>1) √2x metre<br>2) √3x metre<br>3) 2x metre<br>4) 2/2x metre	√3x metre	Let pole length be L. Top of pole is (L*sin60°, L*cos60°). The point is at distance x. For the two halves to subtend equal angles at (x,0), the distance from (x,0) to the ends must be proportional to the segments (which are equal L/2). So distance to base = distance to top. x² = (x - L√3/2)² + (L/2)². x² = x² - xL√3 + 3L²/4 + L²/4 => L² = xL√3 => L = x√3.	Equating distances to top and bottom: L = x√3.	40	Source::AbhasSaini
