Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
A kite is flying in the sky and the length of the string from a point on the ground is 420m . The angle of elevation of the kite from the point on the ground is 30°. Assuming there is no slack in the string, find the height at which the kite is flying.				40	Source::AbhasSaini 5.Mathematics::Heights&Distances
The height of a tower is 120m. The angle of elevation of the top of the tower from a point B which is on ground level is 75°. What is the distance between B and the base of the tower?				40	Source::AbhasSaini 5.Mathematics::Heights&Distances
A ladder is placed against a wall such that it reaches just to the top of the wall. The foot of ladder is 5 m away from the wall. If the angle of depression from the top of the wall to the base of the ladder is 15°, find the length of the ladder.				40	Source::AbhasSaini 5.Mathematics::Heights&Distances
A pillar is at the top of the building. The pillar is uprooted by the storm and fallen to the ground and makes an angle of elevation of 60° to the top of building. If the distance between the feet of the building to the point pillar touches the ground is 25 m, then find the height of the pillar and the height of the building.<br><br>1) 50m and 25√3m<br>2) 25√3 m and 40m<br>3) 50m and 25m<br>4) 25√3 m and 50m				40	Source::AbhasSaini 5.Mathematics::Heights&Distances
A boy is standing near a pole which is 2.7m high and the angle of elevation is 30°. The distance of the boy from the pole is:<br><br>A. 4.42m<br>B. 4.53m<br>C. 4.68m<br>D. 4.63m				40	Source::AbhasSaini 5.Mathematics::Heights&Distances
The top of a broken tree touches the ground at 60-degree angle, 45 m away from the root of the tree. What will be the total height of the tree?<br><br>A. 153.45m<br>B. 141.3m<br>C. 167.85m<br>D. 137.24m				40	Source::AbhasSaini 5.Mathematics::Heights&Distances
From a point P, the angle of tower is such that the tangent is 3/4. On walking 560 m towards the tower, the tangent becomes 4/3. What is the height of the tower?				40	Source::AbhasSaini 5.Mathematics::Heights&Distances
From a point P, the angle of tower is such that the tangent is 3/4. On walking 480 m towards the tower, the tangent becomes 5/4. What is the height of the tower?				40	Source::AbhasSaini 5.Mathematics::Heights&Distances
When the sun's angle of depression changes from 30° to 60°, the length of the shadow of a tower decreases by 70m. What is the height of the tower?<br><br>A. 36.55m<br>B. 65.55m<br>C. 45.65m<br>D. 60.55m				40	Source::AbhasSaini 5.Mathematics::Heights&Distances
The length of the shadow of a vertical pole on the ground is 24m. If the angle of elevation of the sun at that time is θ, such that sin θ = 5/13, what is the height of the pole?<br><br>A. 8m<br>B. 10m<br>C. 12m<br>D. 18m				40	Source::AbhasSaini 5.Mathematics::Heights&Distances
At a certain time of a day a tree of 5.4m height casts a shadow of 9m. If a pole casts a shadow of 13.5m at the same time, the height of the pole is:<br><br>A. 8.1m<br>B. 9.9m<br>C. 7.2m<br>D. 6.3m				40	Source::AbhasSaini 5.Mathematics::Heights&Distances
