Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
0.007 is equivalent to 0.<br><br>(a) 7%<br>(b) 0.7%<br>(c) 0.07%<br>(d) 70%	0.7%	To convert a decimal to a percentage, multiply by 100 and add the % sign. 0.007 * 100 = 0.7. Thus, 0.007 is 0.7%.	Shift the decimal point two places to the right: 0.007 -> 0.7%.	40	Source::AbhasSaini
2.34 expressed as a percent of 3.9 is 3.<br><br>(a) 6%<br>(b) 0.6%<br>(c) 0.06%<br>(d) 60%	60%	To find what percent one number is of another, divide the part by the whole and multiply by 100. (2.34 / 3.9) * 100% = 0.6 * 100% = 60%.	(2.34 / 3.9) * 100% = (23.4 / 3.9) * 10% = 6 * 10% = 60%.	40	Source::AbhasSaini
What is 5% of 50% of 500?<br><br>(a) 12.5<br>(b) 25<br>(c) 1.25<br>(d) 6.25	12.5	First, find 50% of 500, which is 0.50 * 500 = 250. Then, find 5% of 250, which is 0.05 * 250 = 12.5.	5% of 50% of 500 = (5/100) * (50/100) * 500 = 0.05 * 0.5 * 500 = 12.5.	40	Source::AbhasSaini
If A is 85% of B and B is 60% of C. If A + B + C is 211 then find the value of B + 2C − 4A<br><br>(a) 56<br>(b) 52<br>(c) 50<br>(d) 48	56	Let C = 100x. Then B = 60% of C = 60x. A = 85% of B = 0.85 * 60x = 51x. Given A + B + C = 211, so 51x + 60x + 100x = 211x = 211, which gives x = 1. Thus, A = 51, B = 60, C = 100. Value of B + 2C - 4A = 60 + 200 - 4(51) = 260 - 204 = 56.	Assume C=100. B=60, A=51. Sum=211, which matches exactly. B + 2C - 4A = 60 + 200 - 204 = 56.	40	Source::AbhasSaini
A is 120% of B and B is 65% of C. If the sum of A, B and C is 121.5, then the value of C − 2B + A is<br><br>(a) 14<br>(b) 35<br>(c) 24<br>(d) 39	24	Let C = 100x. B = 65% of C = 65x. A = 120% of B = 1.2 * 65x = 78x. Sum = 78x + 65x + 100x = 243x. Given 243x = 121.5, so x = 0.5. A = 39, B = 32.5, C = 50. Value of C - 2B + A = 50 - 2(32.5) + 39 = 50 - 65 + 39 = 24.	Take C=100, B=65, A=78. Sum=243. Given sum is 121.5 (half). So true values are half. C - 2B + A = (100 - 130 + 78)/2 = 48/2 = 24.	40	Source::AbhasSaini
Two numbers A and B are such that the sum of 5% of A and 6% of B is equal to the sum of 7% of A and 4.4% of B, then what is the value of B : A ?<br><br>(a) 5 : 4<br>(b) 4 : 5<br>(c) 2 : 3<br>(d) 3 : 2	5 : 4	5% of A + 6% of B = 7% of A + 4.4% of B. Bringing like terms together: 6% of B - 4.4% of B = 7% of A - 5% of A. This gives 1.6% of B = 2% of A. Therefore, B / A = 2 / 1.6 = 20 / 16 = 5 / 4. Ratio is 5:4.	1.6B = 2A => B:A = 2:1.6 = 20:16 = 5:4.	40	Source::AbhasSaini
Three numbers A, B and C are in the ratio of 5 : 3 : 4. If each number is increased by 10%, 15% and 20% respectively, then what will be the new ratio?<br><br>(a) 110 : 69 : 96<br>(b) 55 : 69 : 48<br>(c) 66 : 69 : 42<br>(d) 11 : 23 : 24	110 : 69 : 96	Let the numbers be 500, 300, and 400. After increases, new A = 500 + 10% = 550. New B = 300 + 15% = 345. New C = 400 + 20% = 480. New ratio = 550 : 345 : 480. Dividing by 5 gives 110 : 69 : 96.	5(1.1) : 3(1.15) : 4(1.2) = 5.5 : 3.45 : 4.8 = 550 : 345 : 480 = 110 : 69 : 96.	40	Source::AbhasSaini
0. The price of fuel decreases by 55%, 55%, and 55% in three successive months, but increases by 65% in the fourth month. What is the percentage increase/decrease (rounded off to two decimal places) in the price of fuel in the fourth month, as compared to its original price ?<br><br>A. Increases by 80.47%<br>B. Increases by 89.44%<br>C. Decreases by 82.18%<br>D. Decreases by 84.96%	Decreases by 84.96%	Let original price be P. Multipliers for 55% decrease are 0.45. For 65% increase is 1.65. Final price = P * 0.45 * 0.45 * 0.45 * 1.65 = P * 0.15035625. This is approximately 15.04% of original, meaning it decreased by (100 - 15.04) = 84.96%.	Net factor = (0.45)³ × 1.65 ≈ 0.15036. Net decrease = (1 - 0.15036) × 100 ≈ 84.96%.	40	Source::AbhasSaini
1. A company's stock price increases by x% in the first quarter and decreases by the same x% in the second quarter. If the final stock price is 14% lower than the initial price, what is the value of x? (Round off the answer to two decimal places.<br><br>A. 37.69 B. 37.42 C. 37.27 D. 37.98	37.42	Successive x% increase and x% decrease yields a net decrease of (x²/100)%. Given final price is 14% lower, the net decrease is 14%. Therefore, x²/100 = 14 => x² = 1400. x = √1400 ≈ 37.4165. Rounded to two decimal places, x = 37.42.	Net change = -x²/100. -14 = -x²/100 => x² = 1400 => x = 37.42.	40	Source::AbhasSaini
What will be difference in population 3 years ago and 2 years ago of a town, whose current population is 190000 and which is increasing at a rate of 25% every year ?<br><br>A. 24670 B. 23770<br>C. 24320 D. 23570	24320	Let P be the current population (190000). Population n years ago = P / (1+r/100)^n. Population 2 yrs ago = 190000 / (1.25)² = 190000 / 1.5625 = 121600. Population 3 yrs ago = 121600 / 1.25 = 97280. Difference = 121600 - 97280 = 24320.	P(-2) = 190,000 / 1.25² = 121,600. P(-3) = 121,600 / 1.25 = 97,280. Diff = 24,320.	40	Source::AbhasSaini
The price of an article decreased by 8% every year. If the difference between the price at the end of third and fourth year is 69, then 40% of the price at the end of second year is<br><br>(a) 325<br>(b) 350<br>(c) 375<br>(d) 380	375	Let price at end of 2nd year be P. Price at 3rd year = P * 0.92. Price at 4th year = P * 0.92 * 0.92. Difference = P * 0.92 - P * 0.8464 = P * 0.92 * (1 - 0.92) = P * 0.92 * 0.08. Given this is 69, P * 0.0736 = 69 => P = 937.5. We need 40% of P = 0.4 * 937.5 = 375.	P3 - P4 = 8% of P3 = 69 => P3 = 862.5. P2 = 862.5 / 0.92 = 937.5. 40% of 937.5 = 375.	40	Source::AbhasSaini
The price of an article decreased by 6% every year. If the difference between the price at the end of third and fourth year is 141, then 8% of the price at the end of second year is<br><br>(a) 200<br>(b) 180<br>(c) 210<br>(d) 205	200	Let P3 be price at end of 3rd year. P4 = P3 * 0.94. Difference = P3 * 0.06 = 141 => P3 = 141 / 0.06 = 2350. Price at 2nd year P2 = P3 / 0.94 = 2350 / 0.94 = 2500. We need 8% of P2 = 0.08 * 2500 = 200.	6% of P3 = 141 => P3 = 2350. P2 = 2350 / 0.94 = 2500. 8% of 2500 = 200.	40	Source::AbhasSaini
The price of an article increased by 15% every year. If the difference between the price at the end of third and fourth year is 138 then 65% of the price at the end of second year?<br><br>(a) 520<br>(b) 180<br>(c) 210<br>(d) 205	520	Let P3 be price at end of 3rd year. P4 = P3 * 1.15. Difference = P4 - P3 = P3 * 0.15 = 138. So P3 = 138 / 0.15 = 920. Price at 2nd year P2 = P3 / 1.15 = 920 / 1.15 = 800. We need 65% of P2 = 0.65 * 800 = 520.	15% of P3 = 138 => P3 = 920. P2 = 920 / 1.15 = 800. 65% of 800 = 520.	40	Source::AbhasSaini
The price of an article increased by 16.66% every year. If the difference between the price at the end of third and fourth year is 126 then 1/8th of the price at the end of second year?<br><br>(a) 81<br>(b) 90<br>(c) 70<br>(d) 75	81	16.66% is 1/6. Price increases by 1/6 each year. Let P3 be price at 3rd year. P4 = P3 + P3/6. Difference is P3/6 = 126 => P3 = 756. P2 = P3 / (7/6) = 756 * 6 / 7 = 648. We need 1/8th of P2 = 648 / 8 = 81.	1/6 of P3 = 126 => P3 = 756. P2 = 756 * (6/7) = 648. 1/8 of 648 = 81.	40	Source::AbhasSaini
The value of a machine depreciates at the rate of 20% each year. If the difference between the values at the end of third and fourth year is 204.8 then 20% of the price at the end of first year?<br><br>(a) 320<br>(b) 280<br>(c) 150<br>(d) 380	320	Let P3 be price at 3rd year. P4 = P3 * 0.8. Difference = P3 * 0.2 = 204.8 => P3 = 1024. P2 = P3 / 0.8 = 1280. P1 = P2 / 0.8 = 1600. We need 20% of P1 = 0.2 * 1600 = 320.	20% of P3 = 204.8 => P3 = 1024. P1 = 1024 / (0.8)² = 1600. 20% of P1 = 320.	40	Source::AbhasSaini
The population of a city decreases by 14.28%, 7.69% and 12.5% respectively. If the population of the city decreases by 5040 during the second year then find the total decrement during three years?<br><br>(a) 25364<br>(b) 23520<br>(c) 28452<br>(d) 32054	23520	Decreases: 14.28% = 1/7, 7.69% = 1/13, 12.5% = 1/8. P1 = P0 * 6/7. Decrease in 2nd year = P1 * 1/13. Given as 5040, so P1 = 5040 * 13 = 65520. P0 = 65520 * 7/6 = 76440. P3 = P0 * (6/7) * (12/13) * (7/8) = 76440 * 3/4 = 57330? Wait, 6/7 * 12/13 * 7/8 = 9/13. P3 = 76440 * 9/13 = 52920. Decrement = 76440 - 52920 = 23520.	P1 * 1/13 = 5040 => P1 = 65520. P0 = 65520 * (7/6) = 76440. P3 = 65520 * (12/13) * (7/8) = 52920. Diff = 23520.	40	Source::AbhasSaini
The price of an item increases successively by 20% and 12% and then the resulting price is decreased by 30%. If the final price is ₹735 then 20% of the original price is<br><br>(a) 156.25<br>(b) 162.50<br>(c) 150<br>(d) 222.75	156.25	Final price = P * 1.20 * 1.12 * 0.70 = 0.9408 P. Given 0.9408 P = 735 => P = 735 / 0.9408 = 781.25. 20% of P = 0.20 * 781.25 = 156.25.	P = 735 / (1.2 * 1.12 * 0.7) = 781.25. 20% of 781.25 = 156.25.	40	Source::AbhasSaini
During the first year the population of a town increases by 12% and in the second year it diminishes by 8%. At the end of the second year the population is 1932. What was the population at the beginning of the first year?<br><br>(a) 1725<br>(b) 1875<br>(c) 1825<br>(d) 1775	1875	Let P be the initial population. After 1st year, it is P * 1.12. After 2nd year, it is P * 1.12 * 0.92 = 1.0304 P. Given 1.0304 P = 1932 => P = 1932 / 1.0304 = 1875.	P * 1.12 * 0.92 = 1932 => P = 1932 / 1.0304 = 1875.	40	Source::AbhasSaini
A is 33.33% less than B and C is 20% more than D. If D is 50% more than A, then which of the following is true?<br><br>(a) C = 0.20B<br>(b) B = 1.2C<br>(c) A = 0.22C<br>(d) A = 1.75D	C = 1.20B (assuming typo in option a)	A = (2/3)B => B = 1.5A. C = 1.2D. D = 1.5A. So C = 1.2(1.5A) = 1.8A. Ratio B/C = 1.5A / 1.8A = 5/6. Therefore C = 1.2B. (The closest option (a) 'C = 0.20B' is likely a typo for C = 1.20B).	A=100. B=150. D=150. C=1.2(150)=180. Thus C = 1.2B.	40	Source::AbhasSaini
If the first number is 15% less than the third number and the ratio of the second and third numbers is 3 : 5, then by what percentage is the average of the first and third numbers more than the second number?<br><br>(a) 54.16%<br>(b) 50%<br>(c) 52%<br>(d) 55%	54.16%	Let third number be 100x. First number = 85x. Second number = 100x * (3/5) = 60x. Average of first and third = (85x + 100x) / 2 = 92.5x. Difference from second = 92.5x - 60x = 32.5x. Percentage more = (32.5x / 60x) * 100% = 325/6 % = 54.16%.	T=100. F=85. S=60. Avg(F,T) = 92.5. Diff = 32.5. % = 32.5/60 * 100 = 54.16%.	40	Source::AbhasSaini
A number is mistakenly divided by 4 instead of multiplying by 4. What is the percentage change in the result due to this mistake?<br><br>(a) 25%<br>(b) 50%<br>(c) 72.75%<br>(d) 93.75%	93.75%	Let the number be x. Intended result = 4x. Actual result = x/4. Error = 4x - x/4 = 15x/4. Percentage change = (Error / Intended) * 100 = (15/16) * 100 = 93.75%.	Change = (4 - 1/4)/4 * 100 = (15/16) * 100 = 93.75%.	40	Source::AbhasSaini
A number is mistakenly multiplied by 7/9 instead of being multiplied by 8/9. What is the percentage change in the result due to this mistake?<br><br>(a) 11 1/7%<br>(b) 12 1/2%<br>(c) 13 1/3%<br>(d) 14 2/7%	12 1/2%	Intended = 8x/9, Actual = 7x/9. Error = x/9. Percentage error = (x/9) / (8x/9) * 100 = 1/8 * 100 = 12.5% = 12 1/2%.	Error % = ((8/9 - 7/9) / (8/9)) * 100 = 1/8 * 100 = 12.5%.	40	Source::AbhasSaini
If a student multiplied a number by 6/11 instead of 5/6 find the % error in the calculation?<br><br>(a) 32 5/11%<br>(b) 34 6/11%<br>(c) 30 2/11%<br>(d) 28 5/11%	34 6/11%	Intended value = 5x/6. Actual value = 6x/11. Error = 5x/6 - 6x/11 = 19x/66. Percentage error = (19x/66) / (5x/6) * 100 = (19/55) * 100 = 380/11 = 34 6/11 %.	Assume number is 66 (LCM of 6,11). Intended = 55, Actual = 36. Error = 19. % Error = 19/55 * 100 = 380/11 = 34 6/11 %.	40	Source::AbhasSaini
If the numerator of a fraction is increased by 12% and its denominator is decreased by 10%, the value of fraction becomes 16/25, then find the original fraction.<br><br>(a) 17/11<br>(b) 13/19<br>(c) 18/35<br>(d) 29/23	18/35	Let the original fraction be N/D. New fraction = (1.12 N) / (0.90 D) = 16/25. N/D = (16/25) * (0.90/1.12) = (16/25) * (90/112) = 1440 / 2800 = 18/35.	N/D = 16/25 * 90/112 = 18/35.	40	Source::AbhasSaini
A fraction is reduced such that when it is squared and then its numerator is increased by 20% and denominator is reduced by 25%, it results in 6/5 of the original fraction. The product of the numerator and denominator is?<br><br>(a) 12<br>(b) 15<br>(c) 16<br>(d) 20	12	Let original fraction be x/y. Its square is x²/y². Numerator +20% -> 1.2 x², Denominator -25% -> 0.75 y². This equals 6/5 (x/y). So (1.2/0.75) * (x/y)² = 1.2 (x/y) => 1.6 (x/y) = 1.2 => x/y = 1.2/1.6 = 3/4. Product = 3*4 = 12.	1.6 F² = 1.2 F => F = 3/4. Product of 3 and 4 is 12.	40	Source::AbhasSaini
The number of peacocks in a bird sanctuary was P in the year 2000. The number decreased by 10% in the next decade and increased by 50% in the decade after that. If the difference between the number of peacocks in the years 2020 and 2000 is 5250, and it increased by 36% in the next half decade, then what is the number of peacocks in the year 2025 ?<br><br>A. 27,540 B. 23,850 C. 22,740 D. 25,450	27,540	Pop in 2000 = P. Pop in 2010 = 0.9P. Pop in 2020 = 0.9P * 1.5 = 1.35P. Diff = 1.35P - P = 0.35P = 5250 => P = 15000. Pop in 2020 = 1.35 * 15000 = 20250. Pop in 2025 = 20250 * 1.36 = 27540.	0.35P = 5250 => P2020 = 5250 + P = 5250 + 15000 = 20250. P2025 = 20250 * 1.36 = 27540.	40	Source::AbhasSaini
If decreasing 80 by x% gives the same result as increasing 16 by x%, then x% of 120 is how much percentage more than 33.33% of 210?<br><br>(a) 14.28%<br>(b) 25%<br>(c) 28.56%<br>(d) 12.5%	14.28%	80(1 - x/100) = 16(1 + x/100) => 80 - 16 = 16x/100 + 80x/100 => 64 = 96x/100 => x = 6400/96 = 200/3. Thus x% = 2/3. x% of 120 = (2/3)*120 = 80. 33.33% of 210 = 70. Difference is 10. Percentage more = (10/70)*100 = 14.28%.	80(1-x%) = 16(1+x%) => 5 - 5x% = 1 + x% => 6x% = 4 => x% = 2/3. (2/3)*120=80. 1/3*210=70. % more = 10/70 = 14.28%.	40	Source::AbhasSaini
If decreasing 120 by x% gives the same result as increasing 40 by x%, then x% of 720 is what percentage more than (x+15)% of 200? (Round off to the nearest integer)<br><br>(a) 150%<br>(b) 160%<br>(c) 170%<br>(d) 177%	177%	120(1 - x/100) = 40(1 + x/100) => 3 - 3x/100 = 1 + x/100 => 2 = 4x/100 => x = 50. x% of 720 = 50% of 720 = 360. (x+15)% of 200 = 65% of 200 = 130. Difference is 230. Percentage more = (230/130) * 100 = 176.92% ≈ 177%.	3(1-x%) = 1+x% => x% = 50%. 50% of 720 = 360. 65% of 200 = 130. % more = 230/130 * 100 ≈ 177%.	40	Source::AbhasSaini
A number is first increased by 12.5% and then decreased by 25%. The number so obtained is now increased by 20%. What is the net increase or decrease percentage in the original number?<br><br>(a) 1.5% inc<br>(b) 1.25% inc<br>(c) 1.25% dec<br>(d) 1.5% dec	1.25% inc	Let the number be 100. First increase = 112.5. Decrease 25% = 112.5 * 0.75 = 84.375. Increase 20% = 84.375 * 1.2 = 101.25. Net increase = 1.25%.	Successive factors: (9/8) * (3/4) * (6/5) = 162/160 = 81/80 = 1.0125. Increase = 1.25%.	40	Source::AbhasSaini
A number first increased by 8% and then decreased by 3% to get 2619. What is 5% of that number?<br><br>(a) 125<br>(b) 135<br>(c) 130<br>(d) 140	125	Let the number be N. N * 1.08 * 0.97 = 2619 => N * 1.0476 = 2619 => N = 2500. 5% of this number = 0.05 * 2500 = 125.	N = 2619 / (1.08 * 0.97) = 2500. 5% of 2500 = 125.	40	Source::AbhasSaini
A number is divided into two parts in such a way that 75% of the first part is 6 more than 90% of the second part and 80% of the second part is 12 more than 45% of the first part. Then the number is<br><br>(a) 140<br>(b) 70<br>(c) 80<br>(d) 60	140	Let parts be x and y. 0.75x = 0.9y + 6 => 5x - 6y = 40. And 0.8y = 0.45x + 12 => 16y - 9x = 240. Multiply first by 9 and second by 5: 45x - 54y = 360, -45x + 80y = 1200. Add them: 26y = 1560 => y = 60. Then 5x - 360 = 40 => x = 80. Total = 80 + 60 = 140.	Solve the linear equations: 3x/4 - 9y/10 = 6 and 8y/10 - 9x/20 = 12. Yields x=80, y=60. Sum = 140.	40	Source::AbhasSaini
When a number is increased by 120% then it becomes 70 less than another number, but if that number is increased by 80% then it becomes 130 less than that second number. Find the difference of both the numbers.<br><br>(a) 250<br>(b) 125<br>(c) 175<br>(d) 200	250	Let the numbers be x and y. 2.2x = y - 70 and 1.8x = y - 130. Subtracting the two equations gives 0.4x = 60 => x = 150. Substitute x back to get y = 2.2(150) + 70 = 400. Difference = 400 - 150 = 250.	Difference of increases is 40% of x = 130 - 70 = 60 => x = 150. y = 2.2*150 + 70 = 400. y - x = 250.	40	Source::AbhasSaini
If the height of a triangle is increased by 20% and the base is increased by 12%, what is the new area if the old area was 200 cm²?<br><br>(a) 234.4<br>(b) 254.4<br>(c) 268.8<br>(d) 216.7	268.8	Area of triangle is proportional to base * height. If height increases by 20% (1.2) and base increases by 12% (1.12), the new area is Area * 1.2 * 1.12 = 200 * 1.344 = 268.8 cm².	Net % increase = 20 + 12 + (20*12)/100 = 34.4%. New Area = 200 * 1.344 = 268.8.	40	Source::AbhasSaini
In measuring the sides of a rectangle, errors of 10% and 8% in excess are made. Find the error percent in its area.<br><br>(a) 1.88%<br>(b) 18.8%<br>(c) 188%<br>(d) 0.188%	18.8%	Let the actual sides be l and w. Measured sides are 1.1l and 1.08w. Measured area = 1.1 * 1.08 * lw = 1.188 lw. Error = (1.188 - 1) * 100 = 18.8%.	Successive percentage formula: a + b + ab/100 = 10 + 8 + 80/100 = 18.8%.	40	Source::AbhasSaini
If each side of a square is increased by 50% then what is the percentage change in its area?<br><br>(a) 75%<br>(b) 90%<br>(c) 110%<br>(d) 125%	125%	Let side be s. New side = 1.5s. New area = (1.5s)² = 2.25s². Increase = 2.25 - 1 = 1.25, which is 125%.	Successive percentage: 50 + 50 + (50*50)/100 = 125%.	40	Source::AbhasSaini
The lengths of two adjacent sides of a square are increased by 35% and 25% respectively. As a result the area of the rectangle will be more than the area of the square by<br><br>(a) 68.75%<br>(b) 69.75%<br>(c) 67.75%<br>(d) 70.75%	68.75%	Let side be s. New sides are 1.35s and 1.25s. New area = 1.35 * 1.25 * s² = 1.6875 s². The area is 68.75% more than the original area s².	Successive percentage: a + b + ab/100 = 35 + 25 + (35*25)/100 = 60 + 8.75 = 68.75%.	40	Source::AbhasSaini
If both length and breadth of a cuboid are increased by 12 percent, then by how much percent should its height be reduced so that the volume remains the same?<br><br>(a) 14.56 percent<br>(b) 24.72 percent<br>(c) 20.28 percent<br>(d) 28.44 percent	20.28 percent	Volume V = L*B*H. New Volume = 1.12L * 1.12B * H_new = V. Thus, 1.2544 * H_new = H => H_new = H / 1.2544. Reduction = (1 - 1/1.2544) * 100 = (0.2544 / 1.2544) * 100 ≈ 20.28%.	H_reduction = [ (1.12² - 1) / 1.12² ] * 100 = (0.2544 / 1.2544) * 100 ≈ 20.28%.	40	Source::AbhasSaini
If each edge of a cube is increased by 10% then the percentage increase in its surface area is<br><br>(a) 21%<br>(b) 19%<br>(c) 22%<br>(d) 20%	21%	Surface area of a cube is 6a². If edge 'a' increases by 10%, new edge is 1.1a. New surface area = 6(1.1a)² = 6(1.21a²) = 1.21 * (6a²). The increase is 21%.	Successive percentage: 10 + 10 + (10*10)/100 = 21%.	40	Source::AbhasSaini
By what percent does the curved surface area of a cylinder decrease if the radius is increased by 10% and the height is decreased by 40%?<br><br>(a) 51.8%<br>(b) 24.3%<br>(c) 20%<br>(d) 34%	34%	Curved surface area = 2πrh. New radius = 1.1r. New height = 0.6h. New CSA = 2π(1.1r)(0.6h) = 0.66 * (2πrh). The area is 66% of the original, meaning it decreased by 34%.	Net change = 10 - 40 - (10*40)/100 = -34%. Decrease is 34%.	40	Source::AbhasSaini
If the height of a circular cone is increased by 33.33% and its radius is increased by 12.5%, then what will be the change in its volume?<br><br>(a) 64.50<br>(b) 68.75<br>(c) 67.25<br>(d) 62.50	68.75	Volume is proportional to r²h. Radius increases by 12.5% (multiplier 9/8). Height increases by 33.33% (multiplier 4/3). New Volume = V * (9/8)² * (4/3) = V * (81/64) * (4/3) = V * (27/16) = 1.6875 V. Increase is 68.75%.	Factor = (1 + 1/8)² * (1 + 1/3) = 81/64 * 4/3 = 27/16 = 1.6875. Change = 68.75%.	40	Source::AbhasSaini
If the radius of a sphere is increased by 125% then by what percentage will its surface area increase?<br><br>(a) 506.25%<br>(b) 509.54%<br>(c) 409.76%<br>(d) 406.25%	406.25%	Radius is increased by 125%, making it 2.25 times the original. Surface area is proportional to the square of the radius. New area = (2.25)² = 5.0625 times original. The increase is 5.0625 - 1 = 4.0625, which is 406.25%.	New Area factor = (1 + 1.25)² = 2.25² = 5.0625. Percentage increase = (5.0625 - 1) * 100 = 406.25%.	40	Source::AbhasSaini
If the radius of a circle is decreased by 35% then its area decreases by<br><br>(a) 57 3/4%<br>(b) 57 2/4%<br>(c) 56 3/4%<br>(d) 57 1/4%	57 3/4%	Radius is decreased by 35%, so it becomes 65% (or 0.65) of the original. Area is proportional to r², so new area = (0.65)² = 0.4225. Decrease in area = 1 - 0.4225 = 0.5775, which is 57.75% or 57 3/4%.	Percentage decrease = 35 + 35 - (35*35)/100 = 70 - 12.25 = 57.75% = 57 3/4%.	40	Source::AbhasSaini
If the price of petrol increased by 6%, then by what percentage should the consumption be decreased by the consumer, if the expenditure on petrol remains unchanged ?<br><br>(a) 5.66% (b) 4.33% (c) 5.23% (d) 5.53%<br>(a) 9.82%<br>(b) 10.71%<br>(c) 11.20%<br>(d) 10.33%<br>(a) 54%<br>(b) 54.69%<br>(c) 55.50%<br>(d) 53.20%<br>(a) 13.33%<br>(b) 16.5%<br>(c) 16.66%<br>(d) 12.5%<br>(a) 45.45%<br>(b) 40.50%<br>(c) 45%<br>(d) 42%<br>(a) ₹6<br>(b) ₹5<br>(c) ₹4<br>(d) ₹7<br>(a) 18.92 kg<br>(b) 18.04 kg<br>(c) 17.38 kg<br>(d) 18.15 kg<br>(a) ₹3200<br>(b) ₹3600<br>(c) ₹3400<br>(d) ₹3300<br>(a) 24%<br>(b) 40%<br>(c) 22%<br>(d) 38%	5.66%	If price increases by R%, consumption must be decreased by (R / (100+R)) * 100% to keep expenditure unchanged. Here R = 6. Decrease = (6 / 106) * 100% = 600 / 106 ≈ 5.66%.	Decrease % = (6 / 106) * 100 = 5.66%.	40	Source::AbhasSaini
Every month, a man consumes 15 kg of rice and 6 kg of wheat. The price of rice is 20% of the price of wheat, resulting in a total expenditure of ₹225 per month for rice and wheat combined. If the price of wheat is increased by 12%, what percentage reduction in rice consumption is needed to maintain the same expenditure of ₹225 ? (Given that price of rice and consumption of wheat is constant) ?<br><br>(a) 24%<br>(b) 40%<br>(c) 22%<br>(d) 38%	24%	Pr = 0.2 Pw. Expenditure = 15*Pr + 6*Pw = 15(0.2 Pw) + 6*Pw = 3*Pw + 6*Pw = 9*Pw = 225 => Pw = 25, Pr = 5. New Pw = 25 * 1.12 = 28. Expend on wheat = 6 * 28 = 168. Remaining for rice = 225 - 168 = 57. Rice bought = 57 / 5 = 11.4 kg. Reduction = 15 - 11.4 = 3.6 kg. % reduction = (3.6 / 15) * 100 = 24%.	Cost of wheat increases by 12% of 6*25 = 12% of 150 = 18. This 18 must be saved from rice. Rice cost = 15*5=75. Savings needed = 18/75 = 24%.	40	Source::AbhasSaini
The prime cost of an article is thrice of raw material. If the cost of raw material is increased in the ratio 5:12 and cost of manufacturing expenses is increased in the ratio 4:5. If the initial cost is ₹6 then find the final cost ?<br><br>(a) ₹9.80<br>(b) ₹4.8<br>(c) ₹5<br>(d) ₹9.6	₹9.80	Initial Prime Cost (PC) = 6. RM + ME = PC. PC = 3 RM => RM = 2, ME = 4. RM increases in 5:12 => new RM = 2 * (12/5) = 4.8. ME increases in 4:5 => new ME = 4 * (5/4) = 5. Final Cost = 4.8 + 5 = 9.8.	Initial RM=2, ME=4. New RM = 2*(12/5)=4.8. New ME = 4*(5/4)=5. Final cost = 4.8+5 = 9.80.	40	Source::AbhasSaini
In a manufacturing unit, it was noted that the price of raw material has increased by 12.5% and the labour cost has gone up from 25% of the cost of raw material to 30% of the cost of raw material. what percentage of the consumption of raw material be reduced to keep the cost the same as that before the increase ?<br><br>(a) 12.58%<br>(b) 13.45%<br>(c) 14.52<br>(d) 14.28%	14.52%	Let old RM price be 100. Old Labour = 25. Old Total Cost = 125. New RM price = 112.5. New Labour = 30% of 112.5 = 33.75. New Total Cost for same unit = 112.5 + 33.75 = 146.25. To keep expenditure at 125, consumption must be 125 / 146.25 of original. Reduction = (146.25 - 125) / 146.25 * 100 = 21.25 / 146.25 * 100 ≈ 14.52%.	Reduction % = (New Cost - Old Cost)/New Cost * 100 = (146.25 - 125)/146.25 * 100 ≈ 14.52%.	40	Source::AbhasSaini
