Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
If x² + 1/x² = 29, then find the value of x - 1/x ?<br><br>(a) ±3 (b) ±4√3 (c) ±4 (d) ±3√3				40	Source::AbhasSaini 5.Mathematics::Algebra
If x + 1/x =1, then what is the value of (x²+7x+1)/(x² +11x+1) ?<br><br>(a) 1/3 (b) 2/3 (c) 3/4 (d) 1/4				40	Source::AbhasSaini 5.Mathematics::Algebra
If x + 1/x =7 then find the value of x² + 1/x² ?<br><br>(a) 49 (b) 51 (c) 5 (d) 47				40	Source::AbhasSaini 5.Mathematics::Algebra
If 2x + 2/x =5, then, the value of x³ + 1/x³ + 2 will be ?<br><br>(a) 71/8 (b) 91/11 (c) 81/7 (d) 81/8				40	Source::AbhasSaini 5.Mathematics::Algebra
If x + 1/x = √3 then the value of (x⁶ + 1/x⁶ ) is ?<br><br>(a) –2 (b) 2 (c) –6 (d) 6				40	Source::AbhasSaini 5.Mathematics::Algebra
If (x² + 1/x²) = 7, and 0 < x < 1, find the value of x² - 1/x².<br>यदि (x² + 1/x²) = 7, और 0 < x < 1 है, तो x² - 1/x² का मान ज्ञात कीजिये।<br><br>a) 3√5<br>b) 4√3<br>c) –4√3<br>d) –3√5				40	Source::AbhasSaini 5.Mathematics::Algebra
If x² - 7x + 1 = 0, and 0 < x < 1, what is the value of x² - 1/x²?<br>यदि x² - 7x + 1 = 0, और 0 < x < 1, तो x² - 1/x² का मान क्या है?<br><br>a) 21√5<br>b) -21√5<br>c) 28√5<br>d) -28√5				40	Source::AbhasSaini 5.Mathematics::Algebra
X⁴+1/X⁴ = 14, X>0, Find 2x?<br><br>A. √6+√2<br>B. √6-√2<br>C. 4<br>D. 14				40	Source::AbhasSaini 5.Mathematics::Algebra
X²⁴+1/X²⁴ = 7, x>0, find x⁶+1/x⁶?<br><br>A. √2<br>B. 3<br>C. √5<br>D. √3				40	Source::AbhasSaini 5.Mathematics::Algebra
X¹²⁴+1/X¹²⁴ = 62, x>0, find 2x³¹?<br><br>A) √10+√6<br>B) √10+√2<br>C) √10<br>D) √2				40	Source::AbhasSaini 5.Mathematics::Algebra
X⁴+16/X⁴=433, x>0, find x-2/x?<br><br>A) 5<br>B) √17<br>C) 3<br>D) √15				40	Source::AbhasSaini 5.Mathematics::Algebra
If x>0, x⁴+1/x⁴=2207, find x⁵+1/x⁵?<br><br>A) 15127<br>B) 15134<br>C) 15141<br>D) 15130				40	Source::AbhasSaini 5.Mathematics::Algebra
If p⁴= 4354-1/p⁴, find p³-1/p³?<br><br>A) 436<br>B) 536<br>C) 416<br>D) 516				40	Source::AbhasSaini 5.Mathematics::Algebra
If x⁴+1/x⁴=14159, Find x+1/x?<br><br>A) 11<br>B) 69<br>C) 81<br>D) 121				40	Source::AbhasSaini 5.Mathematics::Algebra
If X⁴+1/x⁴ = 727, x>1, Find x-1/x ?<br><br>A) 2<br>B) 3<br>C) 4<br>D) 5				40	Source::AbhasSaini 5.Mathematics::Algebra
If x⁴+1/x⁴ = 2599, x>0, find x-1/x?<br><br>A) 4<br>B) 5<br>C) 6<br>D) 7				40	Source::AbhasSaini 5.Mathematics::Algebra
If x⁴+1/x⁴ = 47, x>0, find (2x-3)²?<br><br>A) 4<br>B) 5<br>C) 6<br>D) 7				40	Source::AbhasSaini 5.Mathematics::Algebra
If x⁴+1/x⁴ = 527, x>0, find (2x-√21)²?<br><br>A) 4<br>B) 5<br>C) 6<br>D) 7				40	Source::AbhasSaini 5.Mathematics::Algebra
If x⁴-142x²+1 =0, x>0, find x ?<br><br>A) 3-√9<br>B) 6-√35<br>C) 6+√35<br>D) 4+√15				40	Source::AbhasSaini 5.Mathematics::Algebra
If 81x⁴+1/x⁴= 3007, x>0, find (6x-7)² ?<br><br>A) 59<br>B) 60<br>C) 61<br>D) 62				40	Source::AbhasSaini 5.Mathematics::Algebra
If 256x⁴+ 1/x⁴ = 752, x>0, find 4x+1/x ?<br><br>A) 4<br>B) 5<br>C) 6<br>D) 7				40	Source::AbhasSaini 5.Mathematics::Algebra
If x⁴+1/x⁴ = 1154, (x>0), find x+1/x ?<br><br>A) √34<br>B) √32<br>C) 6<br>D) 18				40	Source::AbhasSaini 5.Mathematics::Algebra
If x¹²³+ 1/ x¹²³ = 702, find x⁴¹?<br><br>A. (9+√77)/2<br>B. (9-√77)/2<br>C. (9+√77)<br>D. (9+√77)				40	Source::AbhasSaini 5.Mathematics::Algebra
If x⁴-1762x²+1=0, find (2x-4√110 -42)² ?<br><br>A) 0<br>B) 1<br>C) 2<br>D) 3				40	Source::AbhasSaini 5.Mathematics::Algebra
If 7b - 1/4b = 7, then what is the value of 16b² + 1/49b²?<br>यदि 7b - 1/4b = 7 है, तो 16b² + 1/49b² का मान क्या है?<br><br>a) 80/49<br>b) 104/7<br>c) 120/7<br>d) 1/2				40	Source::AbhasSaini 5.Mathematics::Algebra
If x > 0, and x⁴ + 1/x⁴ = 254, what is the value of x⁵ + 1/x⁵ ?<br>यदि x > 0, और x⁴ + 1/x⁴ = 254, x⁵ + 1/x⁵ का मान क्या है?<br><br>a) 717√2<br>b) 723√2<br>c) 720√2<br>d) 726√2				40	Source::AbhasSaini 5.Mathematics::Algebra
If a + 1/a = 7, then a⁵ + 1/a⁵ is equal to:<br>यदि a + 1/a = 7, फिर a⁵ + 1/a⁵ के बराबर है:<br><br>a) 15127<br>b) 13127<br>c) 14527<br>d) 11512				40	Source::AbhasSaini 5.Mathematics::Algebra
If (x - 1/x) = √6, and x > 1, what is the value of (x⁸ - 1/x⁸) ?<br>यदि (x - 1/x) = √6, और x > 1, (x⁸ - 1/x⁸) का मान क्या है?<br><br>a) 1024√15<br>b) 992√15<br>c) 998√15<br>d) 1012√15				40	Source::AbhasSaini 5.Mathematics::Algebra
If x + 1/x = - 6, what will be the value of x⁵ + 1/x⁵ ?<br>यदि x+ 1/x = -6 है, तो x⁵ + 1/x⁵ का मान क्या होगा?<br><br>a) -7776<br>b) -6726<br>c) -6738<br>d) -6732				40	Source::AbhasSaini 5.Mathematics::Algebra
If x + 1/x = 5, and x > 1, what is the value of (x⁸ - 1/x⁸) ?<br>यदि x + 1/x = 5, और x > 1, (x⁸ - 1/x⁸) का मान क्या है?<br><br>a) 60605√21<br>b) 60615√21<br>c) 60705√21<br>d) 60725√21				40	Source::AbhasSaini 5.Mathematics::Algebra
If x + 1/x = 2√2, and x > 1, what is the value of (x⁶ - 1/x⁶) ?<br>यदि x + 1/x = 2√2, और x > 1 है, तो (x⁶ - 1/x⁶) का मान क्या है?<br><br>a) 140√2<br>b) 116√2<br>c) 144√2<br>d) 128√2				40	Source::AbhasSaini 5.Mathematics::Algebra
If x - 1/x = 2√2, and x > 1, what is the value of x⁶ - 1/x⁶ ?<br>यदि x - 1/x = 2√2, और x >1, तो x⁶ - 1/x⁶ का मान क्या है?<br><br>a) 372√6<br>b) 384√6<br>c) 396√6<br>d) 420√6				40	Source::AbhasSaini 5.Mathematics::Algebra
Simplify the following expression.<br>निम्न अभिव्यक्ति को सरल बनाएँ।<br>[(1 + p)(1 + p²)(1 + p⁴)(1 + p⁸)(1 + p¹⁶)(1 - p) - 1]<br><br>a) -p³²<br>b) p³²<br>c) (1 + p³²)<br>d) (1 - p³²)				40	Source::AbhasSaini 5.Mathematics::Algebra
