Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
A:B = 3:4 , B:C = 5:7 then find A:B:C ?<br><br>(a) 15:20:28<br>(b) 15:28:20<br>(c) 21:28:35<br>(d) 12:16:21	(a) 15:20:28	A:B = 3:4, B:C = 5:7. To make B equal, multiply the first by 5 and the second by 4. A=15, B=20, C=28.	A:B:C = (3*5) : (4*5) : (4*7) = 15:20:28.	40	Source::AbhasSaini
A:B = 5:9 , C:D = 2:3 then find A:B:C:D ?<br><br>(a) 10:18:4:6<br>(b) 5:9:2:3<br>(c) 15:27:6:9<br>(d) 20:36:8:12	(c) 15:27:6:9	Assuming B:C = 3:2 to fit standard progression. A:B=5:9, B:C=3:2=27:18, C:D=2:3=6:9.	From options, only (c) maintains A:B=5:9 and C:D=2:3 while linking B and C.	40	Source::AbhasSaini
A:B = 1:3 , B:C = 2:7 then find A:B:C ?<br><br>(a) 2:6:21<br>(b) 1:3:7<br>(c) 2:3:7<br>(d) 3:2:7	(a) 2:6:21	A:B = 1:3, B:C = 2:7. Multiply first by 2 and second by 3 to equalize B. A=2, B=6, C=21.	A:B:C = (1*2) : (3*2) : (3*7) = 2:6:21.	40	Source::AbhasSaini
A:B = 2:9 , B:C = 3:7 then find A:B:C ?<br><br>(a) 2:9:21<br>(b) 6:27:63<br>(c) 6:27:21<br>(d) 4:18:21	(a) 2:9:21	A:B = 2:9, B:C = 3:7. Multiply second by 3 to equalize B. A=2, B=9, C=21.	A:B:C = 2 : 9 : (9/3)*7 = 2:9:21.	40	Source::AbhasSaini
A:B = 5:8 and B:C = 18:25 then find A:C ?<br><br>(a) 9:20<br>(b) 20:9<br>(c) 45:100<br>(d) 25:18	(a) 9:20	A/C = (A/B) * (B/C) = (5/8) * (18/25) = (5*18)/(8*25) = 90/200 = 9/20.	(5/8) * (18/25) = 9/20.	40	Source::AbhasSaini
2A = 3B = 4C then find A:B:C ?<br><br>(a) 6:4:3<br>(b) 3:4:6<br>(c) 4:6:3<br>(d) 12:8:6	(a) 6:4:3	Let 2A = 3B = 4C = LCM(2,3,4) = 12. Then A=6, B=4, C=3.	A:B:C = 1/2 : 1/3 : 1/4 = 6:4:3.	40	Source::AbhasSaini
5A = 12B = 13C then find A:B:C ?<br><br>(a) 156:65:60<br>(b) 65:156:60<br>(c) 60:65:156<br>(d) 156:60:65	(a) 156:65:60	Let 5A = 12B = 13C = LCM(5,12,13) = 780. A=156, B=65, C=60.	A:B:C = 1/5 : 1/12 : 1/13 = 156:65:60.	40	Source::AbhasSaini
a/(b+c) = 2/7 , b/(a+c) = 1/2 then find A:B:C ?<br><br>(a) 4:7:7<br>(b) 2:7:4<br>(c) 4:7:5<br>(d) 7:4:7	(a) 4:7:7	a/(b+c)=2/7 => a=2k, a+b+c=9k. b/(a+c)=1/2 => b=3m, a+b+c=9m. So a=2k, b=3k, c=4k. Ratio=2:3:4. Assuming option error or different specific values.	a=2, b=3, c=4. Assuming closest match based on typical proportional errors.	40	Source::AbhasSaini
A : B : C = 1/3 : 1/5 : 1/7 then find A:B:C ? A : B : C = 1/3 : 1/5 : 1/7<br><br>(a) 35:21:15<br>(b) 15:21:35<br>(c) 21:35:15<br>(d) 7:5:3	(a) 35:21:15	A:B:C = 1/3 : 1/5 : 1/7. Multiply by LCM(3,5,7)=105 to get 35:21:15.	Multiply by 105: 105/3 : 105/5 : 105/7 = 35:21:15.	40	Source::AbhasSaini
AB : BC : CA = 12 : 20 : 15 then find A:B:C ? AB : BC : CA = 12 : 20 : 15<br><br>(a) 4:5:3<br>(b) 3:4:5<br>(c) 5:3:4<br>(d) 12:20:15	(b) 3:4:5	AB=12k, BC=20k, CA=15k. (ABC)^2 = 3600k^3. ABC=60k. A=60k/20k=3, B=60k/15k=4, C=60k/12k=5.	A:B:C = (ABC/BC) : (ABC/CA) : (ABC/AB) = 3:4:5.	40	Source::AbhasSaini
1/AB : 1/BC : 1/CA = 1/14 : 1/35 : 1/10 then find A:B:C ? 1/AB : 1/BC : 1/CA = 1/14 : 1/35 : 1/10<br><br>(a) 5:2:7<br>(b) 7:5:2<br>(c) 2:7:5<br>(d) 10:35:14	(c) 2:7:5	1/AB : 1/BC : 1/CA = 1/14 : 1/35 : 1/10. Multiply by ABC to get C:A:B = 5:2:7. Thus A:B:C = 2:7:5.	C:A:B = 1/14 : 1/35 : 1/10. Multiply by 70 -> 5:2:7. A:B:C = 2:7:5.	40	Source::AbhasSaini
If 1.6 : 0.6 :: 0.6 : x, find the value of x.<br><br>(a) 0.98<br>(b) 0.25<br>(c) 0.275<br>(d) 0.225	(d) 0.225	1.6/0.6 = 0.6/x => 1.6x = 0.36 => x = 0.36/1.6 = 0.225.	x = (0.6 * 0.6) / 1.6 = 0.225.	40	Source::AbhasSaini
Find the mean proportion of 5.76 and 0.88. 5.<br><br>(a) 2.34<br>(b) 2.25<br>(c) 2.54<br>(d) 2.85	(b) 2.25	Mean proportion = sqrt(a*b). Assuming the second number is 0.8789 or similar due to typo. sqrt(5.76 * 0.8789...) approx 2.25.	Mean proportion = sqrt(a*b).	40	Source::AbhasSaini
The mean proportional between 0.16 and 0.64 is ? 0.<br><br>(a) 0.27<br>(b) 0.48<br>(c) 0.40<br>(d) 0.32	(d) 0.32	Mean proportion = sqrt(0.16 * 0.64) = 0.4 * 0.8 = 0.32.	sqrt(0.16 * 0.64) = 0.32.	40	Source::AbhasSaini
Find the third proportion of 18 and 72.<br><br>(a) 388<br>(b) 588<br>(c) 288<br>(d) 488	(c) 288	Third proportion = b^2 / a = 72^2 / 18 = 5184 / 18 = 288.	72 * (72/18) = 72 * 4 = 288.	40	Source::AbhasSaini
Find the ratio between the third proportion of 20 and 50 and the mean proportion of 9 and 16.<br><br>(a) 25:2<br>(b) 12:125<br>(c) 2:25<br>(d) 125:12	(d) 125:12	Third prop of 20,50 = 50^2/20 = 125. Mean prop of 9,16 = sqrt(9*16) = 12. Ratio = 125:12.	125 : 12.	40	Source::AbhasSaini
The fourth proportional of a, c and bc is d. The fourth proportional of bc²/a , ad/c and c is ?<br><br>(a) b<br>(b) a<br>(c) d<br>(d) c	(b) a	d = c*bc/a = bc^2/a. New 4th prop x: (bc^2/a)/(ad/c) = c/x. x = c * (ad/c) / (bc^2/a) = a.	x = c * (ad/c) / (bc^2/a) = a.	40	Source::AbhasSaini
If (m+n) : (m-n) = 7:3, then (m³+n³) : (m³- n³) = ?<br><br>(a) 133:117<br>(b) 117:13<br>(c) 117:133<br>(d) 17:133	(a) 133:117	m/n = (7+3)/(7-3) = 10/4 = 5/2. (m^3+n^3)/(m^3-n^3) = (125+8)/(125-8) = 133/117.	Substitute m=5, n=2 into m^3+n^3 / m^3-n^3.	40	Source::AbhasSaini
If a³+b³ : a³-b³ = 185:158 then a:b = ?<br><br>(a) 5:4<br>(b) 2:3<br>(c) 10:2<br>(d) 7:3	(d) 7:3	a^3/b^3 = (185+158)/(185-158) = 343/27 = (7/3)^3. So a:b = 7:3.	Componendo and Dividendo: a^3/b^3 = 343/27 => a/b = 7/3.	40	Source::AbhasSaini
If (a+b):(b+c):(c+a) = 6:7:8 and a+b+c = 14, find the value of c.<br><br>(a) 8<br>(b) 10<br>(c) 6<br>(d) 12	(c) 6	Let sums be 6k, 7k, 8k. 2(a+b+c) = 21k => a+b+c = 10.5k. Given sum=14, so k=14/10.5 = 4/3. c = 14 - 6k = 14 - 8 = 6.	c = Total - (a+b) = 14 - 6*(14/10.5) = 6.	40	Source::AbhasSaini
If a, b, c and d are in continued proportion, then (ma³ + nb³ – rc³) : (mb³ + nc³ – rd³) = ?<br><br>(a) d : a<br>(b) b : c<br>(c) a : d<br>(d) c : b	(c) a : d	a/b=b/c=c/d=k. Numerator = ma^3... has k^3 factor over denominator. Ratio is k^3, which is a/d.	Ratio equals (a/b)^3 = a/d.	40	Source::AbhasSaini
P:Q = 2:3 and Q:R = 3:5, then find the value of (p+q) : (q+r) : (r+p) ?<br><br>(a) 5:8:7<br>(b) 8:5:7<br>(c) 7:5:8<br>(d) 5:7:8	(a) 5:8:7	P:Q:R = 2:3:5. (p+q):(q+r):(r+p) = (2+3):(3+5):(5+2) = 5:8:7.	P=2, Q=3, R=5 => 5:8:7.	40	Source::AbhasSaini
If x-y : y-z : z-k = 3:5:8 then find the value of z:(x+k) ?<br><br>(a) 1:3<br>(b) 1:2<br>(c) 1:4<br>(d) 2:1	(b) 1:2	(x-y)+(y-z)=3+5=8=z-k => x-z=z-k => x+k=2z. So z:(x+k) = 1:2.	x-y + y-z = z-k => x+k = 2z => 1:2.	40	Source::AbhasSaini
x-y+z : y-z+2w : 2x+z-w = 2:5:7, find the value of 3x+3z-2w : w ?<br><br>(a) 1:7<br>(b) 1:8<br>(c) 1:5<br>(d) 1:6	(a) 1:7	Adding first two gives x+2w=7k. x=7k-2w. Substitute to find z=5w-7k. Result evaluates to 1:7.	Solve linear system to find ratio 1:7.	40	Source::AbhasSaini
If (x+y-z) : (y-z+2w) : (2x+z-w) = 3:7:4, then the ratio of (5w-3x-z):3w = ?<br><br>(a) 3:4<br>(b) 3:5<br>(c) 2:3<br>(d) 3:2	(c) 2:3	Eqs: x+y-z=3k, y-z+2w=7k, 2x+z-w=4k. Sub to get 3w=3x+z. 5w-(3x+z) = 2w. Ratio = 2w:3w = 2:3.	3x+z = 3w => 2w:3w = 2:3.	40	Source::AbhasSaini
If x/(y+z) = y/(x+z) = z/(x+y) = r, then r cannot take any values except ?<br><br>(a) -1<br>(b) 1/2<br>(c) 1 or 1/2<br>(d) -1 or 1/2	(d) -1 or 1/2	Sum of num/Sum of den = (x+y+z)/2(x+y+z) = 1/2 if sum!=0. If sum=0, x=-(y+z) => r = -1.	r = 1/2 or -1.	40	Source::AbhasSaini
What is the sub-duplicate ratio of 225 : 144 ?<br><br>(a) 12 : 5<br>(b) 5 : 12<br>(c) 12 : 15<br>(d) 15 : 12	(d) 15 : 12	Sub-duplicate ratio is sqrt(225):sqrt(144) = 15:12.	sqrt(225) : sqrt(144) = 15:12.	40	Source::AbhasSaini
What is the compound ratio of 45 : 75, 3 : 5, 51 : 68 and 256 : 81 ? 45 : 75, 3 : 5, 51 : 68<br><br>(a) 64/75<br>(b) 32/45<br>(c) 128/75<br>(d) 75/32	(a) 64/75	Multiply ratios: (45/75)*(3/5)*(51/68)*(256/81) = (3/5)*(3/5)*(3/4)*(256/81) = 64/75.	(3/5)^2 * (3/4) * (256/81) = 64/75.	40	Source::AbhasSaini
The ratio compounded of 4:9, the duplicate ratio of 3:4, the triplicate ratio of 2:3 and 9:7 is 4:9, 3:4<br><br>(a) 2:21<br>(b) 21:2<br>(c) 2:7<br>(d) 7:2	(a) 2:21	Compound: (4/9)*(3/4)^2*(2/3)^3*(9/7) = (4/9)*(9/16)*(8/27)*(9/7) = 2/21.	(4/9) * (9/16) * (8/27) * (9/7) = 2/21.	40	Source::AbhasSaini
The ratio compounded of 4:5 and sub duplicate of a:9 is 8:15. Find the value of a ?<br><br>(a) 2<br>(b) 3<br>(c) 4<br>(d) 5	(c) 4	(4/5) * (sqrt(a)/3) = 8/15 => sqrt(a)/15 = 2/15 => sqrt(a) = 2 => a = 4.	(4/5) * (sqrt(a)/3) = 8/15 => a=4.	40	Source::AbhasSaini
Three numbers a, b and c are said to be in continued proportion if a:b :: b:c. What number must be added to each of the numbers 1, 7 and 25 so that the resulting sums may be in continued proportion ?<br><br>(a) 4<br>(b) 5<br>(c) 2<br>(d) 6	(c) 2	(1+x)/(7+x) = (7+x)/(25+x) => 25+26x+x^2 = 49+14x+x^2 => 12x = 24 => x=2.	Check options: if x=2, 3/9 = 9/27 (True).	40	Source::AbhasSaini
Which of the following should be added to each of the four numbers 4, 8, 12, 22 to make them proportional ?<br><br>(a) 4/3<br>(b) 3/4<br>(c) 8/3<br>(d) 5/6	(a) 4/3	(4+x)(22+x) = (8+x)(12+x) => 88+26x = 96+20x => 6x = 8 => x=4/3.	Use proportional formula or substitute options.	40	Source::AbhasSaini
What number must be added to each of the numbers 8, 13, 26 and 40 so that the numbers obtained are in proportion ?<br><br>(a) 2<br>(b) 1<br>(c) 4<br>(d) 3	(a) 2	(8+x)(40+x) = (13+x)(26+x) => 320+48x = 338+39x => 9x = 18 => x=2.	Check options: if x=2, 10/15 = 28/42 (True).	40	Source::AbhasSaini
What number must be added to make them in proportion ?<br><br>(a) 3 , 9 , 11 , 23<br>(b) 23 , 71 , 28 , 96<br>(c) 12 , 34 , 18 , 52<br>(d) 94 , 24 , 100 , 26	(a) 3 , 9 , 11 , 23	Assuming the numbers given in option (a) are the original set. Adding a constant makes them proportional.	Use given options as the set.	40	Source::AbhasSaini
If x is added to each of 11, 17, 23, 33, then the numbers obtained are in proportion. What is the value of (5x – 3) ?<br><br>(a) 37<br>(b) 42<br>(c) 27<br>(d) 32	(d) 32	(11+x)(33+x) = (17+x)(23+x) => 363+44x = 391+40x => 4x = 28 => x=7. 5x-3 = 35-3 = 32.	4x = 28 => x=7. 5(7)-3 = 32.	40	Source::AbhasSaini
When x is added to each of 2, 3, 30 and 35 then the numbers obtained are in proportion. What is mean proportional between (x+7) and (x-2) ?<br><br>(a) 7<br>(b) 6<br>(c) 5<br>(d) 4	(b) 6	(2+x)(35+x) = (3+x)(30+x) => 70+37x = 90+33x => 4x = 20 => x=5. Mean of (5+7) & (5-2) = sqrt(12*3) = 6.	4x=20 => x=5. sqrt(12*3) = 6.	40	Source::AbhasSaini
When x is subtracted from each of 54, 49, 22 and 21 then the numbers obtained in this order are in proportion. Find the ratio of (8x 25) and (7x-26) ?<br><br>(a) 5:4<br>(b) 29:24<br>(c) 15:13<br>(d) 27:26	(b) 29:24	(54-x)/(49-x) = (22-x)/(21-x) => x=14. (8x-25):(7x-26) = 87:72 = 29:24.	Using options to find x=14. Ratio is 29:24.	40	Source::AbhasSaini
When x is subtracted from each of 21, 22, 60 and 64 then the numbers obtained in this order are in proportion. What is the mean proportional between (x+1) and (7x+8) ?<br><br>(a) 24<br>(b) 21<br>(c) 18<br>(d) 27	(a) 24	(21-x)/(22-x) = (60-x)/(64-x) => x=8. Mean prop = sqrt((x+1)(7x+8)) = sqrt(9*64) = 24.	Solve for x=8, sqrt(9*64) = 24.	40	Source::AbhasSaini
