Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
Maximum value of (2 sin θ + 3 cos θ) is<br><br>(1) 2<br>(2) √13<br>(3) √15<br>(4) 1	√13	The expression is of the form a sin θ + b cos θ, where a=2, b=3. The maximum value is given by √(a² + b²) = √(2² + 3²) = √(4 + 9) = √13.	Max of a sinθ + b cosθ = √(a² + b²) = √13.	40	Source::AbhasSaini
The maximum value of sin⁴θ + cos⁴θ is<br><br>(1) 1/3<br>(2) 1<br>(3) 2<br>(4) 3	1	sin⁴θ + cos⁴θ = (sin²θ + cos²θ)² - 2sin²θ cos²θ = 1 - (1/2)sin²(2θ). To maximize this, we need to minimize sin²(2θ). The minimum value of sin²(2θ) is 0. So, Max = 1 - 0 = 1.	Max of sin^n θ + cos^n θ is 1 when θ = 0 or 90°.	40	Source::AbhasSaini
The minimum value of 2 sin²θ + 3 cos²θ is<br><br>(1) 0<br>(2) 3<br>(3) 2<br>(4) 1	2	2sin²θ + 3cos²θ = 2sin²θ + 2cos²θ + cos²θ = 2(sin²θ + cos²θ) + cos²θ = 2 + cos²θ. The minimum value of cos²θ is 0. So, Min = 2 + 0 = 2.	Min of a sin²θ + b cos²θ is the smaller of a and b, which is 2.	40	Source::AbhasSaini
The minimum value of 4 tan²θ + 9 cot²θ is equal to<br><br>(1) 0<br>(2) 5<br>(3) 12<br>(4) 13	12	Let f(θ) = 4tan²θ + 9cot²θ. Using AM-GM inequality, (4tan²θ + 9cot²θ)/2 ≥ √(4tan²θ * 9cot²θ) = √(36) = 6. Therefore, 4tan²θ + 9cot²θ ≥ 12.	Min of a²tan²θ + b²cot²θ is 2ab = 2*2*3 = 12.	40	Source::AbhasSaini
The minimum value of sin²θ + cos²θ + sec²θ + cosec²θ + tan²θ + cot²θ is<br><br>(1) 1<br>(2) 3<br>(3) 5<br>(4) 7	7	Expression = sin²θ + cos²θ + sec²θ + cosec²θ + tan²θ + cot²θ = 1 + (1+tan²θ) + (1+cot²θ) + tan²θ + cot²θ = 3 + 2tan²θ + 2cot²θ. By AM-GM, 2tan²θ + 2cot²θ ≥ 2√(4) = 4. Min = 3 + 4 = 7.	Sum = 3 + 2(tan²θ + cot²θ). Min of tan²θ + cot²θ is 2. So, 3 + 2(2) = 7.	40	Source::AbhasSaini
Least value of 8cosec²x+25sin²x?<br><br>20√2<br>10√2<br>40√2<br>30√2	20√2	Let f(x) = 8cosec²x + 25sin²x = 8/sin²x + 25sin²x. By AM-GM inequality, 8/sin²x + 25sin²x ≥ 2√(8 * 25) = 2√200 = 20√2. This occurs when 8/sin²x = 25sin²x, or sin⁴x = 8/25, which has a valid solution.	Min of a sin²x + b cosec²x is 2√ab (since a>b here), so 2√(8*25) = 20√2.	40	Source::AbhasSaini
minimum value of (25 cos²x + 9 sec²x )?<br><br>(a) 30<br>(b) 20<br>(c) 15<br>(d) 40	30	f(x) = 25cos²x + 9sec²x = 25cos²x + 9/cos²x. By AM-GM, this is ≥ 2√(25 * 9) = 2 * 15 = 30. Equality holds when 25cos²x = 9/cos²x => cos⁴x = 9/25, which is possible.	Min of a cos²x + b sec²x (if a≥b) is 2√ab = 2√(25*9) = 30.	40	Source::AbhasSaini
The greatest value of sin x+cos x<br><br>(a) 1/4<br>(b) 1<br>(c) √2<br>(d) 1/√2	√2	The expression is sin x + cos x. Here a=1, b=1. The greatest value is √(1² + 1²) = √2.	Max of a sin x + b cos x is √(a² + b²) = √2.	40	Source::AbhasSaini
<br><br>(A)0<br>(B)9<br>(C)16<br>(D)25	N/A	Question text is missing.	N/A	40	Source::AbhasSaini
<br><br>(A)5<br>(B)4<br>(C)3<br>(D)2	N/A	Question text is missing.	N/A	40	Source::AbhasSaini
<br><br>(A)-3<br>(B)-1<br>(C)1<br>(D)2	N/A	Question text is missing.	N/A	40	Source::AbhasSaini
Minimum value of 4tan²x+9cot²x?<br><br>6<br>-6<br>12<br>-12	12	The expression is 4tan²x + 9cot²x. Using AM-GM inequality, (4tan²x + 9cot²x)/2 ≥ √(36) = 6. So minimum is 12.	Min of a²tan²x + b²cot²x is 2ab = 2*2*3 = 12.	40	Source::AbhasSaini
The minimum value of sec²θ + cosec²θ is<br><br>0<br>2<br>1<br>4	4	sec²θ + cosec²θ = 1/cos²θ + 1/sin²θ = (sin²θ + cos²θ)/(sin²θ cos²θ) = 1/(sin²θ cos²θ) = 4/(4sin²θ cos²θ) = 4/sin²(2θ). The minimum value occurs when sin²(2θ) is maximum (which is 1). So Min = 4/1 = 4.	sec²θ + cosec²θ = (tanθ + cotθ)² = (≥ 2)² = 4.	40	Source::AbhasSaini
The minimum value of 7tanθ + 8cotθ is<br><br>Options:<br>A. Sqrt(14)<br>B. 2Sqrt(14)<br>C. 3Sqrt(14)<br>D. 4Sqrt(14)	4Sqrt(14)	By AM-GM inequality on 7tanθ and 8cotθ (assuming they are positive), we have 7tanθ + 8cotθ ≥ 2√(7tanθ * 8cotθ) = 2√(56) = 4√14.	Min of a tanθ + b cotθ = 2√ab = 2√(56) = 4√14.	40	Source::AbhasSaini
The minimum value of 9 cos ²x + 2 sec ²x is<br><br>Options:<br>A. Sqrt(18)<br>B. 2Sqrt(18)<br>C. 3Sqrt(18)<br>D. 4Sqrt(18)	2Sqrt(18)	f(x) = 9cos²x + 2sec²x. By AM-GM inequality, 9cos²x + 2sec²x ≥ 2√(9cos²x * 2sec²x) = 2√18.	Min of a cos²x + b sec²x (a>b) is 2√ab = 2√18.	40	Source::AbhasSaini
The minimum value of 10 + sec ²x is<br><br>Options:<br>A. 10<br>B. 12<br>C. 11<br>D. 13	11	Since sec²x ≥ 1 for all real x, the minimum value of 10 + sec²x is achieved when sec²x = 1. Min = 10 + 1 = 11.	sec²x ≥ 1 => 10 + sec²x ≥ 11.	40	Source::AbhasSaini
The sum of minimum and maximum value of 12sin ²x - 3 is<br><br>Options:<br>A. 3<br>B. 6<br>C. 9<br>D. 12	6	The expression is 12sin²x - 3. Minimum value occurs when sin²x = 0 (Min = -3). Maximum occurs when sin²x = 1 (Max = 12 - 3 = 9). Sum = -3 + 9 = 6.	Range is [-3, 9]. Sum = -3 + 9 = 6.	40	Source::AbhasSaini
The sum of minimum and maximum value of 11 + cos ²x is<br><br>Options:<br>A. 11<br>B. 12<br>C. 23<br>D. 24	23	The expression is 11 + cos²x. Minimum value occurs when cos²x = 0 (Min = 11). Maximum occurs when cos²x = 1 (Max = 11 + 1 = 12). Sum = 11 + 12 = 23.	Range is [11, 12]. Sum = 11 + 12 = 23.	40	Source::AbhasSaini
The minimum value of 10tan ²x + 15sec ²x is<br><br>Options:<br>A. 12<br>B. 13<br>C. 14<br>D. 15	15	10tan²x + 15sec²x = 10tan²x + 15(1 + tan²x) = 25tan²x + 15. Since tan²x ≥ 0, the minimum value occurs when tan²x = 0, giving Min = 15.	Convert to tan: 25tan²x + 15. Min at tan x = 0 is 15.	40	Source::AbhasSaini
<br><br>A) 0<br>C) 1<br>B) 2<br>D) None of above	N/A	Question text is missing.	N/A	40	Source::AbhasSaini
sin²⁹θ.cos²⁹θ	[-1/2²⁹, 1/2²⁹]	sin²⁹θ cos²⁹θ = (sinθ cosθ)²⁹ = (sin(2θ)/2)²⁹ = (1/2²⁹) sin²⁹(2θ). Since sin(2θ) ranges from -1 to 1, the maximum value is 1/2²⁹ and minimum is -1/2²⁹.	sin^n θ cos^n θ has max 1/2^n and min -1/2^n (for odd n).	40	Source::AbhasSaini
sin¹⁴⁰θ.cos¹⁴⁰θ	[0, 1/2¹⁴⁰]	sin¹⁴⁰θ cos¹⁴⁰θ = (sinθ cosθ)¹⁴⁰ = (sin(2θ)/2)¹⁴⁰ = (1/2¹⁴⁰) sin¹⁴⁰(2θ). Since the power is even, the minimum value is 0 and the maximum is 1/2¹⁴⁰.	For even n, sin^n θ cos^n θ ranges from 0 to 1/2^n.	40	Source::AbhasSaini
Minimum and maximum value of cos²x+sec²x? Where 0 ≤x≤π/2<br><br>0,0.5<br>0.5,1<br>1,2<br>y≥2	y≥2	cos²x + sec²x = cos²x + 1/cos²x. By AM-GM, for positive values, a + 1/a ≥ 2. At x = 0, cos(0) = 1, so 1 + 1 = 2. As x approaches π/2, sec²x tends to infinity, so there is no maximum (it grows unbounded).	cos²x + sec²x ≥ 2. As x->π/2, sec²x->∞. So y ≥ 2.	40	Source::AbhasSaini
Minimum value of Sin⁴x+cos⁴x-2sin²xcos²x?<br><br>0<br>2<br>1<br>Doesn't exist	0	sin⁴x + cos⁴x - 2sin²x cos²x = (sin²x - cos²x)² = cos²(2x). The minimum value of any squared real number is 0 (achieved when cos(2x) = 0, i.e., 2x = π/2 => x = π/4).	(sin²x - cos²x)² = cos²(2x) ≥ 0.	40	Source::AbhasSaini
