Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
Two vessel contain milk water in the ratio 3:5 and 7:9. If both vessel are mixed in ratio 2:3. Find the ratio of milk and water in new mixture ? दो बर्तनो ोंमेंदू ध और पानी का अनुपार् क्रमशः 3:5 और 7:9 है। यदद दोनो ोंबर्तनो ोंके दमश्रण को 2:3 केअनुपार् में दमलाया जाए, र्ो नए दमश्रण मेंदू ध और पानी का अनुपार् क्या होगा?<br><br>(a) 33:47<br>(b) 47:33<br>(c) 33:45<br>(d) 45:33				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
In Vessels X and Y, the ratio of acid and water 3:4 and 2:5 respectively. The contents of X and Y are mixed in the ratio of 2:3 to get a solution in which acid and water are in the ratio a:b. what is the value of (b+a)/(b-a) ? बर्तन X और Y मेंअम्ल और पानी का अनुपार् क्रमशः 3:4 और 2:5 है। यदद X और Y की सामग्री को 2:3 के अनुपार् मेंदमलाया जाए और नए घोल मेंअम्ल और पानी का अनुपार् a:b हो, र्ो (b+a)/(b-a) का मान क्या होगा?<br><br>(a) 35/11<br>(b) 12/11<br>(c) 23/11<br>(d) 23/35				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
Two vessel contain milk & water in the ratio 9:13 & 4:7. If both vessel are mixed in the ratio 1:1. Find the ratio of milk and water in the new mixture ? दो बर्तनो ोंमेंदू ध और पानी का अनुपार् 9:13 और 4:7 है। यदद दोनो ोंको 1:1 केअनुपार् मेंदमलाया जाए, र्ो नए दमश्रण मेंदू ध और पानी का अनुपार् क्या होगा?<br><br>(a) 17:27<br>(b) 27:17<br>(c) 17:14<br>(d) 14:17				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
Two vessel contain milk and water in the ratio 3:7 and 7:8. If both vessel are mixed in the ratio 2:3. Find the ratio of milk and water in the new mixture ? दो बर्तनो ोंमेंदू ध और पानी का अनुपार् 3:7 और 7:8 है। यदद दोनो ोंको 2:3 केअनुपार् मेंदमलाया जाए, र्ो नए दमश्रण मेंदू ध और पानी का अनुपार् क्या होगा?<br><br>(a) 2:3<br>(b) 3:2<br>(c) 2:5<br>(d) 5:2				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
Two mixtures A and B have the following compositions. Mixture A has copper and tin in the ratio 1:2 Mixture B has copper and tin in the ratio 1:3. If equal quantities of mixtures A and B are used for producing mixture C, then find the ratio of copper and tin in mixture C. दो दमश्रधार्ुओोंA और B की सोंरचना इस प्रकार है: दमश्रधार्ुA मेंर्ााँबा और दिन का अनुपार् 1:2 हैर्था दमश्रधार्ुB मेंर्ााँबा और दिन का अनुपार् 1:3 है। यदद A और B की बराबर मात्रा दमलाकर दमश्रधार्ुC बनाई जाए, र्ो C मेंर्ााँबा और दिन का अनुपार् क्या होगा?<br><br>(a) 7:17<br>(b) 7:12<br>(c) 2:5<br>(d) 1:5				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
Two vessel contains mixture of milk and water. In 1st mixture milk is 33.33% and in 2nd mixture water is 44.44%. If both vessel are mixed in ratio 6:7. Find the ratio of milk and water in the new mixture ? दो बर्तनो ोंमेंदू ध-पानी का दमश्रण है। पहलेदमश्रण मेंदू ध 33.33% हैऔर दूसरेदमश्रण मेंपानी 44.44% है। यदद दोनो ोंको 6:7 केअनुपार् मेंदमलाया जाए, र्ो नए दमश्रण मेंदू ध और पानी का अनुपार् क्या होगा?<br><br>(a) 53:64<br>(b) 71:46<br>(c) 46:117<br>(d) 71:117				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
Two vessel contain mixture of milk and water. In 1st mixture milk is 43.75% and in 2nd mixture milk is 18.75% .If both vessel are mixed in ratio 3:2. Find the ratio of milk and water in the new mixture ? दो बर्तनो ोंमेंदू ध-पानी का दमश्रण है। पहलेदमश्रण मेंदू ध 43.75% हैऔर दूसरेदमश्रण मेंदू ध 18.75% है। यदद दोनो ों को 3:2 केअनुपार् मेंदमलाया जाए, र्ो नए दमश्रण मेंदू ध और पानी का अनुपार् क्या होगा?<br><br>(a) 27:53<br>(b) 53:27<br>(c) 22:53<br>(d) 25:53				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
In vessel 1 milk is 37% & in vessel 2 milk is 52%. They are mixed to make a new mixture with milk 46%. Find the ratio in which they are mixed ? बर्तन 1 मेंदू ध 37% हैऔर बर्तन 2 मेंदू ध 52% है। दोनो ों को दमलाकर ऐसा नया दमश्रण बनर्ा हैदजसमेंदू ध 46% है। दोनो ोंको दकस अनुपार् मेंदमलाया गया है?<br><br>(a) 2:3<br>(b) 3:2<br>(c) 1:3<br>(d) 3:4				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
In vessel 1 milk is 28% & in vessel 2 milk is 62%%. They are mixed to make a new mixture with milk 39%. Find the ratio in which they are mixed ? बर्तन 1 मेंदू ध 28% हैऔर बर्तन 2 मेंदू ध 62% है। दोनो ों को दमलाकर ऐसा नया दमश्रण बनर्ा हैदजसमेंदू ध 39% है। दोनो ोंको दकस अनुपार् मेंदमलाया गया है?<br><br>(a) 23:11<br>(b) 11:23<br>(c) 12:25<br>(d) 3:4				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
In a vessel 1 the ratio of milk & water is 3:4 and in vessel 2 it is 6:7. In final mixture milk : water is 9:11. Then find the ratio in which they are mixed ? बर्तन 1 मेंदू ध:पानी = 3:4 हैऔर बर्तन 2 मेंदू ध:पानी = 6:7 है। अोंदर्म दमश्रण मेंदू ध:पानी = 9:11 है। दोनो ोंबर्तनो ों को दकस अनुपार् मेंदमलाया गया?<br><br>(a) 7:13<br>(b) 13:7<br>(c) 5:12<br>(d) 1:1				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
Alloys A and B contain copper and zinc in the ratio 7:11 and 5:1, respectively. In what ratio should A and B be mixed to obtain a new alloy C containing copper and zinc in the ratio 2:1 ? दमश्रधार्ुA और B मेंर्ााँबा और दजोंक का अनुपार् क्रमशः 7:11 और 5:1 है। दमश्रधार्ुC मेंर्ााँबा और दजोंक का अनुपार् 2:1 प्राप्त करनेके दलए A और B को दकस अनुपार् मेंदमलाया जाए?<br><br>(a) 3:5<br>(b) 5:3<br>(c) 3:8<br>(d) 5:8				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
Milk and water are in 9:1 in one vessel and in another it is 2:3. In what ratio should both vessels get mixed to achieve milk and water as 7:3 ? एक बर्तन मेंदू ध:पानी = 9:1 हैऔर दूसरेमें2:3 है। दोनो ों को दकस अनुपार् मेंदमलाएाँर्ादक नया अनुपार् 7:3 हो जाए?<br><br>(a) 2:1<br>(b) 1:2<br>(c) 2:3<br>(d) 1:3				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
Milk and water are in 7:3 in one vessel and in another it is 8:5. In what ratio should both vessels get mixed to achieve milk and water as 42:23 ? एक बर्तन मेंदू ध:पानी = 7:3 हैऔर दूसरेमें8:5 है। दोनो ों को दकस अनुपार् मेंदमलाएाँर्ादक नया अनुपार् 42:23 हो जाए?<br><br>(a) 4:7<br>(b) 7:8<br>(c) 4:5<br>(d) 4:8				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
Two vessels A and B contain a mixture of sugar and water in the ratio 4:5 and 3:2. In what ratio can these two mixtures be mixed to obtain a new mixture of half sugar and half water. दो बर्तन A और B मेंचीनी और पानी का अनुपार् क्रमशः 4:5 और 3:2 है। इन दोनो ोंदमश्रणो ोंको दकस अनुपार् में दमलाएाँर्ादक नया दमश्रण आधा चीनी और आधा पानी (1:1) हो जाए?<br><br>(a) 2:3<br>(b) 9:5<br>(c) 7:5<br>(d) 2:7				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
The acid and water in the two containers are mixed in the ratio is 3:1 and 5:3 respectively. In order to get a new mixture in which the ratio of acid and water is 2:1, what should be the ratio of both the types of mixture ? दो कों िेनरो ोंमेंअम्ल और पानी का अनुपार् क्रमशः 3:1 और 5:3 है। नया दमश्रण ऐसा चादहए दजसमेंअम्ल:पानी = 2:1 हो। दोनो ोंप्रकार के दमश्रणो ोंको दकस अनुपार् में दमलाया जाए?<br><br>(a) 1:2<br>(b) 2:1<br>(c) 2:3<br>(d) 3:2				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
Gold is 19 times as heavy as water and copper 9 times as heavy as water. The ratio in which these two metals be mixed so that mixture is 15 times as heavy as water is सोना पानी से19 गुना भारी हैऔर र्ाोंबा पानी से9 गुना भारी है। वह अनुपार् ज्ञार् दकदजए दजसमेंइन दोनो ोंधार्ुओोंको दमलाया जार्ा हैदक दमश्रण पानी से 15 गुना भारी हो जार्ा है।<br><br>(a) 4:3<br>(b) 1:5<br>(c) 3:5<br>(d) 3:2				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
The ratio of milk and water in a vessel is 2:3. If 22 ltr water is added then ratio become 5:13.find the initial quantity of mixture(in ltr) ? एक बर्तन मेंदू ध और पानी का अनुपार् 2:3 है। यदद 22 लीिर पानी और दमलाया जाए र्ो अनुपार् 5:13 हो जार्ा है। प्रारों दभक दमश्रण की मात्रा (लीिर में) दकर्नी थी?<br><br>(a) 40ltr<br>(b) 50ltr<br>(c) 45ltr<br>(d) 42ltr				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
140 litres of a mixture contains milk and water in the ratio 17:3. After the addition of some more milk to it, the ratio of milk to water in the resulting mixture becomes 23:3. The quantity of milk added to it was ? 140 लीिर दमश्रण मेंदू ध और पानी का अनुपार् 17:3 है। इसमेंकु छ और दू ध दमलानेकेबाद अनुपार् 23:3 हो जार्ा है। दकर्ना दू ध दमलाया गया?<br><br>(a) 40ltr<br>(b) 42ltr<br>(c) 45ltr<br>(d) 50ltr				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
The ratio of milk and water in a vessel is 13:9 if we added 25 ltr milk and 25 ltr water then quantity of milk becomes 28.56% more than water. Find the initial quantity of water ? एक बर्तन मेंदू ध:पानी = 13:9 है। यदद 25 लीिर दू ध और 25 लीिर पानी और जोड़ ददया जाए, र्ो दू ध की मात्रा पानी से28.56% अदधक हो जार्ी है। प्रारों दभक पानी की मात्रा ज्ञार् कीदजए।<br><br>(a) 42ltr<br>(b) 45ltr<br>(c) 50ltr<br>(d) 58ltr				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
The ratio of milk and water in a mixture is 2:7. We added x ltr of milk to the mixture then ratio becomes 9:14 and we added 20 ltr water to the mixture, then ratio becomes 1:2. Find the value of x ? एक दमश्रण मेंदू ध:पानी = 2:7 है। इसमेंx लीिर दू ध दमलानेपर अनुपार् 9:14 हो जार्ा हैऔर दिर इसमें20 लीिर पानी दमलानेपर अनुपार् 1:2 हो जार्ा है। x का मान ज्ञार् कीदजए।<br><br>(a) 20ltr<br>(b) 25ltr<br>(c) 30ltr<br>(d) 35ltr				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
In a vessel milk is 40% less than water. when x litre milk is added to mixture then ratio of milk and water becomes 3:2. Now y litre water is added from mixture then this ratio becomes 3:4. Now 45 litre milk is added again then new ratio of milk and water becomes 6:5. Find the value of (x+y) ? एक बर्तन मेंदू ध की मात्रा पानी से40% कम है। जब दमश्रण मेंx लीिर दू ध दमलाया जार्ा है, र्ो दू ध और पानी का अनुपार् 3:2 हो जार्ा है। अब दमश्रण मेंसेy लीिर पानी दमलाया जार्ा है, र्ो यह अनुपार् 3:4 हो जार्ा है। अब 45 लीिर दू ध दिर सेदमलाया जार्ा है, र्ो दू ध और पानी का नया अनुपार् 6:5 हो जार्ा है। (x+y) का मान ज्ञार् कीदजए?<br><br>(a) 90<br>(b) 95<br>(c) 100<br>(d) 120				40	Source::AbhasSaini 5.Mathematics::Mixture and Replacement
