Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
If x² + 1/x² = 29, then find the value of x - 1/x ?<br><br>(a) ±3 (b) ±4√3 (c) ±4 (d) ±3√3	±3√3	(x - 1/x)² = x² + 1/x² - 2 = 29 - 2 = 27. So, x - 1/x = ±√27 = ±3√3.	±√(29 - 2) = ±3√3	40	Source::AbhasSaini 5. Mathematics::Algebra
If x + 1/x =1, then what is the value of (x²+7x+1)/(x² +11x+1) ?<br><br>(a) 1/3 (b) 2/3 (c) 3/4 (d) 1/4	2/3	Divide numerator and denominator by x to get (x + 1/x + 7) / (x + 1/x + 11). Substitute x + 1/x = 1: (1+7)/(1+11) = 8/12 = 2/3.	(1+7)/(1+11) = 8/12 = 2/3	40	Source::AbhasSaini 5. Mathematics::Algebra
If x + 1/x =7 then find the value of x² + 1/x² ?<br><br>(a) 49 (b) 51 (c) 5 (d) 47	47	x² + 1/x² = (x + 1/x)² - 2 = 7² - 2 = 49 - 2 = 47.	k² - 2 = 49 - 2 = 47	40	Source::AbhasSaini 5. Mathematics::Algebra
If 2x + 2/x =5, then, the value of x³ + 1/x³ + 2 will be ?<br><br>(a) 71/8 (b) 91/11 (c) 81/7 (d) 81/8	81/8	x + 1/x = 5/2. x³ + 1/x³ = (5/2)³ - 3(5/2) = 125/8 - 15/2 = 65/8. Value = 65/8 + 2 = 81/8.	k³ - 3k + 2 = 125/8 - 15/2 + 2 = 81/8	40	Source::AbhasSaini 5. Mathematics::Algebra
If x + 1/x = √3 then the value of (x⁶ + 1/x⁶ ) is ?<br><br>(a) –2 (b) 2 (c) –6 (d) 6	–2	x³ + 1/x³ = (√3)³ - 3√3 = 0. x⁶ + 1/x⁶ = (x³ + 1/x³)² - 2 = 0² - 2 = -2.	If x + 1/x = √3, then x³ + 1/x³ = 0 => x⁶ = -1. x⁶ + 1/x⁶ = -1 + (-1) = -2.	40	Source::AbhasSaini 5. Mathematics::Algebra
If (x² + 1/x²) = 7, and 0 < x < 1, find the value of x² - 1/x².<br>यदि (x² + 1/x²) = 7, और 0 < x < 1 है, तो x² - 1/x² का मान ज्ञात कीजिये।<br><br>a) 3√5<br>b) 4√3<br>c) –4√3<br>d) –3√5	–3√5	(x² - 1/x²)² = (x² + 1/x²)² - 4 = 7² - 4 = 45. So x² - 1/x² = ±3√5. Since 0 < x < 1, x² < 1/x², the value is negative: -3√5.	±√(k² - 4) = -√(49 - 4) = -3√5 (negative since x < 1)	40	Source::AbhasSaini 5. Mathematics::Algebra
If x² - 7x + 1 = 0, and 0 < x < 1, what is the value of x² - 1/x²?<br>यदि x² - 7x + 1 = 0, और 0 < x < 1, तो x² - 1/x² का मान क्या है?<br><br>a) 21√5<br>b) -21√5<br>c) 28√5<br>d) -28√5	-21√5	Divide by x: x + 1/x = 7. x - 1/x = -√(7² - 4) = -3√5 (since x < 1). x² - 1/x² = 7 * (-3√5) = -21√5.	k * (-√(k² - 4)) = 7 * (-√45) = -21√5	40	Source::AbhasSaini 5. Mathematics::Algebra
X⁴+1/X⁴ = 14, X>0, Find 2x?<br><br>A. √6+√2<br>B. √6-√2<br>C. 4<br>D. 14	√6+√2	x² + 1/x² = √(14+2) = 4. x + 1/x = √6 and x - 1/x = √2. Adding both gives 2x = √6 + √2.	2x = √(k_plus) + √(k_minus) = √6 + √2	40	Source::AbhasSaini 5. Mathematics::Algebra
X²⁴+1/X²⁴ = 7, x>0, find x⁶+1/x⁶?<br><br>A. √2<br>B. 3<br>C. √5<br>D. √3	√5	Let x⁶ = y. We have y⁴ + 1/y⁴ = 7. y² + 1/y² = √(7+2) = 3. y + 1/y = √(3+2) = √5.	√(√(7+2) + 2) = √5	40	Source::AbhasSaini 5. Mathematics::Algebra
X¹²⁴+1/X¹²⁴ = 62, x>0, find 2x³¹?<br><br>A) √10+√6<br>B) √10+√2<br>C) √10<br>D) √2	√10+√6	Let y = x³¹. y⁴ + 1/y⁴ = 62. y² + 1/y² = √(62+2) = 8. y+1/y = √10, y-1/y = √6. 2y = √10 + √6.	2x³¹ = √(8+2) + √(8-2) = √10 + √6	40	Source::AbhasSaini 5. Mathematics::Algebra
