Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
What is the average of the first 15 whole numbers ?<br><br>(a) 8<br>(b) 7<br>(c) 9<br>(d) 10	7	Whole numbers start from 0. First 15 are 0 to 14. Sum = 14*15/2 = 105. Average = 105/15 = 7.	Average = (0 + 14) / 2 = 7	40	Source::AbhasSaini 5. Mathematics::Average
What is the ratio of the average of first eight prime numbers to the average of first ten even natural numbers ?<br><br>(a) 1:7<br>(b) 7:80<br>(c) 8:70<br>(d) 7:8	7:8	First 8 primes: 2,3,5,7,11,13,17,19. Sum=77, Avg=77/8. First 10 even natural: 2 to 20, Avg=11. Ratio = (77/8) / 11 = 7:8.	Prime avg = 77/8, Even avg = 11. Ratio = 7/8.	40	Source::AbhasSaini 5. Mathematics::Average
What is the average of the first 8 multiples of 6 among the natural numbers ?<br><br>(a) 24<br>(b) 26<br>(c) 27<br>(d) 28	27	Multiples of 6: 6, 12, ... 48. Average = (6 + 48) / 2 = 27.	Average = 6 * (8+1)/2 = 27	40	Source::AbhasSaini 5. Mathematics::Average
The average of odd numbers upto 200 is ?<br><br>(a) 50<br>(b) 100<br>(c) 75<br>(d) NONE	100	Odd numbers up to 200 are 1, 3, ..., 199. Number of terms = 100. Sum = 100^2 = 10000. Avg = 100.	Average of first n odd numbers is n. Here n=100, so 100.	40	Source::AbhasSaini 5. Mathematics::Average
The average of square of natural numbers from 1 to 77 ?<br><br>(a) 2010<br>(b) 2015<br>(c) 2020<br>(d) 2025	2015	Sum of squares of first n natural numbers = n(n+1)(2n+1)/6. Avg = (n+1)(2n+1)/6. For n=77, Avg = (78 * 155) / 6 = 13 * 155 = 2015.	Formula: (n+1)(2n+1)/6 = 78*155/6 = 2015.	40	Source::AbhasSaini 5. Mathematics::Average
The average of eleven consecutive positive integers in increasing order is 150. If the next four odd numbers are included, then what is the average of all the numbers ?<br><br>(a) 152.33<br>(b) 152.67<br>(c) 152.50<br>(d) 150	152.67	11 integers, avg = 150. Middle is 150. Largest is 155. Next 4 odd are 157, 159, 161, 163. Sum = 11*150 + 640 = 2290. New avg = 2290 / 15 = 152.67.	Sum of new elements = 640. Diff = 640 - 4*150 = 40. New avg = 150 + 40/15 = 152.67	40	Source::AbhasSaini 5. Mathematics::Average
The sum of eight consecutive even numbers of set-A is 296. What is the sum of different set of five consecutive whose lowest number is 15 more than the mean of set-A ?<br><br>(a) 275<br>(b) 270<br>(c) 250<br>(d) 286	270	8 even numbers sum = 296 -> avg = 37. Set A mean = 37. Lowest of Set B = 37 + 15 = 52. Set B has 5 consecutive integers: 52, 53, 54, 55, 56. Sum = 5 * 54 = 270.	Set B mean is 54 (lowest+2). Sum = 54*5 = 270.	40	Source::AbhasSaini 5. Mathematics::Average
The average of 8 consecutive even numbers written in ascending order is 23. What is the average of the last 3 numbers, 36 and 40 ?<br><br>(a) 31<br>(b) 31.5<br>(c) 32<br>(d) 34	32	8 even numbers avg = 23. Numbers are 16, 18, 20, 22, 24, 26, 28, 30. Last 3 are 26, 28, 30. Sum of these + 36 + 40 = 160. Avg = 160 / 5 = 32.	Numbers: 26, 28, 30, 36, 40. Avg = 160/5 = 32.	40	Source::AbhasSaini 5. Mathematics::Average
If the average of N consecutive Numbers is 21, find the average of N+7 consecutive numbers ?<br><br>(a) 28<br>(b) 25<br>(c) 26<br>(d) 27	28	"Assuming the question means average of ""next 7 consecutive numbers"" where N=7. If 7 numbers have avg 21, next 7 have avg 21+7 = 28."	Avg of next n numbers = Original Avg + n. 21+7=28.	40	Source::AbhasSaini 5. Mathematics::Average
The average of 15 consecutive positive integers is d. If the last two numbers are excluded, by how much will the average increase or decrease ?<br><br>(a) Will decrease by 1.<br>(b) Will increase by 2.<br>(c) Will decrease by 2.<br>(d) Will increase by 1.	Will decrease by 1.	Avg of 15 consecutive is d. If last two are excluded, the sum decreases by the 2 largest elements. The average of n consecutive integers decreases by 1 when the last 2 are removed.	Removing last 2 numbers decreases average by 1. Will decrease by 1.	40	Source::AbhasSaini 5. Mathematics::Average
If the sum of eighteen consecutive positive integers is a perfect square then find the smallest possible value of sum ?<br><br>(a) 225<br>(b) 169<br>(c) 289<br>(d) 324	225	Sum of 18 consecutive integers = 18x + (0+1+...+17) = 18x + 153. This must be a perfect square. 9(2x + 17). So 2x+17 must be a perfect square. For smallest sum, try options: 225 = 9*25. 2x+17 = 25 -> x=4. Sum = 225.	Sum = 18x+153 = 9(2x+17). Smallest option 225 works (x=4).	40	Source::AbhasSaini 5. Mathematics::Average
The average of the squares of four consecutive odd natural numbers is 681. The average of 3 times of the largest number and 11 times of the smallest number is ?<br><br>(a) 176<br>(b) 178<br>(c) 170<br>(d) 166	170	Let x-3, x-1, x+1, x+3 be the odd numbers. (x-3)^2+(x-1)^2+(x+1)^2+(x+3)^2 = 4x^2+20. Avg = x^2+5 = 681 => x=26. Numbers are 23, 25, 27, 29. (3*29 + 11*23)/2 = 170.	x^2+5 = 681 => x=26. Numbers 23,25,27,29. Avg = (87+253)/2 = 170.	40	Source::AbhasSaini 5. Mathematics::Average
The average of the squares of five consecutive even natural numbers is 264. The average of 5 times of smallest number and 3 times of largest number is ?<br><br>(a) 52<br>(b) 56<br>(c) 60<br>(d) 64	60	Let numbers be x-4, x-2, x, x+2, x+4. Avg = x^2 + 8 = 264 => x=16. Smallest 12, Largest 20. Avg = (5*12 + 3*20)/2 = 60.	x^2+8 = 264 => x=16. Smallest 12, Largest 20. (60+60)/2 = 60.	40	Source::AbhasSaini 5. Mathematics::Average
There are N consecutive odd integers in ascending order. The First integer is N and the average of the first Five is 194 less than the last second number. Find the value of N ?<br><br>(a) 100<br>(b) 101<br>(c) 99<br>(d) 102	101	First 5 avg is N+4. Last second is N+2(N-2) = 3N-4. N+4 = 3N-4-194 => 2N = 202 => N = 101.	Avg of first 5 = N+4. Second last = N+2N-4 = 3N-4. 3N-4 - (N+4) = 194 => N=101.	40	Source::AbhasSaini 5. Mathematics::Average
There are 2 consecutive even numbers and 3 consecutive odd numbers. The average of the even numbers is 3 more than the average of the odd numbers. If the sum of the even numbers is 2 more than the sum of the odd numbers, find the average of the odd numbers ?<br><br>(a) 3<br>(b) 4<br>(c) 5<br>(d) 6	4	Let even be E, E+2. Avg = E+1. Odd be O, O+2, O+4. Avg = O+2. E+1 = O+5 => E=O+4. Sums: 2E+2 = 3O+8 => 2(O+4)+2 = 3O+8 => O=2. Avg of odd = 2+2=4.	Solving equations gives average = 4 (though O=2 is even, satisfying the math model).	40	Source::AbhasSaini 5. Mathematics::Average
The average of n number is 36. If each of 75% of the numbers is increased by 6 and each of the remaining numbers is decreased by 9, then the new average of the numbers is ?<br><br>(a) 37.125<br>(b) 33.75<br>(c) 38.25<br>(d) 36.25	38.25	Net change = 75% of 6 - 25% of 9 = 4.5 - 2.25 = 2.25. New average = 36 + 2.25 = 38.25.	Change = (3*6 - 1*9)/4 = 9/4 = 2.25. New avg = 38.25.	40	Source::AbhasSaini 5. Mathematics::Average
There are four consecutive odd numbers, denoted as a1, a2, a3, and a4, and three consecutive even numbers, represented by b1, b2, and b3. The average of the four odd numbers is 4 less than the average of the three even numbers. Also, the sum of the three even numbers is 6 less than the sum of the four odd numbers.What is the average of a1, a2, a3, and a4 ?<br><br>(a) 14<br>(b) 18<br>(c) 16<br>(d) 12	18	Avg odd = A, Avg even = B. A = B - 4 => B = A + 4. Sum even = 3B, Sum odd = 4A. 3B = 4A - 6 => 3(A+4) = 4A - 6 => 3A + 12 = 4A - 6 => A = 18.	Let Avg odd = A. Avg even = A+4. Sums: 3(A+4) = 4A - 6 => A = 18.	40	Source::AbhasSaini 5. Mathematics::Average
A is the average marks of a group of 10 students in a class and A+8 is the average of a group of 15 students which includes the group of 10 students as given. The total marks obtained by the group of 10 students is X and the total marks obtained by the group of 15 students is Y. If X:Y = 3:5, then the value of A + X + Y is _.<br><br>(a) 1964<br>(b) 1845<br>(c) 2012<br>(d) 1992	1992	X = 10A, Y = 15(A+8). X/Y = 3/5 => 50A = 45A + 360 => A = 72. X = 720, Y = 1200. A+X+Y = 1992.	10A / 15(A+8) = 3/5 => A = 72. A+X+Y = 72 + 720 + 1200 = 1992.	40	Source::AbhasSaini 5. Mathematics::Average
Let a, b and c be natural numbers. If the average value of 20% of a and 30% of b is 270; that of 10% of b and 25% of c is 115 and the difference between b and c is 200, then what is the value of (a + b + 2c) ?<br><br>(a) 3680<br>(b) 4152<br>(c) 2750<br>(d) 3500	3500	0.2a+0.3b = 540. 0.1b+0.25c = 230. b-c=200. Substitute c=b-200 => 0.35b=280 => b=800. c=600, a=1500. a+b+2c = 3500.	Solve linear equations: b=800, c=600, a=1500. Sum = 3500.	40	Source::AbhasSaini 5. Mathematics::Average
The average of 27 consecutive integers is N. Dropping the first 5 numbers and including the next 9, the average is changed to M. If the value of M²-N² = 301, Then Find the value of M and N.<br><br>(a) 25,18<br>(b) 15,25<br>(c) 12,16<br>(d) 18,20	25,18	N is middle of 27 integers. M is middle of 31 integers shifted by 5. M = N - 5/2 + 9/2 + (31-27)/2 = N + 7. M-N=7. M^2-N^2 = 301 => M+N=43. M=25, N=18.	Shift in start = 5. New terms = 9. Shift in middle = (-5 + 9 + 10)/2 ? Actually, M - N = (9+5)/2 = 7. M+N = 43. M=25, N=18.	40	Source::AbhasSaini 5. Mathematics::Average
The average of 7 even consecutive natural number is N. Dropping the first 2 even Numbers and including the next 2 even numbers the average is changed to M. If the value of M² - N² = 240. Then Find M and N ?<br><br>(a) 28,30<br>(b) 34,28<br>(c) 28,32<br>(d) 26,32	28,32	M = N + 2*2 = N + 4. M^2 - N^2 = 4(M+N) = 240 => M+N = 60. Solving gives N=28, M=32.	Average shifts by 4. M-N=4, M^2-N^2=240 => M+N=60. N=28, M=32.	40	Source::AbhasSaini 5. Mathematics::Average
The average of 25 numbers is 42.5. The average of first 12 numbers is 38.5 and average of last 12 numbers is 48.5. Find the 13th number ?<br><br>(a) 18<br>(b) 18.5<br>(c) 20.5<br>(d) 24	18.5	Sum = 25*42.5 = 1062.5. First 12 = 462, last 12 = 582. 13th = 1062.5 - 462 - 582 = 18.5.	13th = 1062.5 - 1044 = 18.5.	40	Source::AbhasSaini 5. Mathematics::Average
The average of 15 numbers is 80. The average of the first six numbers is 70. The average of the next six numbers is 20% more than the average of the first six numbers. The 13th number is 4 less than the 15th number, and the 14th number is 4 greater than the 15th number. what is the Average of the 13th and 14th numbers ?<br><br>(a) 96<br>(b) 100<br>(c) 92<br>(d) 94	92	Sum of 15 = 1200. Sum of first 6 = 420. Sum of next 6 = 504. Remaining 3 sum = 276. x + (x+8) + (x+4) = 276 => x = 88. 14th = 96. Avg(13,14) = 92.	Sum = 1200 - 924 = 276. 13th=88, 14th=96. Avg = 92.	40	Source::AbhasSaini 5. Mathematics::Average
The average of 12 numbers is 58. The average of the first 5 numbers is 55, and the average of the next 4 numbers is 62. If the 10 number is 10 less than the 11 number and is 5 more than the 12 number, then the average of the 11 and 10 numbers is ?<br><br>(a) 5<br>(b) 61<br>(c) 60<br>(d) 5	61	Sum of 12 = 696. First 9 = 523. Remaining 3 sum = 173. 3x + 5 = 173 => x = 56 (10th). 11th = 66. Avg = 61.	3x+5=173 => x=56. 10th=56, 11th=66. Avg=61.	40	Source::AbhasSaini 5. Mathematics::Average
The average of 27 numbers is 58. The average of the first 14 numbers is 66.6 and that of the last 14 numbers is 52.4. If the 14th number is excluded, then what is the average of the remaining numbers (correct to one decimal place) ?<br><br>(a) 54.5<br>(b) 56.4<br>(c) 58.2<br>(d) 60	56.4	Sum = 27*58 = 1566. First 14 = 932.4, last 14 = 733.6. 14th = 932.4+733.6 - 1566 = 100. Remaining = (1566-100)/26 = 56.4.	14th = 100. New avg = 1466/26 = 56.38...	40	Source::AbhasSaini 5. Mathematics::Average
