Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
A:B = 3:4 , B:C = 5:7 then find A:B:C ? A:B = 3:4 और B:C = 5:7 है, तो A:B:C ज्ञात कीजजए।<br><br>(a) 15:20:28<br>(b) 15:28:20<br>(c) 21:28:35<br>(d) 12:16:21				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
A:B = 5:9 , C:D = 2:3 then find A:B:C:D ? A:B = 5:9 और C:D = 2:3 है, तो A:B:C:D ज्ञात कीजजए।<br><br>(a) 10:18:4:6<br>(b) 5:9:2:3<br>(c) 15:27:6:9<br>(d) 20:36:8:12				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
A:B = 1:3 , B:C = 2:7 then find A:B:C ? A:B = 1:3 और B:C = 2:7 है, तो A:B:C ज्ञात कीजजए।<br><br>(a) 2:6:21<br>(b) 1:3:7<br>(c) 2:3:7<br>(d) 3:2:7				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
A:B = 2:9 , B:C = 3:7 then find A:B:C ? A:B = 2:9 और B:C = 3:7 है, तो A:B:C ज्ञात कीजजए।<br><br>(a) 2:9:21<br>(b) 6:27:63<br>(c) 6:27:21<br>(d) 4:18:21				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
A:B = 5:8 and B:C = 18:25 then find A:C ? A:B = 5:8 और B:C = 18:25 है, तो A:C ज्ञात कीजजए।<br><br>(a) 9:20<br>(b) 20:9<br>(c) 45:100<br>(d) 25:18				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
2A = 3B = 4C then find A:B:C ? 2A = 3B = 4C है, तो A:B:C ज्ञात कीजजए।<br><br>(a) 6:4:3<br>(b) 3:4:6<br>(c) 4:6:3<br>(d) 12:8:6				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
5A = 12B = 13C then find A:B:C ? 5A = 12B = 13C है, तो A:B:C ज्ञात कीजजए।<br><br>(a) 156:65:60<br>(b) 65:156:60<br>(c) 60:65:156<br>(d) 156:60:65				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
a/(b+c) = 2/7 , b/(a+c) = 1/2 then find A:B:C ? a/(b+c) = 2/7 और b/(a+c) = 1/2 है, तो A:B:C ज्ञात कीजजए।<br><br>(a) 4:7:7<br>(b) 2:7:4<br>(c) 4:7:5<br>(d) 7:4:7				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
A : B : C = 1/3 : 1/5 : 1/7 then find A:B:C ? A : B : C = 1/3 : 1/5 : 1/7 है, तो A:B:C ज्ञात कीजजए।<br><br>(a) 35:21:15<br>(b) 15:21:35<br>(c) 21:35:15<br>(d) 7:5:3				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
AB : BC : CA = 12 : 20 : 15 then find A:B:C ? AB : BC : CA = 12 : 20 : 15 है, तो A:B:C ज्ञात कीजजए।<br><br>(a) 4:5:3<br>(b) 3:4:5<br>(c) 5:3:4<br>(d) 12:20:15				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
1/AB : 1/BC : 1/CA = 1/14 : 1/35 : 1/10 then find A:B:C ? 1/AB : 1/BC : 1/CA = 1/14 : 1/35 : 1/10 है, तो A:B:C ज्ञात कीजजए।<br><br>(a) 5:2:7<br>(b) 7:5:2<br>(c) 2:7:5<br>(d) 10:35:14				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
If 1.6 : 0.6 :: 0.6 : x, find the value of x. यजद 1.6 : 0.6 :: 0.6 : x हो, तो x का मान ज्ञात कीजजए।<br><br>(a) 0.98<br>(b) 0.25<br>(c) 0.275<br>(d) 0.225				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
Find the mean proportion of 5.76 and 0.88. 5.76 और 0.88 का mean proportional ज्ञात कीजजए।<br><br>(a) 2.34<br>(b) 2.25<br>(c) 2.54<br>(d) 2.85				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
The mean proportional between 0.16 and 0.64 is ? 0.16 और 0.64 केबीच का mean proportional क्या है?<br><br>(a) 0.27<br>(b) 0.48<br>(c) 0.40<br>(d) 0.32				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
Find the third proportion of 18 and 72. 18 और 72 का third proportion ज्ञात कीजजए।<br><br>(a) 388<br>(b) 588<br>(c) 288<br>(d) 488				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
Find the ratio between the third proportion of 20 and 50 and the mean proportion of 9 and 16. 20 और 50 के third proportion तथा 9 और 16 के mean proportional केबीच का अनुपात ज्ञात कीजजए।<br><br>(a) 25:2<br>(b) 12:125<br>(c) 2:25<br>(d) 125:12				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
The fourth proportional of a, c and bc is d. The fourth proportional of bc²/a , ad/c and c is ? a, c और bc का fourth proportional d है। bc²/a, ad/c और c का fourth proportional क्या होगा?<br><br>(a) b<br>(b) a<br>(c) d<br>(d) c				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
If (m+n) : (m-n) = 7:3, then (m³+n³) : (m³- n³) = ? यजद (m+n):(m-n) = 7:3 हो, तो (m³+n³):(m³- n³) ज्ञात कीजजए।<br><br>(a) 133:117<br>(b) 117:13<br>(c) 117:133<br>(d) 17:133				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
If a³+b³ : a³-b³ = 185:158 then a:b = ? यजद a³+b³ : a³-b³ = 185:158 हो, तो a:b ज्ञात कीजजए।<br><br>(a) 5:4<br>(b) 2:3<br>(c) 10:2<br>(d) 7:3				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
If (a+b):(b+c):(c+a) = 6:7:8 and a+b+c = 14, find the value of c. यजद (a+b):(b+c):(c+a) = 6:7:8 तथा a+b+c = 14 हो, तो c का मान ज्ञात कीजजए।<br><br>(a) 8<br>(b) 10<br>(c) 6<br>(d) 12				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
If a, b, c and d are in continued proportion, then (ma³ + nb³ – rc³) : (mb³ + nc³ – rd³) = ? यजद a, b, c और d continued proportion मेंहैं, तो (ma³ + nb³ – rc³) : (mb³ + nc³ – rd³) का अनुपात क्या होगा?<br><br>(a) d : a<br>(b) b : c<br>(c) a : d<br>(d) c : b				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
P:Q = 2:3 and Q:R = 3:5, then find the value of (p+q) : (q+r) : (r+p) ? यजद P:Q = 2:3 और Q:R = 3:5 हो, तो (p+q) : (q+r) : (r+p) का मान ज्ञात कीजजए।<br><br>(a) 5:8:7<br>(b) 8:5:7<br>(c) 7:5:8<br>(d) 5:7:8				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
If x-y : y-z : z-k = 3:5:8 then find the value of z:(x+k) ? यजद x-y : y-z : z-k = 3:5:8 हो, तो z:(x+k) का मान ज्ञात कीजजए।<br><br>(a) 1:3<br>(b) 1:2<br>(c) 1:4<br>(d) 2:1				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
x-y+z : y-z+2w : 2x+z-w = 2:5:7, find the value of 3x+3z-2w : w ? यजद x-y+z : y-z+2w : 2x+z-w = 2:5:7 हो, तो 3x+3z-2w : w का मान ज्ञात कीजजए।<br><br>(a) 1:7<br>(b) 1:8<br>(c) 1:5<br>(d) 1:6				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
If (x+y-z) : (y-z+2w) : (2x+z-w) = 3:7:4, then the ratio of (5w-3x-z):3w = ? यजद (x+y-z) : (y-z+2w) : (2x+z-w) = 3:7:4 हो, तो (5w-3x-z):3w का अनुपात ज्ञात कीजजए।<br><br>(a) 3:4<br>(b) 3:5<br>(c) 2:3<br>(d) 3:2				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
If x/(y+z) = y/(x+z) = z/(x+y) = r, then r cannot take any values except ? यजद x/(y+z) = y/(x+z) = z/(x+y) = r हो, तो r जकन मानो ोंको छोड़कर कोई भी मान नही ोंलेसकता?<br><br>(a) -1<br>(b) 1/2<br>(c) 1 or 1/2<br>(d) -1 or 1/2				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
What is the sub-duplicate ratio of 225 : 144 ? 225 : 144 का sub-duplicate ratio क्या होगा?<br><br>(a) 12 : 5<br>(b) 5 : 12<br>(c) 12 : 15<br>(d) 15 : 12				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
What is the compound ratio of 45 : 75, 3 : 5, 51 : 68 and 256 : 81 ? 45 : 75, 3 : 5, 51 : 68 और 256 : 81 का compound ratio क्या होगा?<br><br>(a) 64/75<br>(b) 32/45<br>(c) 128/75<br>(d) 75/32				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
The ratio compounded of 4:9, the duplicate ratio of 3:4, the triplicate ratio of 2:3 and 9:7 is 4:9, 3:4 के duplicate ratio, 2:3 के triplicate ratio और 9:7 के compounded ratio का अोंजतम अनुपात क्या होगा?<br><br>(a) 2:21<br>(b) 21:2<br>(c) 2:7<br>(d) 7:2				40	Source::AbhasSaini 5.Mathematics::Ratio and Proportion
