Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
A can do 1/4th of the work in 9 days. B can do 2/3rd of the same work in 28 days. In how many days A and B complete the same work while they working together?<br><br>(a) 252/13 Days<br>(b) 261/15 Days<br>(c) 262/11 Days<br>(d) 198/17 Days	252/13 Days	A's full work time = 9 * 4 = 36 days. B's full work time = 28 * 3/2 = 42 days. LCM of 36 and 42 is 252 (Total work). A's efficiency = 7, B's efficiency = 6. Total efficiency = 13. Time taken together = 252/13 days.		40	Source::AbhasSaini 5. Mathematics::Time and Work
A can do 1/5 th part of work in 3 days and B can do 1/4 part of the same work in 7.5 days. In how many days will A and B together complete the same work?<br><br>(a) 10 Days<br>(b) 8 Days<br>(c) 9 Days<br>(d) 12 Days	10 Days	A completes work in 15 days, B in 30 days. Total work = 30. A's efficiency = 2, B's efficiency = 1. Total efficiency = 3. Time taken together = 30/3 = 10 days.		40	Source::AbhasSaini 5. Mathematics::Time and Work
Reena, Ritu and Sita alone can complete a work in 6 hours, 9 hours and 18 hours respectively. If they work together, how many times they will take to complete the work?<br><br>(a) 3<br>(b) 4<br>(c) 2<br>(d) 5	3	LCM of 6, 9, 18 is 18 (Total work). Efficiencies: Reena = 3, Ritu = 2, Sita = 1. Total efficiency = 6. Time = 18/6 = 3 hours.		40	Source::AbhasSaini 5. Mathematics::Time and Work
A, B and C working separately, can complete a work in 11 days, 20 days, and 55 days respectively. If they work together how many days will they take to complete the work?<br><br>(a) 6 2/7 Days<br>(b) 1/7 Days<br>(c) 4 1/7 Days<br>(d) 5 1/7 Days	6 2/7 Days	LCM of 11, 20, 55 is 220. Efficiencies: A = 20, B = 11, C = 4. Total efficiency = 35. Time taken = 220/35 = 44/7 = 6 2/7 days.		40	Source::AbhasSaini 5. Mathematics::Time and Work
7 Men can complete a piece of work by working 8 hours per day for 5 days. If this work will be completed in 7 days working 10 hours a day. Then how many men will be required?<br><br>(a) 6<br>(b) 5<br>(c) 4<br>(d) 3	4	Using M1*D1*H1 = M2*D2*H2 => 7 * 5 * 8 = M2 * 7 * 10 => M2 = 280/70 = 4 men.		40	Source::AbhasSaini 5. Mathematics::Time and Work
If a man or two women or three boys can complete a work in 121 days. In how many days will a man, a woman and a boy together complete the same work?<br><br>(a) 55<br>(b) 44<br>(c) 88<br>(d) 66	66	1M = 2W = 3B => W = M/2, B = M/3. Total work = 1M * 121 days. (1M + 1W + 1B) = 1M + M/2 + M/3 = 11M/6. Days required = 121 / (11/6) = 66 days.		40	Source::AbhasSaini 5. Mathematics::Time and Work
100 workers can dig a 2000m long canal in 25 days by working 8 hour daily. Find the number of workers required to dig a similar canal of 2800 m long in 32 days working 5 hours daily?<br><br>(a) 175<br>(b) 170<br>(c) 165<br>(d) 180	175	Using (M1*D1*H1)/W1 = (M2*D2*H2)/W2 => (100*25*8)/2000 = (M2*32*5)/2800 => 10 = M2 * 160 / 2800 => M2 = 175 workers.		40	Source::AbhasSaini 5. Mathematics::Time and Work
In a camp of 70 boys, there are food provisions for 36 days. If 50 more boys join the camp, then how many days will there be food provision?<br><br>(a) 18 Days<br>(b) 24 Days<br>(c) 21 Days<br>(d) 25 Days	21 Days	Total food = 70 * 36. New number of boys = 70 + 50 = 120. Days = (70 * 36) / 120 = 21 days.		40	Source::AbhasSaini 5. Mathematics::Time and Work
A certain number of persons can complete a work in 34 days working 9h a day. If the number of persons is decreased by 40% then how many hours a day should the remaining persons work to complete the work in 51 days?<br><br>(a) 9<br>(b) 10<br>(c) 8<br>(d) 12	10	M1*D1*H1 = M2*D2*H2 => P * 34 * 9 = 0.6P * 51 * H2 => 306 = 30.6 * H2 => H2 = 10 hours.		40	Source::AbhasSaini 5. Mathematics::Time and Work
12 men can complete a painting work in 8 days. However, 16 women can complete the same painting work in 12 days. 8 men started painting the house. After 6 days of painting, 2 men were replaced by 4 women. Now how many days will they take to complete the remaining painting?<br><br>(a) 4<br>(b) 6<br>(c) 8<br>(d) 5	6	12M * 8 = 16W * 12 => 96M = 192W => 1M = 2W. Total work = 96M. Work done by 8 men in 6 days = 48M. Remaining work = 48M. New workforce = (8-2)M + 4W = 6M + 2M = 8M. Time = 48M / 8M = 6 days.		40	Source::AbhasSaini 5. Mathematics::Time and Work
