Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
Vipin covers one third distance of a journey at a speed of 30 km/hr and the remaining distance at a speed of 40 km/hr. If he take a total of 5 hour to complete the journey, what was the total distance (in km) travelled by him ?<br><br>(a) 150<br>(b) 120<br>(c) 180<br>(d) 210				40	Source::AbhasSaini 5. Mathematics::Time, Speed and Distance
If a person walks at a speed of 16 km/hr instead of 10 km/hr. he walks 18 km more. what is the actual distance covered by him ?<br><br>(a) 32 km<br>(b) 30 km<br>(c) 40 km<br>(d) 35 km				40	Source::AbhasSaini 5. Mathematics::Time, Speed and Distance
If Ram travels a certain distance at 40% of his normal speed, then he reaches his destination by 72 minutes late. His normal time (In min) to reach the destination is ?<br><br>(a) 48<br>(b) 50<br>(c) 54<br>(d) 60				40	Source::AbhasSaini 5. Mathematics::Time, Speed and Distance
A and B travel the same distance at speeds of 12 km/h and 18 km/h, respectively. If B takes 45 minutes less than that taken by A, what in the distance (in km) travelled by each one of them ?<br><br>(a) 25<br>(b) 27<br>(c) 24<br>(d) 30				40	Source::AbhasSaini 5. Mathematics::Time, Speed and Distance
If a person increases his speed by 14.28% ,he reaches his office 2.5 minutes earlier than its usual time. Find the usual time.<br><br>(a) 25 min<br>(b) 22.5 min<br>(c) 20 min<br>(d) 18.5 min				40	Source::AbhasSaini 5. Mathematics::Time, Speed and Distance
If a person reduces his speed by 11.11%, he takes 67.5 minutes to reach his office. By how much time is he late today ?<br><br>(a) 6<br>(b) 7.5<br>(c) 8<br>(d) 12.5				40	Source::AbhasSaini 5. Mathematics::Time, Speed and Distance
Mohit goes to his office at the speed of 20 m/s and returns to his home at the speed of x km/hr. If average speed of Mohit for the whole journey is 24 m/s, then what is the value of x ?<br><br>(a) 40 km/hr<br>(b) 30 km/hr<br>(c) 36 km/hr<br>(d) 25 km/hr				40	Source::AbhasSaini 5. Mathematics::Time, Speed and Distance
Anil completed a certain journey by a car. If he covered 35% of the distance at 70 km/h. 40% of the distance at 80 km/h and the remaining distance at 50 km/h, his average speed (in km/h) for the entire journey is ?<br><br>(a) 67 km/hr<br>(b) 66⅔ km/hr<br>(c) 66⅓ km/h<br>(d) 66 4/3 km/hr				40	Source::AbhasSaini 5. Mathematics::Time, Speed and Distance
A man runs for 40 km. The time taken by him in the first 10 km is twice the time taken by him in the second 10 km. The time taken in the third 10 km is half of the time taken in the fourth 10 km, and the time taken in the fourth 10 km is equal to the time taken in the first 10 km. If his speed in the first 10 km is 40 km/h, then what is the average speed for 40 km ?<br><br>(a) 160/3 km/hr<br>(b) 70/3 km/hr<br>(c) 50 km/hr<br>(d) 40 km/hr				40	Source::AbhasSaini 5. Mathematics::Time, Speed and Distance
Three cities A, B, and C are located such that they form the vertices of an equilateral triangle if joined by straight lines. Rashid travels from A to B at the speed of 40 km/h, from B to C at the speed of 60 km/h and from C to A at the speed of 72 km/h. Find the average speed of Rashid for the entire journey ?<br><br>(a) 54<br>(b) 56⅔<br>(c) 55<br>(d) 57⅓				40	Source::AbhasSaini 5. Mathematics::Time, Speed and Distance
