Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
If the distances of the point P from x-axis and y axis are 4 units and 7 units and the point P lies in the third quadrant, the co-ordinate of the point P is?<br><br>(a) (4,7)<br>(b) (-4,-7)<br>(c) (7,4)<br>(d) (-7,-4)	(-7,-4)	A point in the third quadrant has both coordinates negative (x < 0, y < 0). Distance from x-axis is |y| = 4, so y = -4. Distance from y-axis is |x| = 7, so x = -7. The point is (-7, -4).	Third quadrant implies (-, -). Distance from x-axis is |y|, and y-axis is |x|. Hence (-7, -4).	40	Source::AbhasSaini
The image of the point (7,8) when reflected along the x - axis is?<br><br>(a) (8,7)<br>(b) (-7,-8)<br>(c) (-7,8)<br>(d) (7,-8)	(7,-8)	When a point (x, y) is reflected across the x-axis, its x-coordinate remains the same, but its y-coordinate changes sign. Therefore, the image of (7, 8) is (7, -8).	Reflection along x-axis: (x, y) -> (x, -y). So, (7, 8) -> (7, -8).	40	Source::AbhasSaini
What is the reflection of the point (5,-3) in the line y = 3?<br><br>(a) (5,-6)<br>(b) (-5,3)<br>(c) (5,3)<br>(d) (5,9)	(5,9)	Reflection of (x, y) in the line y = k is (x, 2k - y). Here, (x, y) = (5, -3) and k = 3. The new point is (5, 2(3) - (-3)) = (5, 6 + 3) = (5, 9).	Distance of y=-3 from y=3 is 6 units. The image will be 6 units above y=3, which is 3+6=9. So, (5, 9).	40	Source::AbhasSaini
The image of the point (4,-3) with respect to the line y = x is?<br><br>(a) -4,-3<br>(b) 3,4<br>(c) -4,3<br>(d) -3,4	-3,4	The reflection of a point (x, y) across the line y = x is obtained by swapping the coordinates, which gives (y, x). So, the image of (4, -3) is (-3, 4).	Mirror image along y=x just swaps x and y. (4,-3) -> (-3,4).	40	Source::AbhasSaini
The image of the point (3,8) in the line x + 3y = 7 is?<br><br>(a) 1,4<br>(b) 4,1<br>(c) -1,-4<br>(d) -4,-1	-1,-4	The formula for the image (h,k) of point (x1,y1) in line ax+by+c=0 is (h-x1)/a = (k-y1)/b = -2(ax1+by1+c)/(a^2+b^2). For (3,8) and x+3y-7=0: (h-3)/1 = (k-8)/3 = -2(3+24-7)/(1+9) = -2(20)/10 = -4. Thus h = -4+3=-1 and k = -12+8=-4.	(h-x1)/a = (k-y1)/b = -2(ax1+by1+c)/(a²+b²). Solve for (h,k).	40	Source::AbhasSaini
The graphs of the linear equations 4x - 2y = 10 and 4x + ky = 2 intersect at a point (a,4). The value of k is equal to?<br><br>(a) -3<br>(b) 4<br>(c) 3<br>(d) -4	-4	Since the graphs intersect at (a, 4), the point satisfies both equations. Substitute in 4x - 2y = 10: 4a - 2(4) = 10 => 4a = 18 => a = 4.5. Substitute (4.5, 4) in 4x + ky = 2: 4(4.5) + 4k = 2 => 18 + 4k = 2 => 4k = -16 => k = -4.	4a - 8 = 10 => 4a = 18. Then 18 + 4k = 2 => 4k = -16 => k = -4.	40	Source::AbhasSaini
The graph of the equations 5x - 2y + 1 = 0 and 4y - 3x + 5 = 0, intersect at the point p(α,β). What is the value of (2α - 3β)?<br><br>(a) 4<br>(b) -4<br>(c) 6<br>(d) -3	4	Solve 5x - 2y = -1 and -3x + 4y = -5. Multiply the first by 2: 10x - 4y = -2. Add to the second: 7x = -7 => x = -1. Substitute back: 5(-1) - 2y = -1 => -2y = 4 => y = -2. So α = -1, β = -2. 2α - 3β = 2(-1) - 3(-2) = -2 + 6 = 4.	Solve the system to get intersection (-1, -2). Evaluate 2(-1) - 3(-2) = 4.	40	Source::AbhasSaini
The graph of the equation x - 7y = - 42, intersects the y-axis at P(α, β) and the graph of 6x + y - 15 = 0, intersects the x-axis at Q(γ,δ). What is the value of α + β + γ + δ ?<br><br>(a) 5<br>(b) 6<br>(c) 9/2<br>(d) 17/2	17/2	Intersection of x - 7y = -42 with y-axis (x=0) gives -7y = -42 => y = 6. So P is (0, 6). Intersection of 6x + y = 15 with x-axis (y=0) gives 6x = 15 => x = 5/2. So Q is (5/2, 0). Sum of coordinates = 0 + 6 + 5/2 + 0 = 17/2.	P = (0, 6), Q = (5/2, 0). Sum = 6 + 2.5 = 8.5 = 17/2.	40	Source::AbhasSaini
The graph of the equations 4x + y/3 = 8/3 and x/2 + 3y/4 + 5/2 = 0 intersect at a point P. The point P also lies on the graph of the equation.<br><br>(a) x + 2y - 5 = 0<br>(b) 4x - y + 7 = 0<br>(c) 3x - y - 7 = 0<br>(d) x - 3y - 12 = 0	3x - y - 7 = 0	First equation: 12x + y = 8 => y = 8 - 12x. Second: 2x + 3y + 10 = 0. Substituting y gives 2x + 3(8 - 12x) + 10 = 0 => 2x + 24 - 36x + 10 = 0 => -34x = -34 => x = 1. Then y = -4. The point is (1, -4). Substitute into options; only 3(1) - (-4) - 7 = 0 works.	Solve for intersection: P=(1, -4). Test options with x=1, y=-4. Option (c) satisfies it.	40	Source::AbhasSaini
Find the coordinates of the points where the graph 57x - 19y = 399 cuts the coordinate axes?<br><br>(a) x-axis at (-7,0) and y-axis at (0,21)<br>(b) x-axis at (7,0) and y-axis at (0,-21)<br>(c) x-axis at (7,0) and y-axis at (0,21)<br>(d) x-axis at (-7,0) and y-axis at (0,-21)	x-axis at (7,0) and y-axis at (0,-21)	To find the x-intercept, set y = 0: 57x = 399 => x = 7. The point is (7, 0). To find the y-intercept, set x = 0: -19y = 399 => y = -21. The point is (0, -21).	Put y=0 -> x=7. Put x=0 -> y=-21. Hence, (7,0) and (0,-21).	40	Source::AbhasSaini
