Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
The square root of 14 + 6√5 is (1) 2 + √5 (2) 3 + √5 (3) 5 + √3 (4) 3 + 2√5				40	Source::AbhasSaini
√( -√3 + √(3 + 8√(7 + 4√3)) ) is (1) 1 (2) 2 (3) 3 (4) 8				40	Source::AbhasSaini
√(4600 + √(540 + √(1280 + √(250 + √36)))) ?<br><br>(a) 69<br>(b) 68(c) 70(d) 72The value of (√(0.6912) + √(0.5292)) / (√(0.6912) - √(0.5292)) is:				40	Source::AbhasSaini
1 / (√(3.25) + √(2.25)) + 1 / (√(4.25) + √(3.25)) +				40	Source::AbhasSaini
1 / (√(5.25) + √(4.25)) + 1 / (√(6.25) + √(5.25)) is (1) 1.00 (2) 1.25 (3) 1.50 (4) 2.25				40	Source::AbhasSaini
√5 / (√3 + √2) - 3√3 / (√5 + √2) + 2√2 / (√5 + √3) is equal to : (1) 0 (2) 2√15 (3) 2√10 (4) 2√6 (2 + √3) / (2 - √3) + (2 - √3) / (2 + √3) + (√3 + 1) / (√3 - 1) is (1) 16 + √3 (2) 4 - √3 (3) 2 - √3 (4) 2 + √3				40	Source::AbhasSaini
√(((√12 - √8)(√3 + √2)) / (5 + √24)) is : (1) √6 - √2 (2) √6 + √2 (3) √6 - 2 (4) 2 - √6				40	Source::AbhasSaini
[1 / (√2 + √3 - √5) + 1 / (√2 - √3 - √5)] in simplified form equals to : (1) 1 (2) √2 (3) 1 / √2 (4) 0 (2 / (√6 + 2) + 1 / (√7 + √6) + 1 / (√8 - √7) + 2 - 2√2) is equal to (1) 0 (2) 2√2 (3) √6 (4) 2√7 (2√10 / (√5 + √2 - √7)) - √( (√5 - 2) / (√5 + 2) ) - 3 / (√7 - 2) is: SSC CGL Tier II (13/09/2019)<br><br>(a) 2 + √2<br>(b) 2√5(c) √2(d) √7If √(10 - 2√21) + √(8 + 2√15) = √a + √b , where a and b are positive integers, then the value of				40	Source::AbhasSaini
√ab is closest to :<br><br>(a) 7.2<br>(b) 4.6(c) 5.9(d) 6.8If √( (38 - 5√3) / (26 + 7√3) ) = (a + b√3) / 23 , b > 0, then the value of (b - a) is :				40	Source::AbhasSaini
The expression √(10 + 2(√6 - √15 - √10)) is equal to :<br><br>(a) √3 - √2 - √5<br>(b) √2 - √3 - √5(c) √3 - √2 + √5(d) √3 + √2 - √5(15(√10 + √5)) / (√10 + √20 + √40 - √5 - √80) is equal SSC CGL Tier II (15/10/2020)				40	Source::AbhasSaini
the value of k ?<br><br>(a) √2 + √5 + √3<br>(b) (√2 + √5 - √3)(2 + √5)(c) (√2 + √5 + √3)(2 - √5)(d) (√2 + √5 + √3)(2 - √10)If 4 / (1 + √2 + √3) = a + b√2 + c√3 - d√6 , where a, b, c, d are natural numbers, then the value of a + b + c + d is:				40	Source::AbhasSaini
1 / (√13 - √12) + 1 / (√12 - √11) - 1 / (√11 - √10) + 1 / (√10 - 3) - 1 / (3 - √8) is: SSC CGL Tier II (29/01/2022)<br><br>(a) 4 - 2√2<br>(b) 2 + 2√2(c) 4 + 2√2(d) 2 - 2√21 / (√9 - √8) - 1 / (√8 - √7) + 1 / (√7 - √6) - 1 / (√6 - √5) + 1 / (√5 - √4) is equal to (1) 5 (2) 1 (3) 3 (4) 0				40	Source::AbhasSaini
1 / (√7 - √6) - 1 / (√6 - √5) + 1 / (√5 - 2) - 1 / (√8 - √7) + 1 / (3 - √8) is (1) 7 (2) 0 (3) 1 (4) 5				40	Source::AbhasSaini
The value of 1 / (√2 + 1) + 1 / (√3 + √2) + 1 / (√4 + √3) + .... + 1 / (√100 + √99) is (1) 1 (2) 9 (3) √99 (4) √99 - 1				40	Source::AbhasSaini
1 / (√100 - √99) - 1 / (√99 - √98) +				40	Source::AbhasSaini
1 / (√98 - √97) - 1 / (√97 - √96) + .... +				40	Source::AbhasSaini
1 / (√2 - √1) (1) 0 (2) 9 (3) 10 (4) 11				40	Source::AbhasSaini
Which of the following number is				40	Source::AbhasSaini
the least? (0.5)², √(0.49), ³√(0.008), 0.23 (1) (0.5)² (2) √(0.49) (3) ³√(0.008) (4) 0.23				40	Source::AbhasSaini
Which of the following statement(s) is/are TRUE ? I. √(64) + √(0.0064) + √(0.81) + √(0.0081) = 9.07 II. √(0.010201) + √(98.01) + √(0.25) = 11.51<br><br>(a) Only I<br>(b) Only II(c) Both I and II(d) Neither I nor IIWhich of the following statement(s) is/are TRUE ? I. (0.7)² + (0.07)² + (11.1)² > 123.8 II. (1.12)² + (10.3)² + (1.05)² > 108.3				40	Source::AbhasSaini
The greatest of the numbers ²√8 , ⁴√13 , ⁵√16 , ¹⁰√41 is: (1) ⁴√13 (2) ⁵√16 (3) ¹⁰√41 (4) ²√8				40	Source::AbhasSaini
The greatest among the numbers 3√2 , 3√7, 6√5, 2√20 is (1) 3√2 (2) 3√7 (3) 6√5 (4) 2√20				40	Source::AbhasSaini
The greatest number among 2⁶⁰, 3⁴⁸, 4³⁶ and 5²⁴ is (1) 2⁶⁰ (2) 3⁴⁸ (3) 4³⁶ (4) 5²⁴				40	Source::AbhasSaini
The greatest number among 3⁵⁰, 4⁴⁰, 5³⁰ and 6²⁰ is (1) 3⁵⁰ (2) 4⁴⁰ (3) 5³⁰ (4) 6²⁰				40	Source::AbhasSaini
Which of the following statement(s) is/are TRUE ? I. 33³ > 3³³ II. 333 > (3³)³<br><br>(a) Only I				40	Source::AbhasSaini
the largest number among 2222², 222², 22²²², 2²²²²?				40	Source::AbhasSaini
Which of the following statement(s) is/are TRUE ? I. √12 > ³√16 > ⁴√24 II. ³√25 > ⁴√32 > ⁶√48 III. ⁴√9 > ³√15 > ⁶√24<br><br>(a) Only I and II<br>(b) Only I and III(c) Only I(d) All are trueIf A = 2³², B = 2³¹ + 2³⁰ + 2²⁹ +...+ 2⁰ and C = 3¹⁵ + 3¹⁴ + 3¹³ + ....+ 3⁰, then which of the following option is TRUE ?				40	Source::AbhasSaini
the following is TRUE ?<br><br>(a) P > S > R > Q<br>(b) S > P > R > Q(c) P > R > S > Q(d) S > P > Q > RWhich is the greatest among (√19 - √17), (√13 - √11) , (√7 - √5) and (√5 - √3) ? (1) √19 - √17 (2) √13 - √11 (3) √7 - √5 (4) √5 - √3				40	Source::AbhasSaini
Which one among the following is the smallest?<br><br>(a) √301 - √299<br>(b) √401 - √399(c) √101 - √99(d) √201 - √199Which of the following statement(s) is/are TRUE ? I. √5 + √5 > √7 + √3 II. √6 + √7 > √8 + √5 III. √3 + √9 > √6 + √6				40	Source::AbhasSaini
√7 + √6 , √10 + √3 and				40	Source::AbhasSaini
√11 + √2 is : (1) √8 + √5 (2) √7 + √6 (3) √10 + √3 (4) √11 + √2				40	Source::AbhasSaini
