Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
Maximum value of (2 sin θ + 3 cos θ) is<br><br>(1) 2<br>(2) √13<br>(3) √15<br>(4) 1				40	Source::AbhasSaini 5. Mathematics::Trigonometry
The maximum value of sin⁴θ + cos⁴θ is<br><br>(1) 1/3<br>(2) 1<br>(3) 2<br>(4) 3				40	Source::AbhasSaini 5. Mathematics::Trigonometry
The minimum value of 2 sin²θ + 3 cos²θ is<br><br>(1) 0<br>(2) 3<br>(3) 2<br>(4) 1				40	Source::AbhasSaini 5. Mathematics::Trigonometry
The minimum value of 4 tan²θ + 9 cot²θ is equal to<br><br>(1) 0<br>(2) 5<br>(3) 12<br>(4) 13				40	Source::AbhasSaini 5. Mathematics::Trigonometry
The minimum value of sin²θ + cos²θ + sec²θ + cosec²θ + tan²θ + cot²θ is<br><br>(1) 1<br>(2) 3<br>(3) 5<br>(4) 7				40	Source::AbhasSaini 5. Mathematics::Trigonometry
Least value of 8cosec²x+25sin²x?<br><br>20√2<br>10√2<br>40√2<br>30√2				40	Source::AbhasSaini 5. Mathematics::Trigonometry
minimum value of (25 cos²x + 9 sec²x )?<br><br>(a) 30<br>(b) 20<br>(c) 15<br>(d) 40				40	Source::AbhasSaini 5. Mathematics::Trigonometry
The greatest value of sin x+cos x<br><br>(a) 1/4<br>(b) 1<br>(c) √2<br>(d) 1/√2				40	Source::AbhasSaini 5. Mathematics::Trigonometry
9sin² θ + 16 cos² θ का न्यूनतम मान क्या है?<br><br>(A)0<br>(B)9<br>(C)16<br>(D)25				40	Source::AbhasSaini 5. Mathematics::Trigonometry
3sin²θ + 4 cos² θ का न्यूनतम मान है?<br><br>(A)5<br>(B)4<br>(C)3<br>(D)2				40	Source::AbhasSaini 5. Mathematics::Trigonometry
2 - 2 sin x - sin²x, 0 ≤ x ≤ π/2 के सबसे बड़े मान से सबसे छोटे मान का अनुपात क्या है?<br><br>(A)-3<br>(B)-1<br>(C)1<br>(D)2				40	Source::AbhasSaini 5. Mathematics::Trigonometry
Minimum value of 4tan²x+9cot²x?<br><br>6<br>-6<br>12<br>-12				40	Source::AbhasSaini 5. Mathematics::Trigonometry
The minimum value of sec²θ + cosec²θ is<br><br>0<br>2<br>1<br>4				40	Source::AbhasSaini 5. Mathematics::Trigonometry
The minimum value of 7tanθ + 8cotθ is<br><br>Options:<br>A. Sqrt(14)<br>B. 2Sqrt(14)<br>C. 3Sqrt(14)<br>D. 4Sqrt(14)				40	Source::AbhasSaini 5. Mathematics::Trigonometry
The minimum value of 9 cos ²x + 2 sec ²x is<br><br>Options:<br>A. Sqrt(18)<br>B. 2Sqrt(18)<br>C. 3Sqrt(18)<br>D. 4Sqrt(18)				40	Source::AbhasSaini 5. Mathematics::Trigonometry
The minimum value of 10 + sec ²x is<br><br>Options:<br>A. 10<br>B. 12<br>C. 11<br>D. 13				40	Source::AbhasSaini 5. Mathematics::Trigonometry
The sum of minimum and maximum value of 12sin ²x - 3 is<br><br>Options:<br>A. 3<br>B. 6<br>C. 9<br>D. 12				40	Source::AbhasSaini 5. Mathematics::Trigonometry
The sum of minimum and maximum value of 11 + cos ²x is<br><br>Options:<br>A. 11<br>B. 12<br>C. 23<br>D. 24				40	Source::AbhasSaini 5. Mathematics::Trigonometry
The minimum value of 10tan ²x + 15sec ²x is<br><br>Options:<br>A. 12<br>B. 13<br>C. 14<br>D. 15				40	Source::AbhasSaini 5. Mathematics::Trigonometry
cos³θ + sec³θ where 0° ≤ θ ≤ 90° का न्यूनतम मान क्या है?<br><br>A) 0<br>C) 1<br>B) 2<br>D) None of above				40	Source::AbhasSaini 5. Mathematics::Trigonometry
sin²⁹θ.cos²⁹θ				40	Source::AbhasSaini 5. Mathematics::Trigonometry
sin¹⁴⁰θ.cos¹⁴⁰θ				40	Source::AbhasSaini 5. Mathematics::Trigonometry
Minimum and maximum value of cos²x+sec²x? Where 0 ≤x≤π/2<br><br>0,0.5<br>0.5,1<br>1,2<br>y≥2				40	Source::AbhasSaini 5. Mathematics::Trigonometry
Minimum value of Sin⁴x+cos⁴x-2sin²xcos²x?<br><br>0<br>2<br>1<br>Doesn't exist				40	Source::AbhasSaini 5. Mathematics::Trigonometry
MAXIMUM, 1+2sin²xcos²x-sin⁴x-cos⁴x, 0<x<1?<br><br>1<br>2<br>3<br>4				40	Source::AbhasSaini 5. Mathematics::Trigonometry
Maximum and minimum value of 5sin²x+10cos²x+12sinxcosx?<br><br>1,12<br>0,14<br>1,14<br>-1,14				40	Source::AbhasSaini 5. Mathematics::Trigonometry
Maximum value of sin⁸x+cos¹⁴x?<br><br>0<br>1<br>2<br>3				40	Source::AbhasSaini 5. Mathematics::Trigonometry
Minimum and maximum value of Sin⁶x+cos⁶x?<br><br>1/4,1<br>-1/4,1<br>0,1<br>0,1/4				40	Source::AbhasSaini 5. Mathematics::Trigonometry
Minimum and maximum value of Sin⁴x+cos⁴x?<br><br>1/2,1<br>-1/2,1<br>0,1<br>0,1/2				40	Source::AbhasSaini 5. Mathematics::Trigonometry
Minimum and maximum value of Sin²x+cos⁴x?<br><br>1/2,1<br>3/4,1<br>-3/4,1<br>0,1/2				40	Source::AbhasSaini 5. Mathematics::Trigonometry
Minimum and maximum value of Sin⁴x.cos⁴x				40	Source::AbhasSaini 5. Mathematics::Trigonometry
