Question	Answer	Basic Solution	Short Solution/Trick	Target Time	Tags
Two vessel contain milk water in the ratio 3:5 and 7:9. If both vessel are mixed in ratio 2:3. Find the ratio of milk and water in new mixture ?<br><br>(a) 33:47<br>(b) 47:33<br>(c) 33:45<br>(d) 45:33	33:47	Vessel 1 has milk and water in 3:5. Ratio of milk = 3/8, water = 5/8. Vessel 2 has milk and water in 7:9. Ratio of milk = 7/16, water = 9/16. They are mixed in ratio 2:3. Milk in new mixture = 2*(3/8) + 3*(7/16) = 6/8 + 21/16 = 33/16. Water in new mixture = 2*(5/8) + 3*(9/16) = 10/8 + 27/16 = 47/16. Ratio = 33:47.	LCM of 8 and 16 is 16. Multiply parts by 2 and 3: Milk = 2*(3*2) + 3*(7) = 33. Water = 2*(5*2) + 3*(9) = 47. Ratio = 33:47.	40	Source::AbhasSaini
In Vessels X and Y, the ratio of acid and water 3:4 and 2:5 respectively. The contents of X and Y are mixed in the ratio of 2:3 to get a solution in which acid and water are in the ratio a:b. what is the value of (b+a)/(b-a) ?<br><br>(a) 35/11<br>(b) 12/11<br>(c) 23/11<br>(d) 23/35	35/11	Vessel X: acid = 3/7, water = 4/7. Vessel Y: acid = 2/7, water = 5/7. Mixed in ratio 2:3. Total acid a = 2(3/7) + 3(2/7) = 12/7. Total water b = 2(4/7) + 3(5/7) = 23/7. Ratio a:b = 12:23. Therefore, (b+a)/(b-a) = (23+12)/(23-12) = 35/11.	Same base (7). Acid = 2*3 + 3*2 = 12. Water = 2*4 + 3*5 = 23. a=12, b=23. (b+a)/(b-a) = 35/11.	40	Source::AbhasSaini
Two vessel contain milk & water in the ratio 9:13 & 4:7. If both vessel are mixed in the ratio 1:1. Find the ratio of milk and water in the new mixture ?<br><br>(a) 17:27<br>(b) 27:17<br>(c) 17:14<br>(d) 14:17	17:27	Vessel 1 total = 9+13 = 22. Vessel 2 total = 4+7 = 11. To mix in 1:1, make their capacities equal. Multiply V2 by 2, so V2 becomes 8:14. Now add them: Milk = 9 + 8 = 17. Water = 13 + 14 = 27. Ratio = 17:27.	Make capacities equal: V1=22, V2=11. Multiply V2 by 2 -> 8:14. Add parts directly: (9+8):(13+14) = 17:27.	40	Source::AbhasSaini
Two vessel contain milk and water in the ratio 3:7 and 7:8. If both vessel are mixed in the ratio 2:3. Find the ratio of milk and water in the new mixture ?<br><br>(a) 2:3<br>(b) 3:2<br>(c) 2:5<br>(d) 5:2	2:3	Vessel 1: milk = 3/10, water = 7/10. Vessel 2: milk = 7/15, water = 8/15. Mixed in 2:3. Milk = 2*(3/10) + 3*(7/15) = 6/10 + 21/15 = 3/5 + 7/5 = 10/5 = 2. Water = 2*(7/10) + 3*(8/15) = 14/10 + 24/15 = 7/5 + 8/5 = 15/5 = 3. Ratio = 2:3.	Mix M = 2(3/10) + 3(7/15) = 2. Mix W = 2(7/10) + 3(8/15) = 3. Ratio = 2:3.	40	Source::AbhasSaini
Two mixtures A and B have the following compositions. Mixture A has copper and tin in the ratio 1:2 Mixture B has copper and tin in the ratio 1:3. If equal quantities of mixtures A and B are used for producing mixture C, then find the ratio of copper and tin in mixture C.<br><br>(a) 7:17<br>(b) 7:12<br>(c) 2:5<br>(d) 1:5	7:17	Mixture A total = 1+2 = 3. Mixture B total = 1+3 = 4. To mix in equal quantities, take LCM(3,4) = 12. A = 4*(1:2) = 4:8. B = 3*(1:3) = 3:9. Copper = 4+3 = 7. Tin = 8+9 = 17. Ratio = 7:17.	Equal quantities => LCM of 3 and 4 is 12. A becomes 4:8, B becomes 3:9. C = (4+3):(8+9) = 7:17.	40	Source::AbhasSaini
Two vessel contains mixture of milk and water. In 1st mixture milk is 33.33% and in 2nd mixture water is 44.44%. If both vessel are mixed in ratio 6:7. Find the ratio of milk and water in the new mixture ?<br><br>(a) 53:64<br>(b) 71:46<br>(c) 46:117<br>(d) 71:117	53:64	Mix 1: Milk 33.33% = 1/3, meaning Milk:Water = 1:2 (total 3). Mix 2: Water 44.44% = 4/9, meaning Milk:Water = 5:4 (total 9). Mixed in 6:7. Milk = 6(1/3) + 7(5/9) = 2 + 35/9 = 53/9. Water = 6(2/3) + 7(4/9) = 4 + 28/9 = 64/9. Ratio = 53:64.	M1=1/3, M2=5/9. M = 6(1/3) + 7(5/9) = 53/9. W = 6(2/3) + 7(4/9) = 64/9. Ratio = 53:64.	40	Source::AbhasSaini
Two vessel contain mixture of milk and water. In 1st mixture milk is 43.75% and in 2nd mixture milk is 18.75% .If both vessel are mixed in ratio 3:2. Find the ratio of milk and water in the new mixture ?<br><br>(a) 27:53<br>(b) 53:27<br>(c) 22:53<br>(d) 25:53	27:53	Mix 1: Milk = 43.75% = 7/16. Mix 2: Milk = 18.75% = 3/16. Mixed in 3:2. Milk = 3(7/16) + 2(3/16) = 27/16. Water = 3(9/16) + 2(13/16) = 53/16. Ratio = 27:53.	Milk parts = 3(7) + 2(3) = 27. Water parts = 3(9) + 2(13) = 53. Ratio = 27:53.	40	Source::AbhasSaini
In vessel 1 milk is 37% & in vessel 2 milk is 52%. They are mixed to make a new mixture with milk 46%. Find the ratio in which they are mixed ?<br><br>(a) 2:3<br>(b) 3:2<br>(c) 1:3<br>(d) 3:4	2:3	Using the rule of alligation. Mixture 1 has 37% milk, Mixture 2 has 52% milk. Desired mixture has 46% milk. Ratio = (52 - 46) : (46 - 37) = 6 : 9 = 2:3.	Alligation: |52 - 46| : |46 - 37| = 6 : 9 = 2:3.	40	Source::AbhasSaini
In vessel 1 milk is 28% & in vessel 2 milk is 62%%. They are mixed to make a new mixture with milk 39%. Find the ratio in which they are mixed ?<br><br>(a) 23:11<br>(b) 11:23<br>(c) 12:25<br>(d) 3:4	23:11	Using alligation on milk percentage. Mixture 1 is 28%, Mixture 2 is 62%, target is 39%. Ratio = (62 - 39) : (39 - 28) = 23 : 11.	Alligation: |62 - 39| : |39 - 28| = 23 : 11.	40	Source::AbhasSaini
In a vessel 1 the ratio of milk & water is 3:4 and in vessel 2 it is 6:7. In final mixture milk : water is 9:11. Then find the ratio in which they are mixed ?<br><br>(a) 7:13<br>(b) 13:7<br>(c) 5:12<br>(d) 1:1	7:13	Milk fractions: V1 = 3/7, V2 = 6/13, Final = 9/20. LCM of 7, 13, 20 is 1820. V1 = 3/7 * 1820 = 780, V2 = 6/13 * 1820 = 840, Final = 9/20 * 1820 = 819. Ratio = (840 - 819) : (819 - 780) = 21 : 39 = 7:13.	Alligation on 3/7 and 6/13 to get 9/20. Diff1 = 6/13 - 9/20 = 3/260. Diff2 = 9/20 - 3/7 = 3/140. Ratio = (3/260)/(3/140) = 140/260 = 7:13.	40	Source::AbhasSaini
